ID:
	char_003_kalts

CV:
	凯尔希
	ケルシー
	Kal'tsit
	켈시

干员代号\Name:
	Unknown
	日笠陽子
	Yoko Hikasa
	히카사 요코

招聘合同\Character Usage:
	罗德岛医疗部门负责人，凯尔希。
	ロドス・アイランド医療部門責任者、ケルシー。
	Rhodes Island Medical Department Officer-in-Charge, Kal'tsit.
	로도스 아일랜드 의료부 책임자 켈시.

合同描述\Character Description:
	她来自过去。她属于现在。
	彼女は過去より参り、今に属する。
	She comes from the past. She belongs to the present.
	과거에서 온 그녀는 현재에 속합니다.

信物\Potential Item:
	一个奇特的怀表，从未在诸国见过的制式，上面刻有四个年份日期，以及歪歪扭扭的几个字母。
	不思議な懐中時計。どの国でも見たことがない様式のもので、四つの年月日といくつかのいびつな文字記号が刻まれている。
	An unusual pocket watch, of a format never before seen in any country. Engraved on it are four dates across as many years, as well as a few crooked letters.
	다른 나라에서는 본 적이 없는, 특이하게 생긴 회중시계. 위에 네 개 연도의 날짜와 비뚤비뚤한 문자가 몇 개 새겨져 있다.

天赋\Talents:
	Mon3tr
	Mon3tr
	Mon3tr
	Mon3tr

技能\Skills:
	指令：结构加固
	指令：構造強化
	Command: Structural Fortification
	명령: 구조 보강

	指令：战术协同
	指令：戦術連携
	Command: Tactical Coordination
	명령: 전술 협동

	指令：熔毁
	指令：メルトダウン
	Command: Meltdown
	명령: 용해

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】凯尔希
	【性别】女
	【战斗经验】三年
	【出身地】罗德岛
	【生日】未公开
	【种族】菲林
	【身高】169cm
	【矿石病感染情况】
	参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】ケルシー
	【性別】女
	【戦闘経験】三年
	【出身地】ロドス・アイランド
	【誕生日】未公開
	【種族】フェリーン
	【身長】169cm
	【鉱石病感染状況】
	メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Kal'tsit
	[Gender] Female
	[Combat Experience] 3 Years
	[Place of Birth] Rhodes Island
	[Date of Birth] Undisclosed
	[Race] Feline
	[Height] 169cm
	[Infection Status]
	Confirmed Infected by medical examination.

	기본정보 :
	[코드네임] 켈시
	[성별] 여
	[전투 경험] 3년
	[출신지] 로도스 아일랜드
	[생일] 미공개
	[종족] 필라인
	[신장] 169cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】普通
	【生理耐受】普通
	【战术规划】■■
	【战斗技巧】普通
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】普通
	【戦場機動】普通
	【生理的耐性】普通
	【戦術立案】■■
	【戦闘技術】普通
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Normal
	[Mobility] Normal
	[Physical Resilience] Normal
	[Tactical Acumen] ■■
	[Combat Skill] Normal
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 보통
	[생체 인내도] 보통
	[전술 계획력] ■■
	[전투 기술력] 보통
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	凯尔希，罗德岛高层管理人员之一，罗德岛医疗项目领头人。在冶金工业、社会学、源石技艺、考古学、历史系谱学、经济学、植物学、地质学等领域皆拥有渊博学识。于罗德岛部分行动中作为医务人员提供医学理论协助与应急医疗器械，同时也作为罗德岛战略指挥系统的重要组成人员活跃在各项目中。

	個人履歴 :
