ID:
	char_101_sora

CV:
	空
	ソラ
	Sora
	소라

干员代号\Name:
	铃木实里
	鈴木みのり
	Minori Suzuki
	스즈키 미노리

招聘合同\Character Usage:
	企鹅物流职员空，将以歌声为小队提供多种战术援助。
	ペンギン急便職員ソラ、歌声でチームに多彩な戦術支援を行う。
	Sora, employee of Penguin Logistics, will provide all sorts of tactical support for the squad with her singing.
	펭귄 로지스틱스 직원 소라. 노랫소리로 팀에 다양한 전술 지원을 제공합니다.

合同描述\Character Description:
	希望她能用歌声带来和平。
	彼女の歌声で平和をもたらしてほしい。
	Hope she can bring peace with songs.
	그녀의 노랫소리가 평화를 가져오기를.

信物\Potential Item:
	空作为偶像出道时发售的单曲CD。虽然是一首儿童向的卡通歌曲，但依然能感受到空她想要努力唱好的心境。
	アイドル・ソラのデビューシングルCD。子供向けアニメの曲だが、ソラが一生懸命歌っている気持ちが伝わってくる。
	The first single CD Sora released when she debuted as an idol. It is a kids song from a cartoon, but you can still feel she put her heart and soul into it.
	아이돌 소라의 데뷔 싱글 앨범 CD. 어린이들을 위한 만화 주제가지만, 소라가 마음을 담아 정말 열심히 불렀다는 사실을 알 수 있다.

天赋\Talents:
	安可
	アンコール
	Encore
	앙코르

技能\Skills:
	睡眠之歌
	すやすやナンバー
	Hymn of Respite
	자장가

	战斗之歌
	ファイトソング
	Hymn of Battle
	전투의 노래

语音\Voices:
	ヤッホー！ドクター！ねぇねぇ何してるの？なんか面白そう！
	Heya, Doctor! So, what are you up to? Looks like fun!
	야호~! 박사! 뭐 하고 있어? 뭔가 재미있어 보여!

	ロドスって歌える場所あるのかな？いや～戦いのない日はみんなでパーッとカラオケでもやろうと思って！
	Are there any karaoke venues at Rhodes Island? It would be great if we had a place to sing the night away when we don't have battles to fight!
	로도스 아일랜드에 노래를 부를 만한 곳이 있을까? 아니~ 전투가 없는 날에는 사람들이랑 같이 노래방 같은데 갈까 해서!

	アイドルやってるときは、歌声とパフォーマンスでファンの心を掴むのが仕事だけど、オペレーターっていったい何すればいいの……？
	My duty as an idol was to make my fans happy with my songs and performances. But I'm an Operator now... what should my duty be, then?
	아이돌은 노래와 퍼포먼스로 팬의 마음을 사로잡는 게 일인데, 오퍼레이터는 대체 뭘 하면 되지…?

	ドクター！ドクター！何か手伝ってあげようか？こう見えてあたし、ペンギン急便では力仕事もやるんだよ。
	Doctor, anything I can help with? Don't you underestimate me—I'm considered quite physically capable at Penguin Logistics!
	박사! 박사! 뭐 도와줄 거 없어? 이래 봬도 나, 펭귄 로지스틱스에선 힘쓰는 일도 했다고.

	あたしの特技はもちろん歌うこと！えっとね、アカペラからリードボーカル、アイドルソングにポップス、ラップまでできるよ～！……ってこれ、オペレーターのお仕事には役立たないか……もっとみんなの役に立てるようになりたいな。
	Yup, my special skill is singing! Let's see, I can do a cappella, lead vocals, choir singing, pop music, and I can even rap, yo! Though I guess that's not a very useful skill for an Operator... If only I had a more practical skill...
	내 특기는 당연히 노래지! 어디 보자, 아카펠라부터 시작해서 리드 보컬, 아이돌 노래에 팝송, 랩까지 할 수 있어~! … 이렇게 보니 오퍼레이터 업무엔 도움이 안 되겠네… 어떻게 해야 사람들에게 더 도움을 줄 수 있을까?

	みっ、耳のこと！？あ、あたしに聞かれても……って、テキサスさんに聞くのはもっとダメ！そのうち教えてあげるから……！
	Ears...? Uh, I can't tell you... even if you ask Texas, she's not gonna tell you! I'll explain if I get the chance someday...
	귀, 귀가 왜 그러냐고?! 뭐, 뭐라고 대답해야 하나… 아, 텍사스 씨한테는 물어보면 안 돼! 나중에 가르쳐 줄 테니까…!

