ID:
	char_106_franka

CV:
	芙兰卡
	フランカ
	Franka
	프란카

干员代号\Name:
	加隈亚衣
	加隈亜衣
	Ai Kakuma
	카쿠마 아이

招聘合同\Character Usage:
	黑钢防化小队近卫干员芙兰卡，正在等待你的部署。
	BSW化学防護隊前衛オペレーターフランカ、配置待機中。
	Franka, Guard Operator of B.P.R.S. of Blacksteel, is waiting for your orders.
	블랙스틸 생화학방호대응팀 가드 오퍼레이터 프란카는 당신의 명령을 기다리고 있습니다.

合同描述\Character Description:
	炽热的铝热剑穿透一切防御。
	熱いテルミット剣を防ぐ盾なんてない。
	This scorching thermite blade shall penetrate all defenses.
	이글거리는 테르밋 블레이드가 뚫을 수 없는 방어는 존재하지 않는다.

信物\Potential Item:
	一张旅行计划书。因为规划的目的地太多而导致相当难以实现。
	旅行の計画書。計画している目的地が多すぎて、実現は相当難しそう。
	An itinerary. There are too many destinations on it so it's hard to stick to it.
	여행 계획서. 가고 싶은 곳이 너무 많아서 실행하기는 대단히 어려울 것 같다.

天赋\Talents:
	铝热剑
	テルミットレイピア
	Thermite Blade
	테르밋 블레이드

技能\Skills:
	迅捷打击·γ型
	迅速攻撃γ
	Swift Strike γ
	신속공격γ

	极致锋度
	利剣の極致
	Vorpal Edge
	예리함의 극치

语音\Voices:
	交代の時間だけど、そのまま仕事してて、ドクター。あたしのことは気にしなくていいから。
	We're changing shifts right now, Doctor. Just ignore me and get on with your work.
	교대 시간이긴 한데, 하던 일 계속해, 박사. 난 신경 쓰지 말고.

	BSWでは生体防護処置班員——通称「BPRS」というポジションを任されてたの。そう、みんなにもおなじみの、バケツみたいな防護服を着てね……。
	Back in BSW, I was appointed as a BPRS... you know, Biochemical Protection Response Staff. You can probably imagine what it was like... bulky hazmat suit and all that...
	블랙스틸에선 생화학방호대응 담당, 통칭 'BPRS'라는 포지션을 담당하고 있었어. 그래, 다들 잘 아는 양동이처럼 생긴 방호복을 입고서 말이야… 

	んー？あたしが潔癖症？ふふ、ドクターって意外と遠慮ない時あるよね、いい度胸してるわ。
	Hmm? You think I'm a clean freak? Well, Doctor, I see you're unexpectedly direct! I admire your courage.
	응? 내가 결벽증이 있다고? 후후, 박사는 의외로 직설적일 때가 있네. 좋은 배짱이야.

	一部のメンバーの部屋は浄化処理したほうがいいと思うな。あのお高く止まった優等生サマの部屋とかさ、どう？
	Some of the Operators' rooms are in dire need of cleaning. For example, the one belonging to that high-and-mighty teacher's pet. What do you think?
	일부 멤버의 방은 정화 처리를 하는 게 좋을 것 같아. 예를 들면 그 거만한 우등생님의 방이라든가. 어때?

	この剣の文様、見てみたい？はい、しっかり持って、絶対に離しちゃダメだよ。この剣、三秒もあれば2500度の熱さに……ふふ、冗談冗談、そう怯えないで。
	You want to see the intricate pattern on my sword up close? Sure, hold it tight, then. Don't let go—it'll heat up to 2,500 degrees Celcius in 3 seconds! Haha, just kidding! Don't be scared!
	이 검의 문양을 보고 싶어? 자, 꽉 잡아. 절대 놓치면 안 돼. 이 검은 3초 만에 2,500도까지 달아오른다고… 후후, 농담이야. 그렇게 겁먹지 마.

	化学ガスとか有毒物質とか放射線とかばっかりの部屋には気をつけて……そう、ケルシー先生のラボとかね。
	Stay clear of that room full of chemical haze, toxins and harmful radiation... that's right, I mean Dr. Kal'tsit's lab.
	화학 가스나 유독 물질, 방사선이 가득한 방은 조심해… 그래, 켈시 선생님의 연구실 같은 곳 말이야.

	生体防護の心がけ？そうね……食後の歯磨きは欠かさないとか？
	You're asking me for advice regarding the prevention of biochemical contamination? Well, for example... always brush your teeth after eating?
	생화학 방호 업무의 마음가짐? 글쎄… "식후에는 반드시 양치질할 것" 같은 거?

