ID:
	char_107_liskam

CV:
	雷蛇
	リスカム
	Liskarm
	리스캄

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	黑钢防化人员雷蛇，虽是重装干员，却既持有坚强的盾，又握着锐利的矛。
	BSW化学防護隊重装オペレーター・リスカム、攻守を併せもつ。
	Liskarm, Defender Operator of B.P.R.S. of Blacksteel, possesses both a solid shield and a sharp spear.
	블랙스틸 오퍼레이터 리스캄은 디펜더이지만, 방어뿐만 아니라 공격 면에서도 특출난 성능을 보여줍니다.

合同描述\Character Description:
	长枪般的雷电将贯穿面前的一切敌人。
	長槍のような稲妻は、目の前の全ての敵を突き通す。
	Her spear-like lightning will pierce all enemies in front of her.
	긴 창과도 같은 그녀의 번개는 전방의 모든 적을 꿰뚫는다.

信物\Potential Item:
	特制的防电手环。终于，安全握手。
	特製電気遮断ブレスレット。やっと、安全に握手できる。
	A tailor-made insulative bracelet. A safe handshake, finally.
	특제 전기 차단 팔찌. 이제 안심하고 악수할 수 있겠다.

天赋\Talents:
	战术防御
	戦術防御
	Tactical Defense
	전술 방어

技能\Skills:
	充能防御
	チャージガード
	Charged Defense
	차지 디펜스

	反击电弧
	カウンターアーク
	Counter Arc
	카운터 아크

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】雷蛇
	【性别】女
	【战斗经验】三年
	【出身地】瓦伊凡
	【生日】5月18日
	【种族】瓦伊凡
	【身高】156cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】リスカム
	【性別】女
	【戦闘経験】三年
	【出身地】ヴイーヴル
	【誕生日】5月18日
	【種族】ヴイーヴル
	【身長】156cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。
	身体状況は良好で、十分健康と言える。

	Basic Info :
	[Code Name] Liskarm
	[Gender] Female 
	[Combat Experience] 3 years 
	[Place of Birth] Vouivre 
	[Date of Birth] May 18 
	[Race] Vouivre 
	[Height] 156cm 
	[Infection Status] 
	Medical tests confirm uninfected status.

	기본정보 :
	[코드네임] 리스캄
	[성별] 여
	[전투 경험] 3년
	[출신지] 와이번
	[생일] 5월 18일
	[종족] 와이번
	[신장] 156cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】标准 
	【战场机动】普通 
	【生理耐受】优良 
	【战术规划】标准 
	【战斗技巧】优良 
	【源石技艺适应性】优良

	能力測定 :
	【物理強度】標準
	【戦場機動】普通
	【生理的耐性】優秀
	【戦術立案】標準
	【戦闘技術】優秀
	【アーツ適性】優秀

	Physical Exam :
	[Physical Strength] Standard 
	[Mobility] Normal 
	[Physical Resilience] Excellent 
	[Tactical Acumen] Standard 
	[Combat Skill] Excellent 
	[Originium Arts Assimilation] Excellent

	종합검진 :
	[물리적 강도] 표준
	[전장 기동력] 보통
	[생체 인내도] 우수
	[전술 계획력] 표준
	[전투 기술력] 우수
	[오리지늄 아츠 적응성] 우수

———————————————————————————————

	客观履历 :
	雷蛇，黑钢国际私人安全顾问公司雇员，为跨国企业、政府部门和无国界组织等提供安全防卫服务，于冲突地带积累了丰富的实战经验。 
	现于安保条约期内，为罗德岛提供专业的安全保障与咨询。

	個人履歴 :
	リスカムは、BSW個人安全保障員として、国際企業や政府機関、国境なき組織などに警備サービスを提供している。戦闘が多い地域で実戦経験を多く積み重ねてきた。
	現在は、安保条約期間内に、ロドスに安全保障とコンサルティングを提供している。

	Profile :
	Liskarm is an employee of Blacksteel Worldwide, a private security contractor that provides security and protection services to international business, state agencies and non-governmental organizations. She has a lot of combat experience in conflict zones. 
