ID:
	char_110_deepcl

CV:
	深海色
	ディピカ
	Deepcolor
	딥컬러

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	罗德岛辅助干员深海色，使役着她的“助手”们准备加入战斗。
	ロドス補助オペレーターディピカ、「アシさん」を駆使して戦闘に参加する。
	Deepcolor, Supporter Operator of Rhodes Island, is ready for combat with her 'assistants.'
	로도스 아일랜드 서포터 오퍼레이터 딥컬러. '어시스턴트'를 부려 전투에서 활약합니다.

合同描述\Character Description:
	你不会想知道她是怎样作画的。
	彼女はどうやって絵を描くのか、絶対に知らないほうがいい。
	You don't want to know how she draws.
	그녀가 어떻게 그림을 그리는지는, 아마 모르는 게 좋을 거다.

信物\Potential Item:
	手绘的童话故事书。在生命与死亡间跋涉的主人公，最终踏入了河流的尽头。
	手描きの童話集。生と死の間をさまよう主人公は、最後には川の果てに足を踏み入れる結末を迎える。
	A freehand fairy tale storybook. The main character, after traveling between life and death, finally steps into the river at the end.
	손수 그린 동화책. 삶과 죽음 사이에서 헤매던 주인공이 마침내 강물 속으로 발을 내딛는 결말을 맞이한다.

天赋\Talents:
	召唤触手
	触手召喚
	Tentacle Summoner
	촉수 소환

技能\Skills:
	光影之触
	光陰ノ触
	Shadow Tentacle
	광암 촉수

	视觉陷阱
	トロンプイユ
	Visual Trap
	트롱프뢰유

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】深海色
	【性别】女
	【战斗经验】没有战斗经验
	【出身地】未公开
	【生日】6月12日
	【种族】未公开
	【身高】163cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】ディピカ
	【性別】女
	【戦闘経験】なし
	【出身地】非公開
	【誕生日】6月12日
	【種族】非公開
	【身長】163cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Deepcolor
	[Gender] Female 
	[Combat Experience] None 
	[Place of Birth] Undisclosed 
	[Date of Birth] Jun. 12 
	[Race] Undisclosed 
	[Height] 163cm 
	[Infection Status] 
	Non-infected as confirmed by medical report.

	기본정보 :
	[코드네임] 딥컬러
	[성별] 여
	[전투 경험] 전투 경험 없음
	[출신지] 미공개
	[생일] 6월 12일
	[종족] 미공개
	[신장] 163cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通 
	【战场机动】普通 
	【生理耐受】普通 
	【战术规划】标准 
	【战斗技巧】标准 
	【源石技艺适应性】优良

	能力測定 :
	【物理強度】普通
	【戦場機動】普通
	【生理的耐性】普通
	【戦術立案】標準
	【戦闘技術】標準
	【アーツ適性】優秀

	Physical Exam :
	[Physical Strength] Normal 
	[Mobility] Normal 
	[Physical Resilience] Normal 
	[Tactical Acumen] Standard 
	[Combat Skill] Standard 
	[Originium Arts Assimilation] Excellent

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 보통
	[생체 인내도] 보통
	[전술 계획력] 표준
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 우수

———————————————————————————————

	客观履历 :
	深海色，出身不明，履历缺失。在源石技艺、法术支援、战术协同等方面展现出不俗战力。 
	现于罗德岛担任特种行动小组干员。

	個人履歴 :
	出身、経歴など全て不明。アーツ、それによる支援、戦術連携などの方面で並々ならぬ戦闘能力を見せる。
	現在はロドスの特殊行動隊のオペレーターを務める。

	Profile :
	Deepcolor's origin is shrouded in mystery, with large gaps in her background missing. She is remarkably gifted in the use of Originium abilities, Arts support and combat coordination. 
	Deepcolor is currently a special ops Operator for Rhodes Island.

	프로필 :
