ID:
	char_140_whitew

CV:
	拉普兰德
	ラップランド
	Lappland
	라플란드

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	干员拉普兰德，迫不及待想要切开眼前的敌人。
	オペレーターラップランド、目の前の敵を斬りたいと疼いている。
	Operator Lappland can't wait to slash apart the enemies in front of her.
	오퍼레이터 라플란드는 지금 당장에라도 눈 앞의 적을 베어버리고 싶은 마음에 몸이 근질근질하다고 합니다.

合同描述\Character Description:
	祈祷吧，祈祷她会听从你的指挥。
	祈ろう。彼女があなたの指揮に従うようにと。
	Just pray. Pray that she will listen to your orders.
	기도하도록 하자. 그녀가 제발 지휘에 따라주기를.

信物\Potential Item:
	数个印着名字的染血标牌。来自各个帮派的家长。
	数名の名前が書かれた血判状。各派閥のボスによるもの。
	Several bloodstained scutcheons with names on them. They represent the leaders of several gangs.
	여러 사람의 이름이 피로 적혀 있는 종이. 다양한 갱단의 보스들의 이름이 적혀 있다.

天赋\Talents:
	精神摧毁
	精神破壊
	Spiritual Destruction
	정신 파괴

技能\Skills:
	日晷
	影落とす時針
	Sundial
	해시계

	狼魂
	狼魂
	Wolf Spirit
	늑대의 혼

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】拉普兰德
	【性别】女
	【战斗经验】五年
	【出身地】叙拉古
	【生日】11月11日
	【种族】鲁珀
	【身高】162cm
	【矿石病感染情况】
	参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】ラップランド
	【性別】女
	【戦闘経験】五年
	【出身地】シラクーザ
	【誕生日】11月11日
	【種族】ループス
	【身長】162cm
	【鉱石病感染状況】
	メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Lappland 
	[Gender] Female 
	[Combat Experience] 5 years 
	[Place of Birth] Siracusa 
	[Date of Birth] Nov. 11 
	[Race] Lupo 
	[Height] 162cm 
	[Infection Status] 
	Infection confirmed by medical report.

	기본정보 :
	[코드네임] 라플란드
	[성별] 여
	[전투 경험] 5년
	[출신지] 시라쿠사
	[생일] 11월 11일
	[종족] 루포
	[신장] 162cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】优良
	【战场机动】标准
	【生理耐受】标准
	【战术规划】标准
	【战斗技巧】卓越
	【源石技艺适应性】优良

	能力測定 :
	【物理強度】優秀
	【戦場機動】標準
	【生理的耐性】標準
	【戦術立案】標準
	【戦闘技術】卓越
	【アーツ適性】優秀

	Physical Exam :
	[Physical Strength] Excellent 
	[Mobility] Standard 
	[Physical Resilience] Standard 
	[Tactical Acumen] Standard 
	[Combat Skill] Outstanding 
	[Originium Arts Assimilation] Excellent

	종합검진 :
	[물리적 강도] 우수
	[전장 기동력] 표준
	[생체 인내도] 표준
	[전술 계획력] 표준
	[전투 기술력] 월등
	[오리지늄 아츠 적응성] 우수

———————————————————————————————

	客观履历 :
	拉普兰德，身份不明，履历缺失。于战术攻坚与肃清作战中展现出十足的歼灭能力。
	现作为近卫干员，为罗德岛提供特别行动服务。

	個人履歴 :
	ラップランドは経歴が不明なため、出身もわかっていない。戦術的な強撃と粛清作戦においては十分な能力を発揮している。
	現在は前衛オペレーターとしてロドスの特別行動に協力している。

	Profile :
	Lappland's real identity is unknown, her background a mystery. She has demonstrated impressive destructive prowess in tactical assaults and search-and-destroy missions. 
	She is currently a special ops Operator for Rhodes Island.

	프로필 :
	    신원 불명, 이력 정보 부족. 공격 전술과 숙청 작전에서 뛰어난 섬멸 능력을 보여주었다. 현재 로도스 아일랜드를 위해 가드 오퍼레이터로 일하고 있다.

———————————————————————————————

	临床诊断分析 :
