ID:
	char_159_peacok

CV:
	断罪者
	コンビクション
	Conviction
	컨빅션

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	断罪大师正准备加入，心怀感激！
	コンビクション様が加入準備中だ。心から感激するのであるぞ！
	Conviction is ready to join!
	단죄 대사님께서 들어오십니다, 감사하는 마음을 가지십시오!

合同描述\Character Description:
	有罪，就要断！
	有罪、しからば処分を！
	Where there are sinners, there must be Conviction!
	죄가 있으면 단죄하겠노라!

信物\Potential Item:
	

天赋\Talents:
	稳妥降落
	備えなき降臨
	Safe Landing
	안전한 착지

技能\Skills:
	断罪
	断罪
	Judgment
	단죄

	创世纪
	創世記
	Genesis
	창세기

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】断罪者
	【性别】断罪
	【战斗经验】未知
	【出身地】米诺斯
	【生日】未知
	【种族】未知（疑似黎博利）
	【身高】145cm
	【矿石病感染情况】
	参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】コンビクション
	【性別】断罪
	【戦闘経験】不明
	【出身地】ミノス
	【誕生日】不明
	【種族】不明（疑似リーベリ）
	【身長】145cm
	【鉱石病感染状況】
	メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Conviction
	[Gender] Conviction
	[Combat Experience] Unknown
	[Place of Birth] Minos
	[Date of Birth] Unknown
	[Race] Unknown (Suspected Liberi)
	[Height] 145cm
	[Infection Status] 
	Confirmed infected by medical examination.

	기본정보 :
	[코드네임] 컨빅션
	[성별] 단죄
	[전투경험] 미확인
	[출신지] 미확인
	[생일] 미확인
	[종족] 미확인 (리베리로 추정)
	[신장] 145cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】标准
	【战场机动】标准
	【生理耐受】标准
	【战术规划】标准
	【战斗技巧】标准
	【源石技艺适应性】标准
	“观察对象无论在哪项测试中都能精准地将数据控制在平均值上。”

	能力測定 :
	【物理強度】標準
	【戦場機動】標準
	【生理的耐性】標準
	【戦術立案】標準
	【戦闘技術】標準
	【アーツ適性】標準
	「被験者は各項目の数値を精確に平均値までコントロールしている。」

	Physical Exam :
	[Physical Strength] Standard
	[Mobility] Standard
	[Physical Resilience] Standard
	[Tactical Acumen] Standard
	[Combat Skill] Standard
	[Originium Arts Assimilation] Standard
	'Test subject was able to accurately control all data to Standard, regardless of subject matter.'

	종합검진 :
	[물리적 강도] 표준
	[전장 기동력] 표준
	[생체 인내도] 표준
	[전술 계획력] 표준
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 표준
	 "관찰 대상은 모든 테스트 항목에서 정확히 평균 수치를 노렸음."

———————————————————————————————

	客观履历 :
	断罪者，又称作定罪者、艺术拳法家，为古国阿加门（现近米诺斯1045~1080/1091-控制地区）童话、历史故事及传说中的人物。

	個人履歴 :
	コンビクション、又の名は断罪師、拳法芸術家。古代王国アガモン（現ミノス1045-1080/1091- 近辺）のおとぎ話、歴史記載及び伝説の中に現れる人物。

	Profile :
	Conviction, also known as the Boxing Artist, is a figure from legends and historical stories, said to have been from the ancient country of Agamemnon (Present-day Minos, 1045-1080/1091-controlled territory).

	프로필 :
	정죄자, 혹은 단죄자라고도 불리는 예술권법가. 고대 국가 아가멤 (현 미노스 1045 ~ 1080 / 1091 - 제한구역)의 동화, 역사, 그리고 전설에 출현하는 인물이다.

———————————————————————————————

	临床诊断分析 :
	造影检测结果显示，该干员体内脏器轮廓模糊，可见异常阴影，循环系统内源石颗粒检测异常，有矿石病感染迹象，现阶段可确认为是矿石病感染者。
	
	【体细胞与源石融合率】5%
	体表无结晶。
	
	【血液源石结晶密度】0.26u/L
