ID:
	char_164_nightm

CV:
	夜魔
	ナイトメア
	Nightmare
	나이트메어

干员代号\Name:
	Unknown
	高橋李依
	Rie Takahashi
	타카하시 리에

招聘合同\Character Usage:
	罗德岛术师干员夜魔，两种人格都愿意使用源石技艺为你提供援助。
	ロドス術師オペレーター・ナイトメア、二つの人格それぞれでアーツによる支援を行う。
	Nightmare, Caster Operator of Rhodes Island, will provide help with her Originium Arts, no matter which personality is in at the moment.
	로도스 아일랜드 캐스터 오퍼레이터 나이트메어. 그녀는 이중인격을 갖고 있지만, 다행히도 둘 다 오리지늄 아츠로 당신을 서포트하고자 합니다.

合同描述\Character Description:
	我也不太确定眼前这个人究竟是谁。
	目の前にいるのは、一体誰？
	I'm not quite sure who's standing in front of me.
	지금 내 눈앞에 있는 건 대체 누구…?

信物\Potential Item:
	商店中随处可见的可爱布偶。如果放在没有光的地方，便会显现出另外一番样貌。
	ショップでよく見るかわいいぬいぐるみ。もし光の当たらない場所に置いておいたら、ショップでは見れない表情がはっきりと表れるだろう。
	A cute doll commonly seen in shops. It will look different if placed somewhere dark.
	상점에서 자주 볼 수 있는 귀여운 인형. 만약 빛이 들지 않는 곳에 놓아두면 상점에서는 보여주지 않았던 표정을 또렷이 드러낼 것이다.

天赋\Talents:
	表里人格
	二重人格
	Dual Personality
	이중인격

技能\Skills:
	灵魂汲取
	ソウルドレイン
	Drain Soul
	영혼 착취

	夜魇魔影
	ナイトシャドウ
	Night Phantom
	악몽의 그림자

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】夜魔
	【性别】女
	【战斗经验】半年
	【出身地】维多利亚
	【生日】6月1日
	【种族】菲林
	【身高】156cm
	【矿石病感染情况】
	体内脏器有可见源石结晶阴影，确认为感染者。

	基礎情報 :
	【コードネーム】ナイトメア
	【性別】女
	【戦闘経験】半年
	【出身地】ヴィクトリア
	【誕生日】6月1日
	【種族】フェリーン
	【身長】156cm
	【鉱石病感染状況】
	臓器に源石結晶の陰影が見られる。感染者に認定。

	Basic Info :
	[Code Name] Nightmare 
	[Gender] Female 
	[Combat Experience] 6 Months 
	[Place of Birth] Victoria 
	[Date of Birth] Jun. 1 
	[Race] Feline 
	[Height] 156cm 
	[Infection Status] 
	Visible internal blotches, infection confirmed.

	기본정보 :
	[코드네임] 나이트메어
	[성별] 여
	[전투 경험] 6개월
	[출신지] 빅토리아
	[생일] 6월 1일
	[종족] 필라인
	[신장] 156cm
	[광석병 감염 상황]
	체내 장기에 오리지늄 결정 음영 확인, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】标准
	【生理耐受】普通
	【战术规划】普通
	【战斗技巧】标准
	【源石技艺适应性】优良

	能力測定 :
	【物理強度】普通
	【戦場機動】標準
	【生理的耐性】普通
	【戦術立案】普通
	【戦闘技術】標準
	【アーツ適性】優秀

	Physical Exam :
	[Physical Strength] Normal 
	[Mobility] Standard 
	[Physical Resilience] Normal 
	[Tactical Acumen] Normal 
	[Combat Skill] Standard 
	[Originium Arts Assimilation] Excellent

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 표준
	[생체 인내도] 보통
	[전술 계획력] 보통
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 우수

———————————————————————————————

	客观履历 :
	夜魔，维多利亚公民，登记姓名为瑞贝尔·帕斯贝莱蒂·葛罗莉亚，于罗德岛正式任职前为高校学生，进修课程：进阶医疗法术与心理学干预。在医疗法术和破坏性法术领域均展现出较强的控制力。现于罗德岛某调理机构中担任职员。
	备注：该干员适用于特殊监护管理办法，协议已由监护者莱娜签字确认，现已生效。

	個人履歴 :
