ID:
	char_166_skfire

CV:
	天火
	スカイフレア
	Skyfire
	스카이파이어

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	“王者之杖”所属干员天火，很乐意烧尽一切拦路的恶人。
	王の杖所属メンバー・スカイフレア、道を塞ぐもの全て焼き尽くす。
	Skyfire, Operator from King's Wand, is ready to burn anyone foolish enough to stand in her way.
	 '왕의 지팡이' 소속 오퍼레이터 스카이파이어는 전장의 악한 이들을 전부 태워버릴 것입니다.

合同描述\Character Description:
	要是再触发火警，就扣她工资！
	もう一回火災警報を鳴らしたら給料を減らすよ！
	Fine her if she triggers the fire alarm again!
	한 번만 더 화재경보기를 울리면, 그땐 월급을 깎아야지!

信物\Potential Item:
	一颗触感冰凉的玻璃珠，内里的颜色正在翻腾燃烧。
	触るとひんやり冷たいガラス玉。内側は燃えるような色をしている。
	A glass bead that feels cool. The colors inside are raging.
	만지면 차가운 유리구슬. 안쪽의 색이 마치 불타는 듯하다.

天赋\Talents:
	法术狙击
	アーツバースト
	Arts Sniper
	아츠 저격

技能\Skills:
	攻击力强化·γ型
	攻撃力強化γ
	ATK Up γ
	공격 강화γ

	天坠之火
	メテオフレイム
	Fire of Heaven
	메테오 플레임

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】天火
	【性别】女
	【战斗经验】一年
	【出身地】维多利亚
	【生日】6月1日
	【种族】菲林
	【身高】162cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】スカイフレア
	【性別】女
	【戦闘経験】一年
	【出身地】ヴィクトリア
	【誕生日】6月1日
	【種族】フェリーン
	【身長】162cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Skyfire
	[Gender] Female 
	[Combat Experience] 1 year 
	[Place of Birth] Victoria 
	[Date of Birth] Jun. 1 
	[Race] Feline 
	[Height] 162cm 
	[Infection Status] 
	Non-infected as confirmed by medical report.

	기본정보 :
	[코드네임] 스카이파이어
	[성별] 여
	[전투 경험] 1년
	[출신지] 빅토리아
	[생일] 6월 1일
	[종족] 필라인
	[신장] 162cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】普通
	【生理耐受】普通
	【战术规划】标准
	【战斗技巧】普通
	【源石技艺适应性】卓越

	能力測定 :
	【物理強度】普通
	【戦場機動】普通
	【生理的耐性】普通
	【戦術立案】標準
	【戦闘技術】普通
	【アーツ適性】卓越

	Physical Exam :
	[Physical Strength] Normal 
	[Mobility] Normal 
	[Physical Resilience] Normal 
	[Tactical Acumen] Standard 
	[Combat Skill] Normal 
	[Originium Arts Assimilation] Outstanding

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 보통
	[생체 인내도] 보통
	[전술 계획력] 표준
	[전투 기술력] 보통
	[오리지늄 아츠 적응성] 월등

———————————————————————————————

	客观履历 :
	天火，隶属民间源石技艺研究会“狐尾”的核心团体“王者之杖”。拥有地质学与源石地质学双学位，维多利亚高等职业术师，在源石技艺及理论研究方面皆有杰出造诣。
	现任王者之杖驻罗德岛首席术师，与罗德岛签署合作协议，并为罗德岛的源石理论研究，歼灭战作战等多项任务提供协助。

	個人履歴 :
	スカイフレアは、民間のアーツ研究会「狐尾」の中心グループ「王の杖」に所属している。地質学と源石地質学の二つの学位を所持するヴィクトリア上級職業術師で、アーツ運用及び理論研究方面では特に造詣が深い。
	現在王の杖のロドス駐在首席術師の任にあり、ロドスとの協力協議を結んでいる。またロドスの源石理論研究や殲滅作戦等多くの任務へ協力を提供している。

	Profile :
