ID:
	char_172_svrash

CV:
	银灰
	シルバーアッシュ
	SilverAsh
	실버애쉬

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	喀兰贸易公司董事长，已与罗德岛签订合约，随时可以介入战场。
	カランド貿易CEO・シルバーアッシュ。ロドスと契約を結び、いつでも戦場に身を投じることができる。
	SilverAsh, President of Karlan Trade CO., LTD, has signed the contract with Rhodes Island and is ready to join the field.
	카란 무역회사의 사장 실버애쉬는 로도스 아일랜드와의 계약으로 인해 언제든지 전장에 투입될 수 있습니다.

合同描述\Character Description:
	别再挣扎了，他提出的条件里真没有陷阱，就算有，你也看不出来。
	諦めて。彼の条件に罠はない。あっても、あなたはきっと見抜けない。
	Let your guard down. There are no traps in the conditions he offers. Well, you won't know even if there is one.
	더 이상 경계하지 않아도 된다. 그가 내건 조건에는 정말로 함정이 없으니까. 설령 있다 해도 눈치채진 못하겠지만.

信物\Potential Item:
	世上仅有数块，象征挚诚的源石冰晶。永远不会融化。
	世界に数個しかない、誠意を象徴するオリジニウム氷晶。永遠に溶けることはない。
	One of only a few extant Originium Ice crystals that represent sincerity. It will never melt.
	진실한 마음을 상징하는 오리지늄 얼음 조각. 세상에 몇 개밖에 존재하지 않는 희귀품이다. 영원히 녹지 않는다.

天赋\Talents:
	领袖
	カリスマ
	Leader
	지도자

技能\Skills:
	强力击·γ型
	強撃γ
	Power Strike γ
	강타γ

	雪境生存法则
	雪境生存戦略
	Rules of Survival
	히라 생존 법칙

	真银斩
	真銀斬
	Truesilver Slash
	진은참

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】银灰
	【性别】男
	【战斗经验】四年
	【出身地】谢拉格
	【生日】2月15日
	【种族】菲林
	【身高】192cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】シルバーアッシュ
	【性別】男
	【戦闘経験】四年
	【出身地】イェラグ
	【誕生日】2月15日
	【種族】フェリーン
	【身長】192cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] SilverAsh
	[Gender] Male
	[Combat Experience] 4 years
	[Place of Birth] Kjerag
	[Date of Birth] February 15
	[Race] Feline
	[Height] 192cm
	[Infection Status] 
	Medical tests have confirmed that no infection is present.

	기본정보 :
	[코드네임] 실버애쉬
	[성별] 남
	[전투 경험] 4년
	[출신지] 쉐라그
	[생일] 2월15일
	[종족] 필라인
	[신장] 192cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】标准 
	【战场机动】标准 
	【生理耐受】标准 
	【战术规划】卓越 
	【战斗技巧】优良 
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】標準
	【戦場機動】標準
	【生理的耐性】標準
	【戦術立案】卓越
	【戦闘技術】優秀
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Standard 
	[Mobility] Standard 
	[Physical Resilience] Standard 
	[Tactical Acumen] Outstanding 
	[Combat Skill] Excellent 
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 표준
	[전장 기동력] 표준
	[생체 인내도] 표준
	[전술 계획력] 월등
	[전투 기술력] 우수
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	银灰，谢拉格军阀，喀兰贸易公司董事长，希瓦艾什家族现任族长。在经济贸易、国际政治、外交手腕与战术策划上有独到见解。 
	于罗德岛的部分行动中提供战略支援。 
	鉴于其实际目的不明、合作态度暧昧等理由，建议在交流中持保守态度以杜绝额外风险。

	個人履歴 :
