ID:
	char_192_falco

CV:
	翎羽
	プリュム
	Plume
	플룸

干员代号\Name:
	Unknown
	立花理香
	Rika Tachibana
	타치바나 리카

招聘合同\Character Usage:
	罗德岛先锋干员翎羽，将为小队提供可靠的防御并反击敌人的攻势。
	ロドス先鋒オペレーター・プリュム、チームに頼もしい防衛で貢献しながら敵に反撃する。
	Plume, Vanguard Operator of Rhodes Island, will provide reliable defense for the squad and hold back the enemy.
	로도스 아일랜드 뱅가드 오퍼레이터 플룸. 팀에 든든한 방어를 제공하며 적을 반격합니다.

合同描述\Character Description:
	一丝不苟的拉特兰卫士。
	几帳面なラテラーノの護衛役。
	A guard of Laterano who looks serious all the time.
	빈틈이라곤 보이지 않는 라테라노의 호위병.

信物\Potential Item:
	克制地装饰着少量羽毛的礼帽。适合拉特兰的各个节日。
	控えめに少しだけ羽毛をあしらったシルクハット。ラテラーノの祝祭日にはぴったり。
	A formal hat decorated with a modest amount of feathers. It is suitable for all Laterano festivals.
	수수한 디자인이지만 약간의 깃털을 사용해서 장식한 실크해트. 라테라노의 축제일에 쓰면 잘 어울린다.

天赋\Talents:
	攻击提升
	攻撃力上昇
	ATK Up
	공격력 상승

技能\Skills:
	迅捷打击·α型
	迅速攻撃α
	Swift Strike α
	신속공격α

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】翎羽
	【性别】女 
	【战斗经验】一年
	【出身地】拉特兰
	【生日】10月28日
	【种族】黎博利
	【身高】158cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】プリュム
	【性別】女
	【戦闘経験】一年
	【出身地】ラテラーノ
	【誕生日】10月28日
	【種族】リーベリ
	【身長】158cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Plume 
	[Gender] Female 
	[Combat Experience] 1 year 
	[Place of Birth] Laterano 
	[Date of Birth] Oct. 28 
	[Race] Liberi 
	[Height] 158cm 
	[Infection Status] 
	Non-infected as confirmed by medical report.

	기본정보 :
	[코드네임] 플룸
	[성별] 여
	[전투 경험] 1년
	[출신지] 라테라노
	[생일] 10월 28일
	[종족] 리베리
	[신장] 158cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】标准
	【战场机动】优良
	【生理耐受】普通
	【战术规划】普通
	【战斗技巧】标准
	【源石技艺适应性】普通

	能力測定 :
	【物理強度】標準
	【戦場機動】優秀
	【生理的耐性】普通
	【戦術立案】普通
	【戦闘技術】標準
	【アーツ適性】普通

	Physical Exam :
	[Physical Strength] Standard 
	[Mobility] Excellent
	[Physical Resilience] Normal 
	[Tactical Acumen] Normal 
	[Combat Skill] Standard 
	[Originium Arts Assimilation] Normal

	종합검진 :
	[물리적 강도] 표준
	[전장 기동력] 우수
	[생체 인내도] 보통
	[전술 계획력] 보통
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 보통

———————————————————————————————

	客观履历 :
	出身自拉特兰的黎博利人，前拉特兰戍卫队成员。阴差阳错间离开了拉特兰来到罗德岛。现于罗德岛担任安保人员，提供基地安保、巡查与重要物资看护等相关服务。

	個人履歴 :
	ラテラーノ出身のリーベリ族で、ラテラーノ護衛隊の元衛兵。偶然が重なって、ラテラーノを離れロドスにやってきた。現在はロドスの安全保障要員であり、基地の保安、巡回や重要物資の護衛等の任務を担当している。

	Profile :
	Plume is a Liberi from Laterano, and former member of the Laterano Guard who bumbled her way out of Laterano and into Rhodes Island. She performs security, inspection, and loss prevention duties.

	프로필 :
