ID:
	char_193_frostl

CV:
	霜叶
	フロストリーフ
	Frostleaf
	프로스트리프

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	罗德岛近卫干员霜叶，只要是你的命令，她都会遵从。
	ロドス前衛オペレーター・フロストリーフ、あなたの命令であればなんでも従う。
	Frostleaf, Guard Operator of Rhodes Island, will obey all your orders.
	로도스 아일랜드 가드 오퍼레이터 프로스트리프는 당신의 명령이라면 뭐든지 따를 준비가 되어 있습니다.

合同描述\Character Description:
	试着成为引领她的道标吧。
	彼女を導く道しるべになろう。
	Try to become her beacon.
	그녀의 길을 이끌어줄 이정표가 되어주도록 하자.

信物\Potential Item:
	翻得破破烂烂的识字本。每页的空白处都认真地标注着许多图画般的符号。
	ボロボロになった文字の学習書。どのページの余白にも絵のような記号がきっちりとたくさん書きこまれている。
	A vocabulary book that looks timeworn due to overuse. Detailed marks that look like doodles fill the margins of every page.
	너덜너덜한 글씨 연습 교본. 모든 페이지의 여백에 그림처럼 생긴 기호가 촘촘히 적혀 있다.

天赋\Talents:
	掩护打击
	援護攻撃
	Covered Strike
	엄호 공격

技能\Skills:
	寒霜枪刃
	降霜の刃
	Frost Tomahawk
	서리창

	凝冰枪刃
	氷結の刃
	Ice Tomahawk
	빙결창

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】霜叶
	【性别】女
	【战斗经验】七年
	【出身地】哥伦比亚
	【生日】5月1日
	【种族】沃尔珀
	【矿石病感染情况】
	体表有源石结晶分布，且参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】フロストリーフ
	【性別】女
	【戦闘経験】七年
	【出身地】クルビア
	【誕生日】5月1日
	【種族】ヴァルポ
	【鉱石病感染状況】
	体表に源石結晶の分布を確認。さらにメディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Frostleaf 
	[Gender] Female 
	[Combat Experience] 7 years 
	[Place of Birth] Columbia 
	[Date of Birth] May 1 
	[Race] Vulpo 
	[Infection Status] 
	Showed physical signs of Oripathy, infection confirmed by medical examination.

	기본정보 :
	[코드네임] 프로스트리프
	[성별] 여
	[전투 경험] 7년
	[출신지] 컬럼비아
	[생일] 5월 1일
	[종족] 불포
	[광석병 감염 상황]
	체표면에 오리지늄 결정 분포, 의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通 
	【战场机动】标准 
	【生理耐受】普通 
	【战术规划】标准 
	【战斗技巧】优良 
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】普通
	【戦場機動】標準
	【生理的耐性】普通
	【戦術立案】標準
	【戦闘技術】優秀
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Normal 
	[Mobility] Standard 
	[Physical Resilience] Normal 
	[Tactical Acumen] Standard 
	[Combat Skill] Excellent 
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 표준
	[생체 인내도] 보통
	[전술 계획력] 표준
	[전투 기술력] 우수
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	前哥伦比亚少年兵，所属部队覆灭后被“退役”。在随后的流浪佣兵生活中和罗德岛建立关系，经过一段时间合作后被吸收进入罗德岛。 
	拥有非常丰富的战场经验，本身的战斗技巧也不容小觑，对罗德岛来说，是不可多得的优秀战力。

	個人履歴 :
	元クルビア少年兵。所属していた軍隊が壊滅し強制的に「引退」。その後の転々とした傭兵生活でロドスと接触し、一定の協力期間を経てロドスに吸収された。
	非常に豊富な戦闘経験を持つかつ本来の戦闘スキルもハイレベルのため、ロドスにとっては貴重な優れた戦力。

	Profile :
