ID:
	char_2015_dusk

干员代号\Name:
	夕
	シー
	Dusk
	시

招聘合同\Character Usage:
	兴起而来的画之大者，夕，只负责一切事业的点睛之笔。
	気分屋の画の大家、シーは、全ての事業において、最も肝要な一筆だけを描く。
	Coming on a whim, the great painter, Dusk, puts only the finishing touches on all jobs.
	떠오르는 유명 화가인 시는, 모든 업무의 핵심 부분만 책임지고 있습니다.

合同描述\Character Description:
	在她失了兴致之前，鼓起勇气向她搭话！
	彼女の興が乗っているうちに、勇気を出して話かけるんだ！
	Summon your courage to talk to her before she loses interest!
	그녀가 흥미를 잃기 전에 용기를 내어 그녀에게 말을 걸어야 한다.

信物\Potential Item:
	一支看似无奇的毛笔。夕的笔，可生万物，也可生笔，用的时候要留神一点。
	何の変哲もないようにみえる毛筆。シーの筆は万物を生む。筆も生む。使用する時には注意すべきである。
	A seemingly ordinary brush. Dusk's brushes can give rise to all life as well as brushstrokes. Be a little careful when using it.
	만물을 생성하고 붓을 창조할 수도 있는, 겉보기에 색다른 점은 없는 시의 붓. 사용할 땐 조심하도록 하자.

天赋\Talents:
	化境
	積墨
	Sublimity
	화경

技能\Skills:
	工笔入化
	工筆入魂
	Transcendental Stroke
	경지에 다다른 세밀화법

	泼墨淋漓
	潑墨淋漓
	Flowing Ink
	거침없는 발묵

	写意胜形
	写意攻苦
	Image over Form
	사의승형

语音\Voices:
	嗯？不是说过，你敲门之后我要是不答应，你就不准进来吗？你的办公室？值班？那我不也是因为值班才出自己房间的吗？你的办公室是什么意思，册起册起册起，我还在构思哪。
	あら？言ったでしょう、ノックしても返事がなければ入ってこないでって。貴方のオフィス？仕事しに来た？私だって仕事だっていうから自分の部屋からわざわざここに来たんだけど？貴方のオフィスってどういうことよ、しっしっ、こっちは構想中なのよ。
	Hm? Did I not tell explain that you were forbidden to enter without my express permission, after knocking? Oh? This is your office? You're working? Then have I not come out of my room to work as well? What is the meaning of 'your office'? Tse-chi! I'm still sketching it out.
	어머, 말했을 텐데? 노크해도 반응이 없으면 들어오지 말라고. 네 사무실이라고? 일 때문에 왔다고? 나도 일이라고 해서 내 방에서 굳이 여기까지 온 건데? 네 사무실이라니 어떻게 된 거야, 나가 나가! 난 구상 중이란 말이야.

	你想看画？可以。如果是你的话，送你张画也可以。但你要是喜欢这画，我就不会送你。你不喜欢？那更不用给你了。我这个人就这样，知足吧。
	絵を見たいですって？いいわ、貴方になら一枚くらいあげても構わないけど。でもこの絵が好きっていうのならあげないわよ。嫌い？じゃあなおさらあげないわ。私はこういうやつだから、観念なさいな。
	You want to see my painting? You may. For you, I could even give you the painting. But if you like it, I won't give it to you. You don't like it? Then you wouldn't want it anyway. This is who I am. Deal with it.
