ID:
	char_225_haak

CV:
	阿
	ア
	Aak
	아

干员代号\Name:
	Unknown
	三瓶由布子
	Yuko Sanpei
	산페이 유우코

招聘合同\Character Usage:
	罗德岛特种干员阿，将在后方支援其他干员。
	ロドス特殊オペレーター・ア。部隊の後方支援を担当する。
	Aak, Specialist Operator of Rhodes Island, will support other Operators from the rear.
	로도스 아일랜드 스페셜리스트 오퍼레이터 아는 후방에서 동료들을 지원해줄 것입니다.

合同描述\Character Description:
	你有权不在他的支援范围内行动。
	あなたには彼の手が届かない所で行動する権利がある。
	You have the right to operate outside his support range.
	당신에겐 그의 지원 범위 내에서 행동하지 않을 권리가 있다.

信物\Potential Item:
	一个药瓶，里面装了六颗不同颜色的药丸。但是没有给说明书。
	色違いの錠剤が六粒入っている薬瓶。しかし処方箋は見当たらない。
	A bottle filled with 6 different-colored pills. No instructions are provided.
	병 하나에 색깔이 각기 다른 여섯 개의 알약이 들어있다. 설명서는 받지 못했다.

天赋\Talents:
	混合药物射击
	混合薬物弾
	Drug Cocktail Administration
	혼합약물사격

技能\Skills:
	快速射击
	高速射撃
	Rapid Fire
	쾌속사격

	爆发剂·γ型
	劇性増強剤・γ
	Type-γ Stimpack
	폭발제γ

	爆发剂·榴莲味
	劇性増強剤・ドリアン
	Durian-Flavored Stimpack
	폭발제 (두리안맛) 

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】阿
	【性别】男
	【战斗经验】没有战斗经验
	【出身地】龙门
	【生日】3月25日
	【种族】菲林
	【身高】161cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】ア
	【性別】男
	【戦闘経験】なし
	【出身地】龍門
	【誕生日】3月25日
	【種族】フェリーン
	【身長】161cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Aak
	[Gender] Male
	[Combat Experience] None
	[Place of Birth] Lungmen
	[Date of Birth] Mar 25
	[Race] Feline
	[Height] 161cm
	[Infection Status] 
	Confirmed uninfected by medical examination.

	기본정보 :
	[코드네임] 아
	[성별] 남
	[전투경험] 없음
	[출신지] 용문
	[생일] 3월 25일
	[종족] 필라인
	[신장] 161cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】标准
	【生理耐受】普通
	【战术规划】标准
	【战斗技巧】标准
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】普通
	【戦場機動】標準
	【生理的耐性】普通
	【戦術立案】標準
	【戦闘技術】標準
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Normal
	[Mobility] Standard
	[Physical Resilience] Normal
	[Tactical Acumen] Standard
	[Combat Skill] Standard
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 표준
	[생체 인내도] 보통
	[전술 계획력] 표준
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	经龙门鲤氏侦探事务所所长老鲤推荐而来的医疗人员，曾是活跃于龙门灰色地带的知名黑医生。
	在加入后，展现出了惊人的医疗理论知识储备以及临床经验，但也表现出让人担忧的医疗风格。
	不过根据凯尔希医生的综合评估，被暂时推荐到医疗装备科和技术开发组。

	個人履歴 :
	龍門リー探偵事務所所長リーの推薦によりロドスに加入した、かつて龍門のグレーゾーンで活躍していた闇医者。
	加入後は驚くほどの豊富な医療理論知識と臨床経験を披露したが、医療スタイルの面では不安があった。
	ケルシー医師の総合的評価に従い、ひとまず医療装備科及び技術開発部門への配属になっている。

	Profile :
