ID:
	char_271_spikes

CV:
	芳汀
	アレーン
	Arene
	아렌

干员代号\Name:
	Unknown
	松岡禎丞
	Yoshitsugu Matsuoka
	마츠오카 요시츠구

招聘合同\Character Usage:
	近卫干员芳汀，乐于在战场上捉弄敌人。
	前衛オペレーター・アレーン。戦場で敵をもてあそんで楽しむ。
	Vanguard Operator Arene, always taking pleasure in toying with his enemies on the field.
	가드 오퍼레이터 아렌은 전장 위의 적을 농락하는 걸 즐깁니다.

合同描述\Character Description:
	别靠太近，有危险。
	近づき過ぎるな、危ないぞ。
	Don't come too close. It's dangerous.
	위험하니 너무 가까이 접근하진 않도록.

信物\Potential Item:
	一颗橡胶玩具子弹。萨科塔的孩子们都有自己的玩具枪，并且总用这种橡胶子弹填满所有口袋。
	ゴム製のおもちゃの弾丸。サンクタの子供は、みんなおもちゃの銃を持っており、いつもゴム弾でポケットをパンパンにしている。
	A rubber toy bullet. Sankta children keep their own toy guns and fill their pockets with these rubber bullets.
	장난감 고무총탄. 산크타 아이들은 다들 자신만의 장난감 총을 갖고 있으며, 이런 고무총탄을 주머니에 한가득 채워 갖고 다닌다.

天赋\Talents:
	结构分解
	構造分解
	Structural Decomposition
	구조 분해

技能\Skills:
	小玩笑
	いたずら
	Just Kidding
	농담

	致命恶作剧
	フェイタルトリック
	Deadly Prank
	치명적인 장난

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】芳汀
	【性别】男
	【战斗经验】半年
	【出身地】拉特兰
	【生日】9月7日
	【种族】萨科塔
	【身高】161cm
	【矿石病感染情况】
	体表有少量源石结晶分布，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】アレーン
	【性別】男
	【戦闘経験】半年
	【出身地】ラテラーノ
	【誕生日】9月7日
	【種族】サンクタ
	【身長】161cm
	【鉱石病感染状況】
	体表に少量の源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Arene
	[Gender] Male]
	[Combat Experience] Six months
	[Place of Birth] Laterano
	[Date of Birth] September 7
	[Race] Sankta
	[Height] 161cm
	[Infection Status] 
	Crystals have appeared on his body. Infection confirmed by medical examination.

	기본정보 :
	[코드네임] 아렌
	[성별] 남
	[전투 경험] 반년
	[출신지] 라테라노
	[생일] 9월 7일
	[종족] 산크타
	[신장] 161cm
	[광석병 감염 상황]
	 체표면에 소량의 오리지늄 결정 분포, 의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】普通
	【生理耐受】普通
	【战术规划】优良
	【战斗技巧】普通
	【源石技艺适应性】优良

	能力測定 :
	【物理強度】普通
	【戦場機動】普通
	【生理的耐性】普通
	【戦術立案】優秀
	【戦闘技術】普通
	【アーツ適性】優秀

	Physical Exam :
	[Physical Strength] Normal
	[Mobility] Normal
	[Physical Resilience] Normal
	[Tactical Acumen] Excellent
	[Combat Skill] Normal
	[Originium Arts Assimilation] Excellent

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 보통
	[생체 인내도] 보통
	[전술 계획력] 우수
	[전투 기술력] 보통
	[오리지늄 아츠 적응성]우수

———————————————————————————————

	客观履历 :
	干员芳汀，拉特兰出生的萨科塔人，于数年前一场与拉特兰遗产铳相关的事件中感染矿石病，遭到拉特兰的驱逐。在离开拉特兰后，前往莱塔尼亚求学。
	现已通过专业测试，作为近卫干员为罗德岛提供服务并接受治疗。

	個人履歴 :
	ラテラーノ出身のサンクタ人。数年前に起きたラテラーノ遺産銃関連の事件にて鉱石病に感染したため、祖国追放の憂き目に遭った。ラテラーノを追われた彼は勉学に励むためリターニアへと向かった。 
