ID:
	char_293_thorns

CV:
	棘刺
	ソーンズ
	Thorns
	쏜즈

干员代号\Name:
	石川界人
	石川界人
	Kaito Ishikawa
	이시카와 카이토

招聘合同\Character Usage:
	罗德岛近卫干员棘刺，从不浪费力气，每一次攻击都经过精密计算。
	ロドス前衛オペレーター・ソーンズ。力の浪費は一切せず、毎回の攻撃は全て緻密に計算されたものだ。
	Thorns, Guard Operator of Rhodes Island, wastes not an ounce of energy, calculating each strike meticulously.
	로도스 아일랜드 가드 오퍼레이터 쏜즈는 늘 정밀한 계산을 통해 공격하여, 힘을 허투루 쓰는 법이 없습니다.

合同描述\Character Description:
	他往往会以自己的理解来配合指挥。
	彼はいつも指揮に自分の理解をすり合わせる。
	He'll cooperate according to his own interpretation of the commands.
	그는 종종 자신만의 견해로 지휘에 협조한다.

信物\Potential Item:
	装有药液的小瓶子。初学时的纪念作，危险，谨慎使用。
	薬液が入った小瓶。学び始めた頃初めて作ったものを記念に取っておいていた。危険なので使用の際はくれぐれも慎重に。
	A small vial of medicinal fluid, a reminder of some of his earliest work; Danger, use with caution.
	약물이 들어있는 작은 병. 중학교 때의 기념작으로써, 매우 위험하니 사용 시엔 각별히 주의하도록 하자.

天赋\Talents:
	神经腐蚀
	神経猛毒
	Nerve Corrosion
	신경 부식

技能\Skills:
	攻击力强化·γ型
	攻撃力強化γ
	ATK Up γ
	공격 강화γ

	护身尖刺
	迎撃針棘
	Protective Spikes
	호신용 가시

	至高之术
	デストレッツァ
	Destreza
	데스트레자

语音\Voices:
	仕事の前にこれを飲むといい。よし。これで薬効時間中はドクターもサボることはないだろ？
	Before you start working, take some of this. Good. Now, for the duration of this drug, you won't be slacking off, right?
	일하기 전에 이걸 마시도록 해라. 좋아. 이걸로 약효가 도는 동안 박사가 게으름 피우는 일은 없겠지?

	抽出液の分離と解析はほとんど済んだ。次は純化作業だが、実際の効果についてはまだ実験が必要だ……なんだ？ドクター、俺の髪がどうかしたか？髪が……爆発しているだと？気にするな、実験の失敗は一度や二度のことじゃない。
	Separation and analysis of the extract are almost complete, next step is purification. Actual effect needs further testing... Huh? Why are you staring at my hair, Doctor? My hair... is a total mess? Don't worry about it. Wouldn't be the first time my experiment has failed, or the second.
	추출액의 분리와 해석은 거의 끝났다. 다음은 순화 작업인데, 실제 효과에 대해서는 아직 실험이 필요하다…… 뭐지? 박사, 내 머리카락이 어떻게 됐다고? 머리카락이…… 폭발하고 있다고? 신경 쓰지 마라, 실험 실패는 한두 번 있는 일이 아니니.

	俺が持ち歩いているこの薬剤か？致命性はないが、うかつに触らないほうがいい。
	The drugs I carry on me? They're not fatal, but it'd be best not to touch them.
	내가 들고 다니는 이 약제 말인가? 치명적이지는 않지만 함부로 만지지 않는 게 좋아.

	常に頭は動かし続けろ。思考を放棄してしまえば、自身の急所を相手に委ねるようなものだ。俺はかつてそのように教わった。たまたま今も記憶に残っているだけだけどな。
	Always keep your mind running. Giving up on thought is tantamount on handing your keys to your enemies. I've been taught this many times, and always think back to it.
	언제나 머리를 계속 굴려라. 생각하길 포기하는 건 자신의 급소를 상대방에게 맡기는 거나 다름없다. 나는 전에 그렇게 배웠다. 어쩌다 보니 지금도 기억에 남아있을 뿐이지만 말이야.

	俺の種族は、本来今とは全く異なる容姿をしていたんだ。俺たちの皮膚は甲羅のように硬く、髪は流水のように滑らかだった。しかし灼熱の日光と乾燥した空気にあてられ、最後には今の通りに変化したというわけだ。信じたか？悪いな、今のは冗談さ。
	My people originally had a completely different appearance. Our skin was as hard as a carapace, and our hair was as smooth as flowing water. However, the scorching sun and dry air have turned us into what we are today. You believed that? Sorry, I was just speaking gibberish just now.
