ID:
	char_302_glaze

干员代号\Name:
	安比尔
	アンブリエル
	Ambriel
	엠브리엘

招聘合同\Character Usage:
	罗德岛狙击干员安比尔，她会在你看不到的地方瞄准你的身后。
	ロドス狙撃オペレーター・アンブリエル。見えないところからあなたの背後をカバーしている。
	Ambriel, Sniper Operator of Rhodes Island, has her sights on your back from somewhere you cannot see.
	로도스 아일랜드 스나이퍼 오퍼레이터 엠브리엘은 당신이 보지 못하는 곳에서 당신의 뒤를 겨눌 것입니다.

合同描述\Character Description:
	一位全面而标准的狙击手，只要不打瞌睡的话。
	狙撃手に必要なスキルは全て兼ね備えている。ただし居眠りをするのが玉にキズ。
	A well-rounded and capable sniper, as long as she doesn't doze off.
	나무랄데 없이 훌륭한 스나이퍼다. 졸지만 않는다면…

信物\Potential Item:
	一枚做工精巧的化妆镜。携带非常方便，可以在战斗中随时检查发型是否凌乱。
	精巧に作られた手鏡。携帯性に優れ、戦闘中でもヘアスタイルに乱れがないかチェックできる。
	A mirror with exquisite craftsmanship. It is easy to carry, letting you make sure that your hair isn't getting messed up in the heat of battle.
	정교하게 만들어진 화장거울. 휴대하기도 몹시 간편하여 전투 중에도 언제든지 머리가 흐트러지진 않았는지 체크할 수 있다.

天赋\Talents:
	精确打击
	超長距離狙撃
	Precise Strike
	정확한 타격

技能\Skills:
	阻挡弹
	妨害弾
	Snaring Shell
	저지탄

	雷达定位
	全方位レーダー
	Radar Sweep
	레이더 위치 추적

语音\Voices:
	今天有什么工作？要是不急，那就稍微向后面延一延嘛。
	今日はなんかやることあんのー？急ぎじゃないなら、また今度にしようよー。
	Any work to do today? If it's not urgent, just push everything back a bit.
	오늘은 뭐 할 거 있어? 급한 거 아니면 다음에 하자.

	我能凭借源石技艺感知附近生物，这台辅助设备还能增幅效果，听起来很厉害吧？所以，戍卫队就派我去参加守城巡逻，抓些翻墙逃课的学生什么的，可真是知人善用啊。
	あたしはアーツで周りの生物を感知できるんだけど、この機械があれば更にそのチカラをパワーアップできんのね。ヤベーっしょ？まーそれで守衛隊にパトロールなんか任されてたんだけどね。つっても授業をサボってるヤツを補導すんのが仕事。ものは使いようってわけね。
	I can detect nearby creatures with my Originium Arts, and this auxiliary device can further amplify the effect. Sounds great, huh? That's why the Garrison Team sent me to patrol the city, in case there were any students trying to skip school. They sure know how to put people to use.
	난 아츠로 주위 생물을 감지할 수 있는데, 이 기계가 있으면 그 힘을 더 파워업할 수 있어. 장난 아니지? 뭐~ 그래서 수위대에선 순찰 같은 걸 맡게 됐지만… 그래도 수업을 빼먹는 애들을 선도하는 게 일이었으니, 물건은 쓰기 나름이라는 거지.

	事先说好哦，所谓拉特兰的秘密什么的，我可一点也不知道。我只想过悠闲自在的生活而已，知道的越多，对自己也就越没有好处，对吗。
