ID:
	char_304_zebra

CV:
	暴雨
	ヘビーレイン
	Heavyrain
	헤비레인

干员代号\Name:
	Unknown
	石原夏織
	Kaori Ishihara
	이시하라 카오리

招聘合同\Character Usage:
	重装干员暴雨，任劳任怨。
	重装オペレーター・ヘビーレイン。苦労をいとわず、恨み言も気にとどめない。
	Defender Operator Heavyrain, uncomplaining and diligent.
	디펜더 오퍼레이터 헤비레인. 언제나 근면 성실하고, 힘든 일도 마다하지 않으며 남을 원망하지 않습니다.

合同描述\Character Description:
	她有很多话想说，只是不知道怎么说。
	話したいことはたくさんあるのに、彼女はどう伝えたらいいのかがわからない。
	She's got a lot she wants to say, just no idea how to say it.
	그녀는 할 말이 많지만, 어떻게 말하면 좋을지 모를 뿐입니다.

信物\Potential Item:
	一面小型盾牌，似乎是她在火神的指导下亲手打造的。很轻便，但是很坚固。
	小型の盾。ヴァルカンの指導の元、彼女が手ずから鍛造したものらしい。軽いが、とても丈夫である。
	A small-form shield, apparently personally forged under Vulcan's guidance. Very lightweight, but very firm.
	가볍지만 아주 견고한 소형 방패. 벌컨의 지도를 받아 헤비레인이 직접 만든 것 같다.

天赋\Talents:
	条纹迷彩
	縦縞迷彩
	Striped Camouflage
	줄무늬 위장

技能\Skills:
	应急迷彩
	応急迷彩
	Emergency Camouflage
	응급 위장

	群体迷彩
	広域迷彩
	Group Camouflage
	단체 위장

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】暴雨
	【性别】女
	【战斗经验】五年
	【出身地】萨尔贡
	【生日】3月3日
	【种族】库兰塔
	【身高】159cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】ヘビーレイン
	【性別】女
	【戦闘経験】五年
	【出身地】サルゴン
	【誕生日】3月3日
	【種族】クランタ
	【身長】159cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Heavyrain
	[Gender] Female
	[Combat Experience] 5 Years
	[Place of Birth] Sargon
	[Date of Birth] Mar 3
	[Race] Kuranta
	[Height] 159cm
	[Infection Status]
	Medical tests have confirmed that no infection is present.

	기본정보 :
	[코드네임] 헤비레인
	[성별] 여
	[전투 경험] 5년
	[출신지] 사르곤
	[생일] 3월 3일
	[종족] 쿠란타
	[신장] 159cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】优良
	【战场机动】标准
	【生理耐受】标准
	【战术规划】标准
	【战斗技巧】标准
	【源石技艺适应性】普通

	能力測定 :
	【物理強度】優秀
	【戦場機動】標準
	【生理的耐性】標準
	【戦術立案】標準
	【戦闘技術】標準
	【アーツ適性】普通

	Physical Exam :
	[Physical Strength] Excellent
	[Mobility] Standard
	[Physical Resilience] Standard
	[Tactical Acumen] Standard
	[Combat Skill] Standard
	[Originium Arts Assimilation] Normal

	종합검진 :
	[물리적 강도] 우수
	[전장 기동력] 표준
	[생체 인내도] 표준
	[전술 계획력] 표준
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 보통

———————————————————————————————

	客观履历 :
	前萨尔贡某王酋麾下士兵。遭到同僚背叛后心灰意冷离开军队，几经辗转后加入罗德岛。
	作战经验丰富，现作为重装干员活跃于各类任务中。

	個人履歴 :
	元はサルゴンの某酋長所属の兵士。同僚に裏切られて意気消沈して軍を離れ、転々とした末にロドスへ加入。
	豊富な作戦経験を有し、現在は重装オペレーターとして各種任務で活躍している。

	Profile :
	Formerly a soldier under the wings of a previous Lord Ameer of Sargon, Heavyrain left its army after the betrayal of an ally has left her disillusioned, eventually making her way to Rhodes Island.
	A seasoned combat veteran, she is currently active in a variety of missions as a defender operator.

