ID:
	char_306_leizi

干员代号\Name:
	惊蛰
	レイズ
	Leizi
	레이즈

招聘合同\Character Usage:
	来自大炎的大理寺监察司惊蛰，将与罗德岛在少数项目上进行合作。
	炎国の大理寺の監察司・レイズ。いくつかのプロジェクトでロドスと協力関係を結ぶ。
	Leizi, judicial officer from the Supervisory Department of Great Yen, will cooperate with Rhodes Island for a few operations.
	염국에서 온 대리사 감찰사 레이즈는 일부 임무에서 로도스 아일랜드에 협력하여 줄 것입니다.

合同描述\Character Description:
	我是不是在哪见过你？
	どこかで会ったことが？
	Have I seen you before somewhere?
	어디서 만난 적 있지 않나요?

信物\Potential Item:
	一把造型老旧的橡木尺子。没有规矩，不成方圆。
	オーク材で作られた古臭い造型の定規。何事も、ルールに沿って進めなければうまくいかない。製図器が無ければ、直線も円も綺麗に書けはしないように。
	An old oak ruler. No ruler markings, no rules.
	오래된 디자인의 떡갈나무 자. 규칙이 없으면 아무 것도 이룰 수 없나니.

天赋\Talents:
	通流无阻
	雷行自在
	Unobstructed Flow
	막힘 없는 흐름

技能\Skills:
	攻击力强化·γ型
	攻撃力強化γ
	ATK Up γ
	공격 강화γ

	初雷
	初雷
	Thunderclap
	초뢰

语音\Voices:
	看仔细，文书先以事项分类，再依轻重缓急时限排列，最后从近至远推进，这样处理起来最有效率！......等等，这些文书工作我似乎都不小心完成了。这似乎......是你的工作？
	よくご覧になって。文書は、こうして内容で区分したのち、重要度、緊急度、時系列順に並び替え、そして期日が迫っているものから処理していく。これが最も効率の良い方法です！……お待ちを、我知らずこの文書仕事を片付けてしまったようです。これは……あなたの仕事ですよね？
	Look carefully. The files are sorted by type, then time limit prioritization, then finally, by distance from nearest to farthest. This is the most efficient organization method! ...Wait, I seem to have done all the paperwork on accident. This... is supposed to be your job, right?
	잘 보세요. 문서는 이렇게 내용으로 구분한 뒤에 중요도, 긴급도, 시계열 순으로 정렬하고, 마감이 촉박한 것부터 처리해 나갑니다. 이게 가장 효율이 높은 방법입니다! 잠깐…… 나도 모르게 문서 작업을 해치워버린 모양입니다. 이건…… 당신의 업무이지요?

	我查阅过精英干员煌的所有档案，没有任何对她真名、出生地、出生时间的记录。别和我说你不知情，你明明是这里的领头人之一。真不知道？那这......如何是好。抱歉，我错怪你了。
	エリートオペレーターであるブレイズの資料を一通り借覧いたしました。ですが彼女の本名、出身地、出生時間に関する記録は一切ありませんでした。存じ上げないとは言わせません、あなたもこちらの統率者の一人なのですから。本当にご存じない？では……どうすれば。いえ、ご容赦ください、あなたを誤解しておりました。
	I've checked all files related to the elite Operator, Blaze, and there are no records of her real name, or place and date of birth. Don't tell me you don't know; aren't you supposed to be one of the leaders here? You really don't know? Then... nevermind. Sorry, I shouldn't have accused you.
