ID:
	char_325_bison

CV:
	拜松
	バイソン
	Bison
	바이슨

干员代号\Name:
	Unknown
	皆川純子
	Junko Minagawa
	미나가와 준코

招聘合同\Character Usage:
	信使拜松，与年龄不相符的稳重。
	トランスポーター・バイソン。その落ち着いた様子は年齢不相応なほど。
	Messenger Bison is proof that stability does not always follow age.
	전달자 바이슨은 나이에 걸맞지 않게 진중한 구석이 있습니다.

合同描述\Character Description:
	但其本人至今仍在质疑，信使是否真的需要掌握这么多的作战技巧。
	本人は懐疑的だ。なぜ、これほど多くの戦闘技術がトランスポーターに必要とされるのか？
	Still questions whether a Messenger really needs to master so many combat skills.
	그렇지만 그런 본인은 아직까지도 전달자가 이렇게나 많은 작전 테크닉을 익힐 필요가 있는지 의심하고 있다.

信物\Potential Item:
	一张老旧的地图。翻越千山万水的痕迹昭然若揭，新计划和旧标记交叉在一起，这就是信使。
	幾つもの山河を越えた記録が残されている古い地図。そこには古い印に混じって新しい計画も。これぞトランスポーター。
	A weathered map. The traces of countless miles of voyages are clearly visible, where new plans interweave with past markings. This is the life of a Messenger.
	오래된 지도. 방방곡곡을 돌아다닌 흔적이 또렷이 남아있다. 새로운 계획과 낡은 메모가 공존하는, 이게 바로 전달자의 삶이다.

天赋\Talents:
	交叉掩护
	クロスカバー
	Interlocked Shield
	교차 엄호

技能\Skills:
	防御力强化·γ型
	防御力強化γ
	DEF Up γ
	방어 강화γ

	深化阵线
	戦線強化
	Intensified Defense
	방어선 강화

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】拜松
	【性别】男
	【战斗经验】一年
	【出身地】龙门
	【生日】10月15日
	【种族】丰蹄
	【身高】163cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】バイソン
	【性別】男
	【戦闘経験】一年
	【出身地】龍門
	【誕生日】10月15日
	【種族】フォルテ
	【身長】163cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Bison
	[Gender] Male
	[Combat Experience] 1 Year
	[Place of Birth] Lungmen
	[Date of Birth] Oct 15
	[Race] Forte
	[Height] 163cm
	[Infection Status] 
	Confirmed uninfected by medical examination.

	기본정보 :
	[코드네임] 바이슨
	[성별] 남
	[전투 경험] 1년
	[출신지] 용문
	[생일] 10월 15일
	[종족] 포르테
	[신장] 163cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】标准
	【战场机动】标准
	【生理耐受】优良
	【战术规划】标准
	【战斗技巧】普通
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】標準
	【戦場機動】標準
	【生理的耐性】優秀
	【戦術立案】標準
	【戦闘技術】普通
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Standard
	[Mobility] Standard
	[Physical Resilience] Excellent
	[Tactical Acumen] Standard
	[Combat Skill] Normal
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 표준
	[전장 기동력] 표준
	[생체 인내도] 우수
	[전술 계획력] 표준
	[전투 기술력] 보통
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	峯驰物流部门执行经理，曾与企鹅物流有过密切合作。于合约期内，为罗德岛提供多种行动协助。

	個人履歴 :
	フェンツ運輸の役員。ペンギン急便と密接な連携を取った経験があり、契約期間中にロドスに様々な行動支援を提供する。

	Profile :
	The executive manager of MountainDash Logistics, Bison, has worked closely with Penguin Logistics. He now provides operational assistance to Rhodes Island during the contracted period.

	프로필 :
