ID:
	char_344_beewax

干员代号\Name:
	蜜蜡
	ビーズワクス
	Beeswax
	비즈왁스

招聘合同\Character Usage:
	萨尔贡沙漠上的部族司祭蜜蜡，金色沙原中寄寓她的祝福。
	サルゴンの砂漠に住む一族の司祭・ビーズワクス。金色の砂原に祝福を宿す。
	Beeswax, shaman priestess from the Sargon Desert, brings her blessings from the golden sands.
	사르곤 사막에 있는 어느 부족의 사제 비즈왁스는 금빛으로 빛나는 사막에서 그녀의 축복을 담아줄 것입니다.

合同描述\Character Description:
	允许触碰犄角，代表双方之间的亲昵、信赖，与尊重。
	頭の角に触れることを許すのは、二人の間の親愛、信頼、そして尊重を意味する。
	Allowing one to touch the horns is a symbol of intimacy, trust, and respect between the two parties.
	뿔을 만지게 해준다는 건 서로 간의 친밀함과 신뢰, 그리고 존중의 표시다.

信物\Potential Item:
	包含精油、软刷、磨砂条在内的全套角护理器具，沙漠部族内定制，重金难求。只要不嫌贵，也可以只用它来修修指甲。
	精油や刷毛、やすりなどが含まれた角のお手入れ道具フルセット。砂漠の一族のオーダーメイドで、高額かつ希少な品物。もったいないと思わなければ、ただ爪のお手入れをするのに使うだけでも良い。
	A full set of horn care supplies, including essential oils, soft brushes, and sandpaper strips. Custom-made by desert tribes, incredibly expensive and hard to find, you can just use it for a manicure - as long as you can stomach the cost.
	오일과 브러쉬, 사포가 들어 있는 뿔 관리 도구 풀세트. 적지 않은 돈을 들여 사막 부족에서 특별 제작한 것이다. 만약 아깝다고 생각하지 않는다면 그냥 손발톱을 관리하는 용도로도 사용 가능하다.

天赋\Talents:
	沙原的庇护
	砂原の加護
	Shambhala's Sanctuary
	사막의 가호

技能\Skills:
	沙暴扩散
	砂嵐拡散
	Growing Sandstorm
	모래 폭풍 확산

	守卫尖碑
	オベリスク召喚
	Guardian Obelisk
	수호의 오벨리스크

语音\Voices:
	博士，今天要努力工作？嗯，好啊，我会陪博士一起。如果你偷懒的话，就用这根长杖，像这样，嘿，敲敲头。咚咚。
	ドクター、今日は仕事頑張る、ですか？じゃあ私も一緒に。もしドクターがサボってたら、この杖で、こんなふうに、えいっ、頭を叩きますね。トントン。
	Doctor, you’ll be working hard today? Then, I’ll stay with you. If you slack off, then I’ll use this stick... Like this... and give you a smack on the head. Bonk, bonk.
	박사님, 오늘은 일 열심히 해야지, 하시는 건가요? 그럼 저도 같이, 혹시 박사님이 게으름을 피우면 이 지팡이로, 이렇게, 에잇! 머리를 때릴게요. 통통…

	蜜蜡、蜜蜡、蜜蜡......嗯，好，再多念几遍应该就能习惯了。啊，博士，有什么事吗？我正在熟悉自己的代号，以免在别人喊我的时候反应不过来，会闹笑话的。
