ID:
	char_347_jaksel

CV:
	杰克
	ジャッキー
	Jackie
	재키

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	近卫干员杰克，总是充满活力。
	前衛オペレーター・ジャッキー、いつも活発に行動している。
	Jackie, Guard Operator, is always brimming with energy.
	가드 오퍼레이터 재키는 언제나 기운이 넘칩니다.

合同描述\Character Description:
	看着她，总觉得烦恼也会消失无踪。
	彼女を眺めていると、煩わしい悩みも消えるように思える。
	Watching her, you feel like all your worries could disappear without a trace.
	그녀를 보고 있으면 고민도 사라지는 것 같다.

信物\Potential Item:
	一双崭新的运动鞋。她对于和你一同锻炼身体十分期待。
	一足の真新しい運動靴。共に訓練を行える日を期待しているようにみえる。
	A pair of brand new sneakers. She's very, VERY looking forward to working out with you.
	새 운동화 한 켤레. 그녀는 당신과 함께 몸을 단련하게 될 순간을 매우 기대하고 있다.

天赋\Talents:
	极速闪避
	ブーストドッジ
	Extreme Evasion
	급속 회피

技能\Skills:
	给你一拳！
	全力パンチ！
	Grit Those Teeth!
	한 방 먹여주마!

	全神贯注！
	全神経集中！
	Pay Close Attention!
	정신 집중!

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】杰克
	【性别】女
	【战斗经验】没有战斗经验
	【出身地】哥伦比亚
	【生日】9月15日
	【种族】佩洛
	【身高】157cm
	【矿石病感染情况】
	体表有源石结晶分布，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】ジャッキー
	【性別】女
	【戦闘経験】なし
	【出身地】クルビア
	【誕生日】9月15日
	【種族】ペッロー
	【身長】157cm
	【鉱石病感染状況】
	体表に源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Jackie
	[Gender] Female
	[Combat Experience] None
	[Place of Birth] Columbia
	[Date of Birth] September 15
	[Race] Perro
	[Height] 157cm
	[Infection Status]
	Originium crystals are present on the body's surface, confirmed Infected by medical examination.

	기본정보 :
	[코드네임] 재키
	[성별] 여
	[전투 경험] 없음
	[출신지] 컬럼비아
	[생일] 9월 15일
	[종족] 페로
	[신장] 157cm
	[광석병 감염 상황]
	체표면에 오리지늄 결정 분포, 의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】优良
	【战场机动】标准
	【生理耐受】标准
	【战术规划】普通
	【战斗技巧】普通
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】優秀
	【戦場機動】標準
	【生理的耐性】標準
	【戦術立案】普通
	【戦闘技術】普通
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Excellent
	[Mobility] Standard
	[Physical Resilience] Standard
	[Tactical Acumen] Normal
	[Combat Skill] Normal
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 우수
	[전장 기동력] 표준
	[생체 인내도] 표준
	[전술 계획력] 보통
	[전투 기술력] 보통
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	前哥伦比亚辅警，因故感染矿石病后，来到罗德岛接受治疗。
	经其父同意，加入罗德岛成为干员，在近身格斗方面展现出较强天赋，活跃于各类任务中。

	個人履歴 :
	クルビアの元補助警察。事情によって鉱石病に感染し、治療のためロドスを訪れる。
	父親の同意のもと、ロドスにオペレーターとして加入。近接格闘技において高い才能を見せ、各種任務で活躍している。

	Profile :
	A former Columbian auxiliary police officer who came to Rhodes Island to receive treatment after contracting Oripathy. 
	With her father's consent, she joined Rhodes Island as an operator, displaying above average talent in close combat and participating in various missions.

	프로필 :
	    전 컬럼비아 보조 경찰. 사고로 광석병에 감염되어 로도스 아일랜드에 와 치료를 받고 있다.
