ID:
	char_349_chiave

CV:
	贾维
	キアーベ
	Chiave
	키아베

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	罗德岛先锋干员贾维，将在前线大展身手。
	ロドス先鋒オペレーター・キアーベ。戦闘の最前線で実力を発揮する。
	Chiave, Vanguard Operator of Rhodes Island, will show off his skills on the front lines.
	로도스 아일랜드 뱅가드 오퍼레이터 키아베는 최전선에서 자신의 솜씨를 크게 떨칠 것입니다.

合同描述\Character Description:
	比起要他服从命令，配合他发布命令可能反而省心一点。
	彼に指示に従ってもらおうとするより、彼に合わせて指示を出すほうが逆に気が楽になるかもしれない。
	Instead of trying to get him to follow orders, cooperating with him to deliver orders might be less stressful.
	그가 명령에 복종하게 하는 것보단, 그가 명령에 협조하게 하는 편이 아마 더 마음이 편할지도 모른다.

信物\Potential Item:
	一枚由他亲手打造的代表“贾维团伙”的标牌。上面还刻上了你的名字。
	キアーベお手製の「キアーベ一味」を表すタグ。あなたの名前も刻印されている。
	A badge that he made himself, representing the 'Chiave Gang.' Your name is also engraved upon it.
	본인이 직접 만든 '키아베 패거리'의 간판. 위에는 당신의 이름이 적혀있다.

天赋\Talents:
	技工专长
	機械整備
	Technical Expertise
	전문기술

技能\Skills:
	冲锋号令·γ型
	突撃指令γ
	Charge γ
	돌격지령γ

	火焰剥离
	火炎剥離
	Blazing Wire Stripper
	플레임 필링

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】贾维
	【性别】男
	【斗殴经验】六年
	【出身地】叙拉古
	【生日】9月9日
	【种族】沃尔珀
	【身高】182cm
	【矿石病感染情况】
	体表有源石结晶分布，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】キアーべ
	【性別】男
	【喧嘩経験】六年
	【出身地】シラクーザ
	【誕生日】9月9日
	【種族】ヴァルポ
	【身長】182cm
	【鉱石病感染状況】
	体表に源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Chiave
	[Gender] Male
	[Combat Experience] 6 Years
	[Place of Birth] Siracusa
	[Date of Birth] Sept 9
	[Race] Vulpo
	[Height] 182cm
	[Infection Status] 
	Crystals are present on the surface of his body. Confirmed Infected by medical examination.

	기본정보 :
	[코드네임] 키아베
	[성별] 남
	[싸움박질 경험] 6년
	[출신지] 시라쿠사
	[생일] 9월 9일
	[종족] 불포
	[신장] 182cm
	[광석병 감염 상황]
	체표면에 오리지늄 결정 분포, 의학 테스트 보고서 참고 결과, 감염자로 확인

———————————————————————————————

	综合体检测试 :
	【物理强度】标准
	【战场机动】标准
	【生理耐受】标准
	【战术规划】普通
	【战斗技巧】优良
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】標準
	【戦場機動】標準
	【生理的耐性】標準
	【戦術立案】普通
	【戦闘技術】優秀
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Standard
	[Mobility] Standard
	[Physical Resilience] Standard
	[Tactical Acumen] Normal
	[Combat Skill] Excellent
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 표준
	[전장 기동력] 표준
	[생체 인내도] 표준
	[전술 계획력] 보통
	[전투 기술력] 우수
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	贾维，前叙拉古某小城修车厂员工，后成为其团伙首领。
	某次事件后带领手下两名加入罗德岛，现作为突击手，活跃在战场前线。

	個人履歴 :
	シラクーザのある町の自動車修理工場の元職員。後にグループを立ち上げ、「キアーべ一味」の頭領となった。
	とある事件を経て、二人の手下と共にロドスに加入。強襲担当として前線で活躍する。

	Profile :
	Chiave, former employee of a mechanic shop in a small city in Siracusa, later became the leader of his own gang. 
