ID:
	char_355_ethan

CV:
	伊桑
	イーサン
	Ethan
	에단

干员代号\Name:
	Unknown
	吉野裕行
	Hiroyuki Yoshino
	요시노 히로유키

招聘合同\Character Usage:
	罗德岛特种干员伊桑，将以独特的能力为你执行特别任务。
	ロドス特殊オペレーターイーサン、独特な能力を駆使し特殊任務を遂行する。
	Ethan, Specialist Operator of Rhodes Island, will utilize unique abilities to carry out special missions for you.
	로도스 아일랜드 스페셜리스트 오퍼레이터 에단. 그의 독특한 능력은 당신이 특별 임무를 진행할 때 분명 도움이 될 것입니다.

合同描述\Character Description:
	你，看不见我！
	あんた、俺が見えないだろ？
	You... can't see me!
	당신, 내가 안 보이지?

信物\Potential Item:
	一枚金属质地的悠悠球。用来炫技时千万不要砸到围观者。
	金属製のヨーヨー。大技を披露するときは、絶対に周囲の観客に当てないように。
	A metallic yo-yo. Be careful not to hit bystanders when playing with it.
	금속재질의 요요. 기술을 뽐낼 때는 주위의 관중을 맞추지 않도록 조심하자.

天赋\Talents:
	缠绕
	絡みつく
	Entwined
	휘감기

技能\Skills:
	花式回旋
	ループザループ
	Fancy Maneuvers
	요요

	十字悬挂
	グラインドツイスター
	Suspended Cross
	크로스 훅

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】伊桑
	【性别】男
	【战斗经验】两年
	【出身地】未公开
	【生日】1月29日
	【种族】萨弗拉
	【身高】163cm
	【矿石病感染情况】
	源石结晶分布于体内，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】イーサン
	【性別】男
	【戦闘経験】二年
	【出身地】非公開
	【誕生日】1月29日
	【種族】サヴラ
	【身長】163cm
	【鉱石病感染状況】
	体内に源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Codename] Ethan
	[Gender] Male
	[Combat Experience] 2 years
	[Place of Birth] Unknown
	[Date of Birth] January 29
	[Race] Savra
	[Height] 163cm
	[Originium Infection Condition] 
	Originium crystals present in the body, infection confirmed by medical examination.

	기본정보 :
	[코드네임] 에단
	[성별] 남
	[전투 경험] 2년
	[출신지] 미공개
	[생일] 1월 29일
	[종족] 사브라
	[신장] 163cm
	[광석병 감염 상황]
	체내에 오리지늄 결정이 분포, 의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】标准
	【生理耐受】普通
	【战术规划】标准
	【战斗技巧】标准
	【源石技艺适应性】优良

	能力測定 :
	【物理強度】普通
	【戦場機動】標準
	【生理的耐性】普通
	【戦術立案】標準
	【戦闘技術】標準
	【アーツ適性】優秀

	Physical Exam :
	[Physical Strength] Normal
	[Mobility] Standard
	[Physical Resilience] Normal
	[Tactical Acumen] Standard
	[Combat Skills] Standard
	[Originium Arts Assimilation] Excellent

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 표준
	[생체 인내도] 보통
	[전술 계획력] 표준
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 우수

———————————————————————————————

	客观履历 :
	干员伊桑，出身地不明，曾辗转于多个地下感染者组织，最终自整合运动中脱离。经过审查，判断为无威胁目标，有雇佣价值。在战术侦查，战场潜入等单兵战术行动中有着优异表现。
	现于罗德岛特种小队任职，提供特殊战术支援。

	個人履歴 :
	出身地不明。多くの地下感染者組織を転々としており、最後にレユニオンから脱退した。審査の結果、脅威はなく雇用の価値があると判断。戦術偵察や戦場潜入等の単独行動作戦で優れた能力を発揮する。
	現在はロドスの特殊チームに配属され、特殊戦術支援を行っている。

	Profile :
