ID:
	char_356_broca

CV:
	布洛卡
	ブローカ
	Broca
	브로카

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	罗德岛近卫干员布洛卡，将在前线守护其他干员。
	ロドス前衛オペレーター・ブローカ。前線で踏ん張って仲間を守る。
	Broca, Guard Operator of Rhodes Island, is busy defending the other Operators on the front lines.
	로도스 아일랜드 가드 오퍼레이터 브로카는 전선에서 동료들을 수호할 것입니다.

合同描述\Character Description:
	他只是看上去很可怕。
	彼はただ怖そうに見えるだけだ。
	He's not as scary as he looks.
	겉보기에만 무서워보일 뿐이다.

信物\Potential Item:
	一座精致的叙拉古某城微缩景观模型。被悄悄地放在你的办公室里，直到你第二天上班的时候才发现。
	シラクーザのとある城の精巧なスケールモデル。ひっそりとドクターの執務室に置かれていたのに気付くまで時間がかかった。
	An exquisite miniature landscape model of an ancient Siracusan city. Someone stealthily placed it on your desk at some point, and you didn't discover it until you showed up for work the next day.
	시라쿠사 어느 도시의 미니어쳐. 몰래 당신의 사무실에 놔두는 바람에, 그 다음날 출근해서 발견하게 되었다.

天赋\Talents:
	钻头强化
	ドリル強化
	Drill Strengthening
	드릴 강화

技能\Skills:
	通电
	ターンオン
	Galvanize
	에너자이즈

	高压电流
	ハイボルテージ
	High-Voltage Current
	고압전류

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】布洛卡
	【性别】男
	【斗殴经验】五年
	【出身地】叙拉古
	【生日】2月4日
	【种族】菲林
	【身高】189cm
	【矿石病感染情况】
	体表有源石结晶分布，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】ブローカ
	【性別】男
	【喧嘩経験】五年
	【出身地】シラクーザ
	【誕生日】2月4日
	【種族】フェリーン
	【身長】189cm
	【鉱石病感染状況】
	体表に源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Broca
	[Gender] Male
	[Combat Experience] 5 years
	[Place of Birth] Siracusa
	[Date of Birth] Feb 4
	[Race] Feline
	[Height] 189cm
	[Infection Status] 
	Originium crystals are distributed across the surface of his body, confirmed Infected by medical examination.

	기본정보 :
	[코드네임] 브로카
	[성별] 남
	[전투경험] 5년
	[출신지] 시라쿠사
	[생일] 2월 4일
	[종족] 필라인
	[신장] 189cm
	[광석병 감염 상황]
	체표면에 오리지늄 결정이 분포, 의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】优良
	【战场机动】普通
	【生理耐受】标准
	【战术规划】普通
	【战斗技巧】标准
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】優秀
	【戦場機動】普通
	【生理的耐性】標準
	【戦術立案】普通
	【戦闘技術】標準
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Excellent
	[Mobility] Normal
	[Physical Resilience] Standard
	[Tactical Acumen] Normal
	[Combat Skill] Standard
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 우수
	[전장 기동력] 보통
	[생체 인내도] 표준
	[전술 계획력] 보통
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	布洛卡，前叙拉古某城家族打手，后成为贾维团伙一员。
	某次事件后随首领贾维一同加入罗德岛，现作为攻坚手，活跃在战场前线。

	個人履歴 :
	シラクーザのとあるファミリーの元構成員、後にキアーベ一味のメンバーに。
	ある事件後、頭領のキアーベと共にロドスに加入。現在は特攻隊員として、戦線で活躍している。

	Profile :
	Broca, former Siracusan mafioso, later became a member of Chiave's gang.
	After a certain incident, he joined Rhodes Island along with the leader, Chiave, and now serves as a frontline attacker.

	프로필 :
