ID:
	char_363_toddi

CV:
	熔泉
	トギフォンス
	Toddifons
	토디폰스

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	狙击干员熔泉，送箭矢上天，洒烈火下地。
	狙撃オペレーター・トギフォンス。放つ矢は天に、振り撒く烈火は地に。
	Sniper Operator Toddifons, with arrows sent to the sky, and flames falling to the earth.
	스나이퍼 오퍼레이터 토디폰스. 활을 하늘 높이 쏠 수 있으며, 열화를 땅속 깊이 뿜을 수 있습니다.

合同描述\Character Description:
	随心行事，为所欲为。
	行い全てが心のままに、意のままに。
	Following her heart, doing as she pleases.
	제멋대로 행동합니다.

信物\Potential Item:
	精工切割的二十面宝石晶体。按照她的说法，随手丢给别人的不能算是礼物。
	精密カットされた二十面体の宝石結晶体。彼女によれば、ついでと他人に渡したものはプレゼントとは言えないらしい。
	A delicately cut icosahedral crystal gemstone. By her logic, things you slough off onto others in passing can't be called gifts.
	정밀하게 자른 이십면체 보석 결정. 토디폰스의 말에 따르면, 함부로 막 줄 수 있는 것은 선물이 아니라고 한다.

天赋\Talents:
	火热直觉
	パッションスナイプ
	Fiery Instinct
	불같은 직감

技能\Skills:
	信号矢
	信号矢
	Signal Arrow
	신호 화살

	便携破城矢
	携帯破城矢
	Portable Fortcracker Arrows
	휴대용 공성 화살

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】熔泉
	【性别】女
	【战斗经验】两年
	【出身地】维多利亚
	【生日】7月31日
	【种族】瓦伊凡
	【身高】168cm
	【矿石病感染情况】
	参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】トギフォンス
	【性別】女
	【戦闘経験】二年
	【出身地】ヴィクトリア
	【誕生日】7月31日
	【種族】ヴイーヴル
	【身長】168cm
	【鉱石病感染状況】
	メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Toddifons
	[Gender] Female
	[Combat Experience] 2 Years
	[Place of Birth] Victoria
	[Date of Birth] Jul 31
	[Race] Vouivre
	[Height] 168cm
	[Infection Status]
	Confirmed Infected by medical examination.

	기본정보 :
	[코드네임] 토디폰스
	[성별] 여
	[전투 경험] 2년
	[출신지] 빅토리아
	[생일] 7월 31일
	[종족] 와이번
	[신장] 168cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】优良
	【战场机动】标准
	【生理耐受】标准
	【战术规划】标准
	【战斗技巧】优良
	【源石技艺适应性】优良

	能力測定 :
	【物理強度】優秀
	【戦場機動】標準
	【生理的耐性】標準
	【戦術立案】標準
	【戦闘技術】優秀
	【アーツ適性】優秀

	Physical Exam :
	[Physical Strength] Excellent
	[Mobility] Standard
	[Physical Resilience] Standard
	[Tactical Acumen] Standard
	[Combat Skill] Excellent
	[Originium Arts Assimilation] Excellent

	종합검진 :
	[물리적 강도] 우수
	[전장 기동력] 표준
	[생체 인내도] 표준
	[전술 계획력] 표준
	[전투 기술력] 우수
	[오리지늄 아츠 적응성] 우수

———————————————————————————————

	客观履历 :
	维多利亚西尔军事学院肄业生，虽非正式服役的职业军人，但接受过系统训练，在各个方面都出类拔萃，尤以攻城战术与相关武器制造为最。
	现已加入罗德岛，担任狙击干员与初级工匠，主要负责远距离摧毁敌方工事与炮火压制。

	個人履歴 :
	ヴィクトリアシール軍事学院の中退生。正式に軍に所属した職業軍人ではないが、体系的な訓練を受けたことがあり、全方面において優れている。特に、攻城戦術と関連武器制作を得意としている。
	現在はロドスに加入し、狙撃オペレーター及び下級職人に就任している。主に遠距離からの敵拠点の破壊と、砲火による制圧を担当している。

	Profile :
