ID:
	char_365_aprl

CV:
	四月
	エイプリル
	April
	에이프릴

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	罗德岛狙击干员四月，总是保持着好心情。
	ロドス狙撃オペレーター・エイプリル。いつも上機嫌。
	Rhodes Island Operator April, always in a good mood.
	로도스 아일랜드 스나이퍼 오퍼레이터 에이프릴은 늘 좋은 기분을 유지합니다.

合同描述\Character Description:
	叫她的时候记得大声点。
	彼女を呼ぶ時は声を張った方がいい。
	You'll have to be loud if you want to get her attention.
	그녀를 부를 땐 목소리를 크게 내야 한다는 점을 잊지 말자.

信物\Potential Item:
	一张全新包装的收录了《四月》这首歌的专辑，上面用缎带绑了一个蝴蝶结。
	新しくパッケージングされた、「エイプリル」という曲を収録したアルバム。蝶々結びのリボンが付いている。
	An album including the song 'April,' still freshly packaged and tied up in a lovely ribbon.
	《에이프릴》곡이 수록된 리패키징 앨범. 앨범 위에는 리본이 나비매듭으로 매어져 있다.

天赋\Talents:
	熟练猎手
	ベテランハンター
	Experienced Hunter
	숙련된 사냥꾼

技能\Skills:
	精准射击
	精密射撃
	Precise Shooting
	정밀 사격

	灵活伪装
	コンシールメント
	Flexible Camouflage
	재빠른 위장

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】四月
	【性别】女
	【战斗经验】没有战斗经验
	【出身地】雷姆必拓
	【生日】1月27日
	【种族】卡特斯
	【身高】157cm
	【矿石病感染情况】
	体表有源石结晶分布，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】エイプリル 
	【性別】女 
	【戦闘経験】なし 
	【出身地】レム・ビリトン 
	【誕生日】1月27日 
	【種族】コータス 
	【身長】157cm 
	【鉱石病感染状況】 
	体表に源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] April
	[Gender] Female
	[Combat Experience] None
	[Place of Birth] Rim Billiton
	[Date of Birth] January 27
	[Race] Cautus
	[Height] 157cm
	[Infection Status] 
	Originium crystals are present on the body's surface, confirmed Infected by medical examination.

	기본정보 :
	[코드네임] 에이프릴
	[성별] 여
	[전투 경험] 전투 경험 없음
	[출신지] 림 빌리턴
	[생일] 1월 27일
	[종족] 카우투스
	[신장] 157cm
	[광석병 감염 상황]
	 체표면에 오리지늄 결정 분포, 의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】标准
	【战场机动】标准
	【生理耐受】标准
	【战术规划】标准
	【战斗技巧】标准
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】標準 
	【戦場機動】標準 
	【生理的耐性】標準 
	【戦術立案】標準 
	【戦闘技術】標準 
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Standard
	[Mobility] Standard
	[Physical Resilience] Standard
	[Tactical Acumen] Standard
	[Combat Skill] Standard
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 표준
	[전장 기동력] 표준
	[생체 인내도] 표준
	[전술 계획력] 표준
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	原雷姆必拓猎人，因感染矿石病而失业，辗转加入罗德岛。
	没有接受过专业训练，各项指标平均，由于过往职业原因在狙击方向的培训上展现出较高接受度，现作为狙击干员活跃在各种任务中。

	個人履歴 :
	元レム・ビリトンハンター。鉱石病に罹患したため職を失い、各地を転々とした結果、ロドスに腰を落ち着けた。 
	専門的な訓練を受けたことがないため、各ステータスは平均的である。過去の職業経験からか、狙撃訓練に対して強い学習意欲を示したため、現在は狙撃オペレーターとして様々な任務で活躍している。

	Profile :
	A hunter from Rim Billiton, lost her job due to Oripathy before making her way to Rhodes Island. 
