ID:
	char_378_asbest

CV:
	石棉
	アスベストス
	Asbestos
	아스베스토스

干员代号\Name:
	Unknown
	真堂圭
	Kei Shindo
	신도 케이

招聘合同\Character Usage:
	罗德岛签约探险家石棉，十分不情愿地为你服务。
	ロドス契約探検家・アスベストス。渋々ながらあなたの為に働く。
	Asbestos, contracted explorer to Rhodes Island, is very reluctant to serve under you.
	로도스 아일랜드의 계약 탐험가 아스베스토스는 당신을 위해 일하게 되어 굉장히 떨떠름해하고 있습니다.

合同描述\Character Description:
	别自作多情。她不讨厌任何人，当然，也不喜欢任何人。
	自意識過剰になってはいけない。彼女はどんな人のことも嫌わないが、当然好きでもない。
	Don't read too much into things. She doesn't hate anyone, but naturally, she doesn't like anyone either.
	괜히 또 착각하지 마. 그녀는 원래 아무도 싫어하지 않아. 그리고 아무도 좋아하지 않지.

信物\Potential Item:
	一个探险套装。她的意思似乎是，如果你有空的话，可以跟她一起出去走走。
	探検セット。彼女の意図はおそらく、もしあなたが暇なら、一緒に外に行ってもいいということだろう。
	A spare spelunking suit. She seems to be implying that if you have the time, you're free to take a walk with her.
	탐험 세트. 그녀가 하고자 하는 말은 아마 시간이 있으면 그녀와 같이 나가 좀 걷자는 뜻일 것이다.

天赋\Talents:
	湿润皮肤
	体表粘液
	Moist Skin
	촉촉한 피부

技能\Skills:
	固守模式
	堅守モード
	Resilient Mode
	인트렌치 모드

	火电模式
	爆炎モード
	Thermal Power Mode
	서멀 모드

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】石棉
	【性别】女
	【战斗经验】没有战斗经验
	【出身地】雷姆必拓
	【生日】7月30日
	【种族】萨弗拉
	【身高】156cm
	【矿石病感染情况】
	体表有源石结晶分布，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】アスベストス
	【性別】女
	【戦闘経験】なし
	【出身地】レム・ビリトン
	【誕生日】7月30日
	【種族】サヴラ
	【身長】156cm
	【鉱石病感染状況】
	体表に源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Asbestos
	[Gender] Female
	[Combat Experience] None
	[Place of Birth] Rim Billiton
	[Date of Birth] July 30
	[Race] Savra
	[Height] 156cm
	[Infection Status] 
	Confirmed Infected by medical examination.

	기본정보 :
	[코드네임] 아스베스토스
	[성별] 여
	[전투 경험] 전투 경험 없음
	[출신지] 림 빌리턴
	[생일] 7월 30일
	[종족] 사브라
	[신장] 156cm
	[광석병 감염 상황]
	체표면에 오리지늄 결정 분포, 의학 테스트 보고서 참고 결과, 감염자로 확인

———————————————————————————————

	综合体检测试 :
	【物理强度】标准
	【战场机动】优良
	【生理耐受】优良
	【战术规划】标准
	【战斗技巧】标准
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】標準
	【戦場機動】優秀
	【生理的耐性】優秀
	【戦術立案】標準
	【戦闘技術】標準
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Standard
	[Mobility] Excellent
	[Physical Resilience] Excellent
	[Tactical Acumen] Standard
	[Combat Skill] Standard
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 표준
	[전장 기동력] 우수
	[생체 인내도] 우수
	[전술 계획력] 표준
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	雷姆必拓较有名气的探险家。由干员麦哲伦引荐来到罗德岛接受治疗，并在协商后签订协议成为干员。
	经过专业培训后，利用自己亲手改造的大盾在前线在其他干员提供保护。

	個人履歴 :
	レム・ビリトンで名を馳せる探検家。マゼランの紹介によりロドスで治療を受けながらも、協議の上でオペレーターとしても活躍している。
	専門的な訓練を受けた彼女は、自ら改良した大盾を駆使し、鉄壁の守りを見せる。

