ID:
	char_383_snsant

CV:
	雪雉
	スノーズント
	Snowsant
	스노우상트

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	罗德岛特种干员雪雉，使用独特的工业爪钩带来不一样的战术体验。
	ロドス特殊オペレーター・スノーズント。独自のフックを使用して、一風変わった戦術を披露する。
	Snowsant, Specialist Operator of Rhodes Island, utilizes her industrial claw hook to bring a new tactical perspective to the battlefield.
	로도스 아일랜드 스페셜리스트 오퍼레이터 스노우상트는 독특한 공업용 갈고리를 사용해 색다른 전술을 제공하여 줄 것입니다.

合同描述\Character Description:
	曾获龙门机械设计专业头奖。
	かつて龍門の機械デザインコンテストで最優秀賞を獲得した。
	Took first place in the Lungmen Professional Mechanical Design competition.
	예전에 용문 기계 디자인 부문에서 대상을 받았던 적이 있다.

信物\Potential Item:
	亲手缝制的零钱包，装着一些已经停止流通了的小额硬币。
	スノーズントが手縫いした小銭入れ。すでに流通していないコインがいくらか入っている。
	A hand-sewn purse that contains small coins no longer in circulation.
	직접 꿰매 만든 용돈 주머니. 안에는 이미 유통이 정지된 동전들이 몇 개 들어있다.

天赋\Talents:
	捕虫专家
	ムシ対策専門家
	Bug Catcher
	벌레잡기 전문가

技能\Skills:
	倒刺钩爪
	フックキャッチ
	Barbed Clawhook
	갈고리 후크

	伸缩式电捕网
	ネットキャプチャー
	Telescoping Electric Net
	신축성 전기 포획망

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】雪雉
	【性别】女
	【战斗经验】没有战斗经验
	【出身地】龙门
	【生日】10月17日
	【种族】黎博利
	【身高】155cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】スノーズント
	【性別】女
	【戦闘経験】なし
	【出身地】龍門
	【誕生日】10月17日
	【種族】リーべリ
	【身長】155cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Snowsant
	[Gender] Female
	[Combat Experience] None
	[Place of Birth] Lungmen
	[Date of Birth] Oct 17
	[Race] Liberi
	[Height] 155cm
	[Infection Status] 
	Confirmed uninfected by medical examination.

	기본정보 :
	[코드네임] 스노우상트
	[성별] 여
	[전투경험] 없음
	[출신지] 용문
	[생일] 10월 17일
	[종족] 리베리
	[신장] 155cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】标准
	【生理耐受】标准
	【战术规划】标准
	【战斗技巧】普通
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】普通
	【戦場機動】標準
	【生理的耐性】標準
	【戦術立案】標準
	【戦闘技術】普通
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Normal
	[Mobility] Standard
	[Physical Resilience] Standard
	[Tactical Acumen] Standard
	[Combat Skill] Normal
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 표준
	[생체 인내도] 표준
	[전술 계획력] 표준
	[전투 기술력] 보통
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	干员雪雉，出身龙门，曾在哥伦比亚各个高新技术开发区有着丰富的科研工作经历。
	后回到龙门，建设家乡，在此期间与罗德岛签订合约。

	個人履歴 :
	龍門出身、クルビアの各ハイテクゾーンで豊富な研究経験を得ている。
	後に龍門に戻り、故郷の建設に尽力している。その間にロドスと契約を結んだ。

	Profile :
	Operator Snowsant, a native of Lungmen, has a rich experience in scientific research from the various high-tech development zones of Columbia.
	After returning to Lungmen to develop her home town, she signed a contract with Rhodes Island during the following period.

	프로필 :
