ID:
	char_391_rosmon

干员代号\Name:
	迷迭香
	ロスモンティス
	Rosmontis
	로즈몬티스

招聘合同\Character Usage:
	罗德岛精英干员迷迭香，用手推开了你的办公室门。
	エリートオペレーター・ロスモンティス、その手であなたの執務室の扉を開け放つ。
	Rosmontis, Rhodes Island Elite Operator, pushes open your office door by hand.
	로도스 아일랜드 정예 오퍼레이터 로즈몬티스는 당신의 사무실 문을 손으로 열었습니다.

合同描述\Character Description:
	她没带装备，不用害怕她记得你昨天偷吃了她的点心的事，也许。
	彼女は武装していない、昨日彼女のお菓子を盗み食いしたことは、もう忘れてしまっているだろう、たぶん。
	Her equipment's not on her. No need to worry about her remembering you ate her snacks yesterday. Probably.
	그녀는 장비를 가지고 있지 않으니, 어제 당신이 그녀의 과자를 훔쳐 먹은 것을 그녀가 기억해낼까봐 두려워할 필요는 없을 것이다. 아마도.

信物\Potential Item:
	一件精心制作但水平依然还很业余的植物标本。她真心希望你能帮她记住这些。
	丹精込めて製作されているが、まだ拙いところが残る植物標本。彼女は、この植物たちがあなたの記憶に留められることを、心から願っている。
	A plant specimen, delicately made yet still very amateur. She hopes with all her heart that you can help her remember this.
	정성껏 만들었지만 아직 아마추어 수준인 식물 표본. 그녀는 당신이 그녀를 대신해 이것들을 기억해주길 바랄 것이다.

天赋\Talents:
	歼灭战装备
	殲滅戦用装備
	Armaments of Annihilation
	섬멸전 장비

技能\Skills:
	思维膨大
	意識拡張
	Expanded Cognition
	사고 팽창

	末梢阻断
	神経遮断
	Nociceptor Inhibition
	말초 차단

	“如你所愿”
	「君が望むままに」
	'As You Wish'
	"네가 원하는 대로"

语音\Voices:
	那个，博士......归纳档案和写总结，这些我一直不太做得来的，值班时间我可以换个岗位吗？你是说，不用做什么，只要呆在这里就好？博士......你有些奇怪。
	えっと、ドクター……ファイリングとレポート、どっちも苦手だから、他の当番でもいい？え、何もしないでここにいればいい？ドクター、なんか変。
	Umm, Doctor... I'm not very good at filing and writing reports. Do you think you can assign me to another position? Eh? I don't need to do anything. All I need to do is hang out here? Doctor... You're a weirdo.  
	저, 박사…… 서류 정리랑 보고서, 둘 다 잘 못 하니까, 다른 당번을 맡아도 될까? 응? 아무것도 하지 말고 여기 있으면 된다고? 박사, 왠지 이상해.

	罗德岛的大家是我的朋友，精英干员和我的队员们是我的家人。凯尔希不想我把他们当做亲人，最开始我不明白，现在我懂了。他们就像花瓶里的花一样，稍不注意就会枯掉。但我只有他们了。
	ロドスのみんなは私の友達、エリートオペレーターと隊員たちは私の家族だよ。前にケルシー先生がみんなを家族だと思ったらダメだって言ってたの、最初はよくわからなかったけど、今ならわかるよ。みんなは花瓶の中の花みたいに簡単に枯れちゃうんだ。でも私には、もうみんなしかいないの。
