ID:
	char_4004_pudd

CV:
	布丁
	プリン
	Pudding
	푸딩

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	电气工程师布丁，作为可露希尔的帮手在工程部兢兢业业地工作。
	電気エンジニア・プリン。クロージャの助手としてエンジニア部で真面目に働く。
	Electrical engineer Pudding, putting in assiduous work as Closure's assistant in the Engineering Department.
	전기 엔지니어 푸딩. 클로저의 조력자로서 엔지니어링부에서 성실하게 일하고 있습니다.

合同描述\Character Description:
	只要和电气相关都能够帮得上忙。
	電気に関する物事ならば、なんにでも詳しい。
	She can help with anything, anything electrical anyway.
	전기와 관련된 일이라면 뭐든지 도움 줄 수 있다.

信物\Potential Item:
	名为“小抱枕”的玩偶。对布丁来说是重要的朋友，清理和维护的频率远超普通玩偶的水准。
	「ピローちゃん」という名のぬいぐるみ。プリンにとっては大事な友達で手入れの頻度と丁寧さは通常のぬいぐるみの比ではない。
	A plushie named 'Pillow.' An important friend to Pudding, cleaned and maintained at a frequency far beyond the norm for the average plushie.
	'필로우'라 불리는 인형. 푸딩에게 중요한 친구이기에 세탁 및 관리 빈도가 일반 인형보다 훨씬 높다.

天赋\Talents:
	电磁波
	電磁波
	Electromagnetic Waves
	전자기파

技能\Skills:
	战术咏唱·β型
	戦術詠唱β
	Tactical Chant β
	전술영창β

	扩散电流
	電子流拡散
	Diffusion Current
	전류 확산

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】布丁
	【性别】女
	【战斗经验】没有战斗经验
	【出身地】哥伦比亚
	【生日】12月21日
	【种族】阿戈尔
	【身高】156cm
	【矿石病感染情况】
	体表有源石结晶分布，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】プリン
	【性別】女
	【戦闘経験】なし
	【出身地】クルビア
	【誕生日】12月21日
	【種族】エーギル
	【身長】156cm
	【鉱石病感染状況】
	体表に源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Pudding
	[Gender] Female
	[Combat Experience] None
	[Place of Birth] Columbia
	[Date of Birth] Dec 21
	[Race] Ægir
	[Height] 156cm
	[Infection Status]
	Originium crystals distributed across surface of body, confirmed Infected by medical examination.

	기본정보 :
	[코드 네임] 푸딩
	[성별] 여
	[전투 경험] 없음
	[출신지] 컬럼비아
	[생일] 12월 21일
	[종족] 에기르
	[신장] 156cm
	[광석병 감염 상황]
	체표면에 오리지늄 결정 분포, 의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】缺陷 
	【战场机动】标准 
	【生理耐受】标准 
	【战术规划】普通 
	【战斗技巧】标准 
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】欠落
	【戦場機動】標準
	【生理的耐性】標準
	【戦術立案】普通
	【戦闘技術】標準
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Flawed
	[Mobility] Standard
	[Physical Resilience] Standard
	[Tactical Acumen] Normal
	[Combat Skill] Standard
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 부족
	[전장 기동력] 표준
	[생체 인내도] 표준
	[전술 계획력] 보통
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	布丁，哥伦比亚的电气工程师，在野外考察时意外感染矿石病，来到罗德岛应聘工作并寻求治疗。作为可露希尔小姐的帮手似乎很合适，入职后被立刻抓去成为了工程部助手。

	個人履歴 :
	クルビアの電気工学エンジニア。野外調査中に不慮の事故によって鉱石病に感染し、ロドスに職と治療を求めた。クロージャのサポート役に適しているようで、入職後すぐにエンジニア部へ助手として配属された。

	Profile :
