ID:
	char_430_fartth

CV:
	远牙
	ファートゥース
	Fartooth
	파투스

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	“远牙”骑士查丝汀娜，不会漏过任何目标。
	遠牙騎士ユスティナ。ターゲットは逃さない。
	'Fartooth' Knight Justyna will not miss.
	'송곳니의 기사' 저스티나 발렌타인. 그 어떤 목표도 놓치지 않을 것입니다.

合同描述\Character Description:
	不太喜欢吵闹，但更不愿孤单一人。
	騒がしいのは好きではない、だが孤独はもっと好まない。
	Not a great fan of commotion, but even less a fan of solitude.
	시끄러운 건 싫지만, 혼자 있는 게 더 싫다.

信物\Potential Item:
	粗糙的木制短笛。由远牙亲手削制，能够吹出简单的音节。做工简单，所有扎手的木刺都被细心地磨平。
	木を削った粗い造りの短い笛。ファートゥースお手製で、簡単な音を鳴らすことができる。シンプルな笛だが、手に引っかかりがないように綺麗に磨かれている。
	A rough, handmade piccolo. Fartooth made it herself, and it is capable of producing a few simple sounds. The craftsmanship was simple, so the prickly splinters have been meticulously smoothed over.
	파투스가 직접 나무를 깎아서 만든 피리. 간단한 음만 낼 수 있다. 겉보기엔 투박하게 만들어졌지만 모든 가시를 세심하게 다듬었다.

天赋\Talents:
	凝神
	一心不乱
	Concentration
	정신 집중

技能\Skills:
	迅捷打击·γ型
	迅速攻撃γ
	Swift Strike γ
	신속공격γ

	同盟支援
	戦術連携
	Ally Support
	동맹 지원

	光羽箭
	フェザーアロー
	Feathershine Arrows
	페더샤인 애로우

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】远牙
	【性别】女
	【战斗经验】四年
	【出身地】卡西米尔
	【生日】10月10日
	【种族】黎博利
	【身高】155cm
	【矿石病感染情况】
	参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】ファートゥース
	【性別】女
	【戦闘経験】四年
	【出身地】カジミエーシュ
	【誕生日】10月10日
	【種族】リーベリ
	【身長】155cm
	【鉱石病感染状況】
	メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Fartooth
	[Gender] Female
	[Combat Experience] 4 Years
	[Place of Birth] Kazimierz
	[Date of Birth] Oct 10
	[Race] Liberi
	[Height] 155cm
	[Infection Status]
	Confirmed Infected by medical examination.

	기본정보 :
	[코드 네임] 파투스
	[성별] 여
	[전투 경험] 4년
	[출신지] 카시미어
	[생일] 10월 10일
	[종족] 리베리
	[신장] 155cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】标准
	【战场机动】优良
	【生理耐受】标准
	【战术规划】普通
	【战斗技巧】优良
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】標準
	【戦場機動】優秀
	【生理的耐性】標準
	【戦術立案】普通
	【戦闘技術】優秀
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Standard
	[Mobility] Excellent
	[Physical Resilience] Standard
	[Tactical Acumen] Normal
	[Combat Skill] Excellent
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 표준
	[전장 기동력] 우수
	[생체 인내도] 표준
	[전술 계획력] 보통
	[전투 기술력] 우수
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	“远牙”骑士查丝汀娜，于特锦赛上打响名气，目前隶属于由感染者骑士组建的红松骑士团，是一名在卡西米尔拥有相当程度知名度的感染者骑士。在卡西米尔本届特锦赛及一系列风波之后，红松骑士团与罗德岛达成合作关系，远牙骑士也作为合作者来到罗德岛，接受矿石病相关治疗，并为罗德岛提供战斗支援。

	個人履歴 :
