ID:
	char_437_mizuki

CV:
	水月
	ミヅキ
	Mizuki
	미즈키

干员代号\Name:
	Unknown
	村瀬歩
	Ayumu Murase
	무라세 아유무

招聘合同\Character Usage:
	留舰观察对象水月，现阶段基本可确认潜在威胁性较低。
	艦内留置観察対象のミヅキ。現段階では潜在的な脅威は低いと考えられる。
	Landship observation target Mizuki, latent threat principally confirmed low at the present stage.
	함선에 남은 관찰 대상 미즈키, 현 단계에서는 잠재적인 위협성이 낮은 편이다.

合同描述\Character Description:
	这就是你的选择吗？他或许想要一个锚点来固定住自己，他会紧紧抓牢你。
	これが貴殿の選択ですか？彼は梃子でも動かず、貴殿にずっとまとわりつくかもしれませんよ。
	So this is your choice? He may want an anchor with which to fix himself, and he'll have you tight in his clutches when he does.
	이게 당신의 선택인가? 어쩌면 그는 그저 정착할 곳이 필요한 걸지도 모른다. 아마도 그는 당신을 꽉 붙잡을 것이다.

信物\Potential Item:
	某经典电子游戏四十周年时发行的纪念章中的一枚。套章中的每个角色都有着各不相同的表情，可爱到让人想要把它给一口——
	某定番ゲームタイトルの40周年記念で発行されたメダルセットの1枚。どのメダルもキャラクターたちの多彩な表情がデザインされていて、あまりの可愛さにがぶっといきたく――
	One of some classic video game's commemoration badges distributed for its 40th anniversary. The characters that appear on them each have completely different expressions, and are so cute you could just open wide and—
	한 클래식 비디오 게임이 40주년을 맞이해 발행한 기념 배지 중 하나. 세트에 있는 모든 캐릭터는 각기 다양한 표정을 짓고 있다. 너무 귀여워서 한입에……

天赋\Talents:
	创伤性癔症
	恐怖喚起
	Traumatic Hysteria
	외상성 히스테리

技能\Skills:
	唤醒
	呼び声
	Awaken
	일깨움

	囚徒困境
	ジレンマ
	Prisoner's Dilemma
	죄수의 딜레마

	镜花水月
	鏡花水月
	Moon in the Water
	경화수월

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】水月
	【性别】男
	【战斗经验】没有战斗经验
	【出身地】东
	【生日】3月22日
	【种族】阿戈尔
	【身高】161cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】ミヅキ
	【性別】男
	【戦闘経験】なし
	【出身地】極東
	【誕生日】3月22日
	【種族】エーギル
	【身長】161cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Mizuki
	[Gender] Male
	[Combat Experience] None
	[Place of Birth] Higashi
	[Date of Birth] Mar 22
	[Race] Ægir
	[Height] 161cm
	[Infection Status] 
	Medical tests have confirmed that no infection is present.

	기본정보 :
	[코드네임] 미즈키
	[성별] 남
	[전투 경험] 전투 경험 없음
	[출신지] 극동
	[생일] 3월 22일
	[종족] 에기르
	[신장] 161cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】标准
	【战场机动】普通
	【生理耐受】标准
	【战术规划】普通
	【战斗技巧】普通
	【源石技艺适应性】缺陷

	能力測定 :
	【物理強度】標準
	【戦場機動】普通
	【生理的耐性】標準
	【戦術立案】普通
	【戦闘技術】普通
	【アーツ適性】欠落

	Physical Exam :
	[Physical Strength] Standard
	[Mobility] Normal
	[Physical Resilience] Standard
	[Tactical Acumen] Normal
	[Combat Skill] Normal
	[Originium Arts Assimilation] Flawed

	종합검진 :
	[물리적 강도] 표준
	[전장 기동력] 보통
	[생체 인내도] 표준
	[전술 계획력] 보통
	[전투 기술력] 보통
	[오리지늄 아츠 적응성] 부족

———————————————————————————————

	客观履历 :
	水月于玻利瓦尔的多索雷斯城与我们的部分干员有所接触，并随行至本舰，经相关干员初步问询考察后批准其暂时留舰。
