ID:
	char_440_pinecn

CV:
	松果
	パインコーン
	Pinecone
	파인콘

干员代号\Name:
	津田里穗
	津田里穂
	Riho Tsuda
	츠다 리호

招聘合同\Character Usage:
	建筑工人松果，迷迷糊糊地完成工作。
	建築職人パインコーン、うとうとしながら仕事を終わらせている。
	Construction worker Pinecone, all spaced out while she gets the job done.
	건설노동자 파인콘. 그녀는 흐리멍덩한 상태로 자신의 일을 완수할 것입니다.

合同描述\Character Description:
	看起来没睡醒但工作精准得很，怎么做到的？
	見るからに眠そうなのに仕事はとても正確だ、どうやっているのだろう。
	She looks half-asleep, but her work's laser-accurate. How does she do it?
	잠은 덜 깬 거 같은데, 일은 완벽하다. 어떻게 한 걸까?

信物\Potential Item:
	一个很重的工具包，内含一把备用钉枪，很多备用零件，还有她忘在里面的小小玩偶。
	非常に重い工具鞄。中には予備の釘打機と、たくさんのパーツ、それから入れっぱなしで忘れていた小さい人形が入っている。
	A very heavy toolbag, including a back-up nailgun, many spare parts, and a small figurine she's forgotten in there.
	아주 무거운 공구 가방으로 예비 스테이플 건 1개와 예비 부품이 많이 들어 있다. 그리고 그녀가 잊어버린 작은 인형도 들어 있다.

天赋\Talents:
	便携电源
	ポータブル電源
	Portable Energy Source
	휴대용 전원

技能\Skills:
	RMA长钉
	RMAスパイク
	RMA Spikes
	RMA 스파이크

	电能过载
	過負荷駆動
	Electrical Overcharge
	전기 에너지 과부하

语音\Voices:
	……ドクター？いえ、居眠りなんかしてませんよ！ただ……ただぼーっとしてただけです！
	Doctor? No, I wasn't taking a nap! I... I was just spacing out!
	……박사님? 아니에요, 안 졸았어요! 그냥…… 그냥 멍하니 있었을 뿐이에요!

	外は雨ですか？昔は雨が大嫌いでした……地面は泥だらけになって、工事にも支障が出るので、お父さんの帰りも遅くなるんです。でも雨が上がれば過ごしやすい天気になりますし、こうやって部屋にいると心地良いですね。
	Is it raining outside? I used to really hate rainy days... There's mud everywhere, and the rain affects construction. My father always came home really late on those days. But it also feels really comfortable once the rain lets up, and it feels really nice to just stay inside my room, just like what we are doing right now.
	밖에 비 오나요? 예전에는 비가 정말 싫었어요…… 땅도 진흙투성이가 되고 공사에도 지장이 생겨서 아버지도 늦게 돌아오니까요. 그래도 비가 그치면 지내기 편한 날씨가 되고, 이렇게 방에 있으면 마음이 편해지죠.

	クルビアで土木作業員をしていた頃は毎日大変でした。朝は早かったですし、夜は遅くまで寝られなくて。もし残業でもしてしまえば、気付いた時にはもう寝る時間もなくなっていて……
	When I used to be a construction worker back in Columbia, every day was a struggle. I had to get up early every morning and go to bed late every night. Sometimes, I even had to work overtime and didn't have any time to sleep...
	컬럼비아에서 토목 일을 할 땐 매일 너무 힘들었어요. 아침에도 빨리 일어나야 하고 밤늦게까지 잘 수 없어서…… 야근이라도 하게 되는 날에는, 어느샌가 잠잘 시간도 없어져 버려서……

	あっ、ドクター。一緒にお出かけしてどこか回ってみませんか？あれ？あっ！わ、私の工具バッグはどこ……まさかまた工事現場に忘れてきたの？す、すみません、すぐ戻りますから！
	Oh, Doctor, would you like to go somewhere together? Hm? Ahh...! W-Where's my tool bag...? Did I leave it at the construction site again? I-I'm sorry, I'll be back right away!
	앗, 박사님. 같이 나가서 어딘가 돌아보고 오지 않으시겠어요? 어라? 앗! 내, 내 공구 가방은 어디…… 설마 또 공사 현장에 놔두고 왔나? 죄, 죄송해요, 금방 다녀올게요!

	私のやりたいこと？……安定した仕事があって、地に足の着いた生活ができればそれでいいです。じゃあどうしてオペレーターになったのか、ですか？それは……そのほうがお給料も増えますし、やることもそんなに変わらないと思って、やってみることにしたんです。
