ID:
	char_449_glider

CV:
	蜜莓
	ハニーベリー
	Honeyberry
	허니베리

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	实习医师蜜莓，用苦涩的草药守护身体，用甜蜜的零食治愈心灵。
	研修医ハニーベリー。苦い丸薬で体を整え、甘いお菓子で心を癒す。
	Apprentice doctor Honeyberry, using bitter herbals to defend the body and sweet snacks to cure the soul.
	메딕 견습생 허니베리. 쓴 약으로 건강을 지키고, 달콤한 간식으로 마음을 치유합니다.

合同描述\Character Description:
	当她从高处跳下的时候，请好好接住她。
	彼女が高所から飛び降りる際には、必ず受け止めるように。
	Be sure to catch her when she jumps down from up high.
	높은 곳에서 뛰어내릴 때 잘 받아주자.

信物\Potential Item:
	一盆蜜莓亲手栽培的莓果植株。形态美观，果实酸甜可口，全株可以入药，是此前未被发现过的新品种。
	ハニーベリーが手づから植えたベリーの苗。形は美しく、実も甘酸っぱく美味である。根っこから葉っぱに至るまで余すことなく薬材となる優れモノで、新発見の品種である。
	A berry plant grown by Honeyberry. Its form has beauty, its fruits are tart, sweet and delicious, and the whole of it can be used medicinally. A new, never-before-found cultivar.
	허니베리가 직접 재배한 베리. 형태가 아름답고 열매가 새콤달콤하며, 식물 전체를 약으로 쓸 수 있는 그간 발견되지 않은 새로운 품종이다.

天赋\Talents:
	集体意识
	集合意識
	Collective Consciousness
	집단의식

技能\Skills:
	精神护理
	メンタルケア
	Spiritual Care
	스피리추얼 케어

	振奋
	リフレッシュ
	Rouse
	분발

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】蜜莓
	【性别】女
	【战斗经验】没有战斗经验
	【出身地】雷姆必拓
	【生日】3月20日
	【种族】札拉克
	【身高】155cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】ハニーベリー
	【性別】女
	【戦闘経験】なし
	【出身地】レム・ビリトン
	【誕生日】3月20日
	【種族】ザラック
	【身長】155cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Honeyberry
	[Gender] Female
	[Combat Experience] None
	[Place of Birth] Rim Billiton
	[Date of Birth] Mar 20
	[Race] Zalak
	[Height] 155cm
	[Infection Status]
	Medical tests have confirmed that no infection is present.

	기본정보 :
	[코드 네임] 허니베리
	[성별] 여
	[전투 경험] 없음
	[출신지] 림 빌리턴
	[생일] 3월 20일
	[종족] 자라크
	[신장] 155cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】标准
	【生理耐受】普通
	【战术规划】普通
	【战斗技巧】普通
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】普通
	【戦場機動】標準
	【生理的耐性】普通
	【戦術立案】普通
	【戦闘技術】普通
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Normal
	[Mobility] Normal
	[Physical Resilience] Normal
	[Tactical Acumen] Normal
	[Combat Skill] Normal
	[Originium Arts Assimilation] Normal

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 표준
	[생체 인내도] 보통
	[전술 계획력] 보통
	[전투 기술력] 보통
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	雷姆必拓出身的草药医生，兼修心理学。罗德岛医疗部成员。在利用丰富的草药学知识对抗生理疾病的同时，也在努力维护各位干员的心理健康。

	個人履歴 :
	レム・ビリトン出身の薬草医師であり、並行して心理学も修めている。ロドス医療部のメンバーの一人。豊富な薬草学知識をもって身体的な治療に当たっているほか、オペレーター諸君の精神的健康の維持にも尽力している。

	Profile :
