ID:
	char_452_bstalk

干员代号\Name:
	豆苗
	ビーンストーク
	Beanstalk
	빈스토크

招聘合同\Character Usage:
	最专业的磐蟹饲养员豆苗，指挥她的磐蟹小队守护前线。
	プロハガネガニ飼育員・ビーンストーク、ハガネガニ部隊を指揮して前線を守る。
	Top specialist Metal Crab breeder Beanstalk, commanding her Metal Crab teams to guard the frontline.
	메탈 크랩 전문 사육사 빈스토크. 그녀는 메탈 크랩 소대를 지휘하여 최전선을 지켜줄 것입니다.

合同描述\Character Description:
	仔细审查她提交的经费申请，合同里偶尔会藏着小小的陷阱。
	彼女からの経費申請書には注意すべきだ。稀に小さな罠が隠されていることがある。
	Carefully examine any expense applications she submits. Once in a while, her contracts hide tiny traps.
	그녀가 내민 경비 신청서를 자세히 들여다보면, 작은 함정이 숨겨져 있을 때가 있다.

信物\Potential Item:
	宠物磐蟹幼崽兑换券。经饲养人承诺并盖章，凭此券可在豆苗培育公司正式创建后，兑换领养一只磐蟹宝宝。
	ペットハガネガニの幼生交換券。飼育員の承認を経て、判が押された引換券があれば、ビーンストーク社が正式に設立されたあとに、ちっちゃなハガネガニを手に入れることができる。
	An exchange certificate for a pet Metal Crab. After the breeder pledges and stamps, and once the Beanstalk Breeding Company is officially established, this certificate can be exchanged for the adoption of an adorable baby Metal Crab.
	애완용 새끼 메탈 크랩 교환권. 사육사와의 약속 후 도장을 찍으면, 빈스토크 육성 회사가 정식으로 설립된 후 해당 티켓으로 새끼 메탈 크랩 한 마리를 입양할 수 있다.

天赋\Talents:
	专业饲养员
	プロブリーダー
	Professional Breeder
	전문 사육사

技能\Skills:
	定点指令
	出動指令
	Sentinel Command
	핀포인트 커맨드

	“大家一起上”
	「全員集合！」
	'Everyone Together!'
	"다 같이 가자"

语音\Voices:
	想要我帮忙？哼哼，如果给小家伙们提供三天高级饵食的话，我就考虑一下！怎么样，是不是挺划算......哎，等等，我开玩笑的，你别走啊！
	あたしに手伝ってほしいの？うーん、うちの子たちに高級飼料を三日分プレゼントしてくれれば、考えてあげてもいいかな！どう、美味しい話でしょ……ってちょっと、行かないでよ、冗談だってば！
	Want my help? Hehe, I'll think about it if you give my buddies three days of luxury pet food! How about it, sounds like a deal, isn't... Hey, wait up! I'm just kidding! Don't go!
	내가 도와줬으면 좋겠어? 흠~ 우리 아이들에게 고급 사료 사흘 치를 선물해 준다면, 생각해 볼게! 어때, 괜찮은 조건이지? ……아니 잠깐, 가지 마! 농담이라고!

	让一让，让一让，现在是豆苗培育中心的散步时间，请各位注意脚下，避免踩踏~
	どいたどいたー、ビーンストーク飼育センターのお散歩タイムだよ。うちの子たちを踏んじゃわないように、足元には気をつけてね～。
	Outta the way, outta the way~ Beanstalk Breeding Center coming right through! Watch your feet! Careful not to step on any of us~
