ID:
	char_456_ash

CV:
	灰烬
	Ash
	Ash
	Ash

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	彩虹小队成员灰烬，榴弹已填充。
	レインボー小隊メンバー・Ash。ブリーチング弾装填完了。
	Ash, a member of Team Rainbow, always has grenades loaded and ready.
	레인보우 팀 소속 Ash는 언제든 유탄을 발포할 수 있도록 준비해둡니다.

合同描述\Character Description:
	为团体思考，作为个体行动。
	チームのために考え、個人として行動する。
	Acts an individual, but thinks for the entire squad.
	그녀는 단독으로 움직일 때가 많긴 하지만, 늘 분대 전체를 생각하고 있습니다.

信物\Potential Item:
	一张明信片，上面用你从未见过的文字写成谚语，意思是“能等来的只有衰老”。
	1枚のはがき。そこには見たことのない文字でことわざが書かれている——「待っても訪れるのは衰えだけ」。
	A postcard, upon which is a proverb written in letters you've never seen before. It seems to say, 'the only thing that comes from waiting is old age.'
	한 번도 본 적 없는 낯선 언어로 속담이 적혀 있는 엽서. 안에 적힌 내용은 "기다려서 얻는 것은 나이뿐이다"라는 것 같습니다.

天赋\Talents:
	辅助装备
	スタングレネード
	Auxiliary Equipment
	보조 장비

技能\Skills:
	支援射击
	援護射撃
	Supporting Fire
	지원 사격

	突击战术
	突撃戦法
	Assault Tactics
	강습 전술

	攻坚榴弹
	ブリーチング弾
	Breaching Rounds
	파괴탄

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】灰烬
	【性别】女
	【战斗经验】未知
	【出身地】未知
	【生日】12月24日
	【种族】未知
	【身高】170cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】Ash
	【性別】女性
	【戦闘経験】不明
	【出身地】不明
	【誕生日】12月24日
	【種族】不明
	【身長】170cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Ash
	[Gender] Female
	[Combat Experience] Unknown
	[Place of Birth] Unknown
	[Date of Birth] Dec 24
	[Race] Unknown
	[Height] 170 cm
	[Infection Status]
	Medical tests have confirmed that no infection is present.

	기본정보 :
	[코드네임] Ash
	[성별] 여
	[전투 경험] 알 수 없음
	[출신지] 알 수 없음
	[생일] 12월 24일
	[종족] 알 수 없음
	[신장] 170cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】标准
	【生理耐受】普通
	【战术规划】优良
	【战斗技巧】优良
	【源石技艺适应性】■■

	能力測定 :
	【物理強度】普通
	【戦場機動】標準
	【生理的耐性】普通
	【戦術立案】優秀
	【戦闘技術】優秀
	【アーツ適性】■■

	Physical Exam :
	[Physical Strength] Normal
	[Mobility] Standard
	[Physical Resilience] Normal
	[Tactical Acumen] Excellent
	[Combat Skill] Excellent
	[Originium Arts Assimilation] ■■

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 표준
	[생체 인내도] 보통
	[전술 계획력] 우수
	[전투 기술력] 우수
	[오리지늄 아츠 적응성]■■

———————————————————————————————

	客观履历 :
	灰烬是彩虹小队成员之一，暂时担当小队队长职务，严于律己，恪尽职守，为整个小队谋划行动方针。
	灰烬使用一把M120CREM爆破弹发射器，可以对重装目标造成伤害，也可破开障碍物，为小队行动增加战术选择。

	個人履歴 :
	レインボー小隊の一人。一時的に小隊の隊長を担っており、自分に厳しく、職務を忠実に尽くす。小隊全体の行動を計画している。
	AshはM120 CREMブリーチング弾を用いて、重装ターゲットにダメージを与え、また障害物を破壊することも可能であり、小隊の戦術の幅を広げる。

	Profile :
	Ash is one of the members of Team Rainbow. She is disciplined and committed, and as the team's acting leader, is in charge of formulating her entire team's battle plans.
