ID:
	char_458_rfrost

CV:
	霜华
	Frost
	Frost
	Frost

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	彩虹小队成员霜华，迎宾踏垫已部署。
	レインボー小隊メンバー・Frost。ウェルカムマット設置完了。
	Frost, a member of Team Rainbow, has already deployed her Welcome Mats.
	레인보우 팀 소속 Frost는 벌써 전술 함정을 설치해 두었습니다.

合同描述\Character Description:
	贴心的猎人总会为误打误撞的客人想好一切。
	思いやりのあるハンターは、礼儀知らずの客人へのおもてなしをいつも欠かさない。
	This congenial hunter always has things planned out even for the most haphazard of guests.
	친절한 사냥꾼 Frost는 불청객이 들이닥치더라도 언제든 맞이할 수 있도록 계획을 세워둡니다.

信物\Potential Item:
	一套手工制作的野外求生工具。生存需要技巧而非蛮力，这就是她想要告诉你的。
	手作りのサバイバルツール。生き残るために必要なのはテクニックであり蛮力ではない。これこそ彼女が伝えたいこと。
	 A set of handmade survival tools. She wants to convey to you that survival is a matter of skill, not brute force.
	손수 만든 생존 도구 세트. Frost는 생존은 단순한 무력이 아니라 기술에 달려있다는 점을 전하고 싶어 합니다.

天赋\Talents:
	迎宾踏垫
	ウェルカムマット
	Welcome Mat
	전술 함정

技能\Skills:
	陷阱部署
	トラップセット
	Trap Deployment
	함정 설치

	击倒猎物
	リーサルパシュート
	Incapacitated Prey
	사냥감 무력화

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】霜华
	【性别】女
	【战斗经验】未知
	【出身地】未知
	【生日】5月4日
	【种族】未知
	【身高】172cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】Frost
	【性別】女性
	【戦闘経験】不明
	【出身地】不明
	【誕生日】5月4日
	【種族】不明
	【身長】172cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Frost
	[Gender] Female
	[Combat Experience] Unknown
	[Place of Birth] Unknown
	[Date of Birth] May 4
	[Race] Unknown
	[Height] 172 cm
	[Infection Status]
	Medical tests have confirmed that no infection is present.

	기본정보 :
	[코드네임] Frost
	[성별] 여
	[전투 경험] 알 수 없음
	[출신지] 알 수 없음
	[생일] 5월 4일
	[종족] 알 수 없음
	[신장] 172cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】标准
	【生理耐受】普通
	【战术规划】优良
	【战斗技巧】优良
	【源石技艺适应性】■■

	能力測定 :
	【物理強度】普通
	【戦場機動】標準
	【生理的耐性】普通
	【戦術立案】優秀
	【戦闘技術】優秀
	【アーツ適性】■■

	Physical Exam :
	[Physical Strength] Normal
	[Mobility] Standard
	[Physical Resilience] Normal
	[Tactical Acumen] Excellent
	[Combat Skill] Excellent
	[Originium Arts Assimilation] ■■

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 표준
	[생체 인내도] 보통
	[전술 계획력] 우수
	[전투 기술력] 우수
	[오리지늄 아츠 적응성]■■

———————————————————————————————

	客观履历 :
	霜华是彩虹小队成员之一，坚定、专注、充满活力，擅长在野外环境作战。
	除了自身携带的枪械外，霜华携带了SterlingMK2机械夹板“迎宾踏垫”，通过精妙布设，对敌方造成阻碍，为整个小队提供战术支持。

	個人履歴 :
	レインボー小隊の一人。動揺せず、集中力があり、エネルギーにあふれる。野外環境での戦いに長けている。
	自身が携帯している銃器以外に、スターリングMk2 LHT（別名「ウェルカムマット」）も所持しており、それを巧妙に配置することで敵を妨害し、小隊をサポートする。

	Profile :
	One of the members of Team Rainbow, Frost is a firm, focused and energetic individual adept at combat in outdoor environments.
