ID:
	char_472_pasngr

CV:
	异客
	パッセンジャー
	Passenger
	패신저

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	工程干员异客，将以雷霆手段惩罚敌手。
	エンジニアオペレーター・パッセンジャー。雷霆の如く手腕で敵を罰する。
	Engineering Operator Passenger, thunderous punisher of enemies.
	엔지니어 오퍼레이터 패신저. 번개로 적을 징벌합니다.

合同描述\Character Description:
	他的各类自走兵器只有型号而没有名称，迭代的时候有点难分辨。
	彼の各種自律兵器は全部モデル名だけで固有名称がなく、世代交代の際には見分けがつきにくい。
	His various autonomous weapons bear only models with no names, and telling the difference when they're iterated is a little hard.
	그가 보유 중인 자주식 무기는 모델 번호만 있고 이름은 없어, 뒤바뀌면 구분하기 어렵습니다.

信物\Potential Item:
	一枚古老的萨尔贡金币。经由漫长的命运之手反复摆弄，现在归你了。
	一枚の古いサルゴン金貨。永らく運命の手に弄ばれてきた。今はあなたのものだ。
	An ancient Sargon gold coin. Sent to and fro by the long hands of fate, it now belongs to you.
	오래된 사르곤 금화. 오랫동안 운명의 손을 거쳐, 지금은 당신의 것이 되었다.

天赋\Talents:
	机理分析
	メカニズムアナライズ
	Mechanism Analysis
	메커니즘 분석

技能\Skills:
	电能之触
	エレキチェーン
	Touch of Static
	전기 에너지 접촉

	聚焦指令
	フォーカスオーダー
	Focus Command
	집중 명령

	辉煌裂片
	ルミナスフラグメンツ
	Glorious Shards
	찬란히 찢어진 조각

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】异客
	【性别】男
	【战斗经验】十六年
	【出身地】哥伦比亚
	【生日】9月1日
	【种族】黎博利
	【身高】187cm
	【矿石病感染情况】
	体表有源石结晶分布，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】パッセンジャー
	【性別】男
	【戦闘経験】十六年
	【出身地】クルビア
	【誕生日】9月1日
	【種族】リーベリ
	【身長】187cm
	【鉱石病感染状況】
	体表に源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Passenger
	[Gender] Male
	[Combat Experience] 16 Years
	[Place of Birth] Columbia
	[Date of Birth] Sep 1
	[Race] Liberi
	[Height] 187cm
	[Infection Status]
	Originium crystals distributed across surface of body, confirmed Infected by medical examination.

	기본정보 :
	[코드네임] 패신저
	[성별] 남
	[전투 경험] 16년
	[출신지] 컬럼비아
	[생일] 9월 1일
	[종족] 리베리
	[신장] 187cm
	[광석병 감염 상황]
	 체표면에 오리지늄 결정 분포, 의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】标准
	【生理耐受】标准
	【战术规划】优良
	【战斗技巧】标准
	【源石技艺适应性】优良

	能力測定 :
	【物理強度】普通
	【戦場機動】標準
	【生理的耐性】標準
	【戦術立案】優秀
	【戦闘技術】標準
	【アーツ適性】優秀

	Physical Exam :
	[Physical Strength] Normal
	[Mobility] Standard
	[Physical Resilience] Standard
	[Tactical Acumen] Excellent
	[Combat Skill] Standard
	[Originium Arts Assimilation] Excellent

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 표준
	[생체 인내도] 표준
	[전술 계획력] 우수
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 우수

———————————————————————————————

	客观履历 :
	哥伦比亚出身的干员异客，曾在十三岁时就以极其优异的成绩跳级毕业，随后被源石工程与应用学专家索恩教授相中提拔为研究助手，进入布莱恩创生科技的研究所学习。于近二十余年前随某项目深入萨尔贡，之后销声匿迹。之后以伊巴特地区黑市主要成员的身份与罗德岛接触，并在脱离黑市后，单纯以感染者身份来到罗德岛接受治疗，并以工程部干员的身份活跃在各项行动中。

