ID:
	char_473_mberry

CV:
	桑葚
	マルベリー
	Mulberry
	멀베리

干员代号\Name:
	Unknown
	小原莉子
	Riko Kohara
	코하라 리코

招聘合同\Character Usage:
	救援队成员桑葚，兢兢业业地做好自己的工作。
	救援隊隊員マルベリー、真面目にコツコツと仕事に励む。
	Mulberry, of the rescue team, carries out her work conscientiously.
	구조 대원 멀베리. 부지런히 그리고 성실하게 맡은 업무를 하겠습니다.

合同描述\Character Description:
	不论立场如何，生命第一。
	立場がどうであろうと、命が一番大事だ。
	Regardless of position or status, life always comes first.
	입장이야 어떻든 목숨이 최우선이다.

信物\Potential Item:
	挂着炎国特色装饰的红色平安符。桑葚特地为你请回的护身符，上面写着难懂的炎国文字，香火的气息若有若无。
	炎国伝統の赤い安全祈願のお守りが掛けられている。マルベリーがわざわざ貴殿のためにいただいてきたお守りで、難しい炎国の文字が書かれている。お香の香りを感じられるかもしれない。
	Adorned with Yan's characteristic red protective charms. Mulberry asked for this amulet back specifically for you. Incomprehensible Yan characters are written on it, and an almost imperceptible scent of incense seems to linger.
	염국 특색의 장식품이 달린 빨간색 부적. 멀베리가 당신을 위해 특별히 청해 온 부적으로 위에는 알아보기 어려운 염국 문자가 쓰여 있고, 향불의 기운이 은은하게 느껴진다.

天赋\Talents:
	助手
	医療アシスタント
	Helper
	조수

技能\Skills:
	治愈云雾
	ヒーリングミスト
	Healing Haze
	힐링 헤이즈

	安全区域
	セーフティゾーン
	Safe Zone
	안전지대

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】桑葚
	【性别】女
	【战斗经验】没有战斗经验
	【出身地】炎
	【生日】6月26日
	【种族】黎博利
	【身高】158cm
	【矿石病感染情况】
	体表有少量源石结晶分布，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】マルベリー
	【性別】女
	【戦闘経験】なし
	【出身地】炎国
	【誕生日】6月26日
	【種族】リーベリ
	【身長】158cm
	【鉱石病感染状況】
	体表に少量の源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Mulberry
	[Gender] Female
	[Combat Experience] None
	[Place of Birth] Yan
	[Date of Birth] Jun 26
	[Race] Liberi
	[Height] 158cm
	[Infection Status]
	Originium crystals lightly distributed across surface of body, confirmed Infected by medical examination.

	기본정보 :
	[코드 네임] 멀베리
	[성별] 여
	[전투 경험] 없음
	[출신지] 염
	[생일] 6월 26일
	[종족] 리베리
	[신장] 158cm
	[광석병 감염 상황]
	체표면에 소량의 오리지늄 결정 분포, 의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】标准
	【生理耐受】普通
	【战术规划】普通
	【战斗技巧】普通
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】普通
	【戦場機動】標準
	【生理的耐性】普通
	【戦術立案】普通
	【戦闘技術】普通
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Normal
	[Mobility] Normal
	[Physical Resilience] Normal
	[Tactical Acumen] Normal
	[Combat Skill] Normal
	[Originium Arts Assimilation] Normal

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 표준
	[생체 인내도] 보통
	[전술 계획력] 보통
	[전투 기술력] 보통
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	隶属于炎国灾害救援组织“春乾”的成员，主要在大炎一些寒冷的天灾易发地区进行救援活动。在报名“春乾”与罗德岛的交换项目后，以笔试第一的好成绩被选中，接受派遣前往罗德岛学习矿石病相关救护知识。在学习之余，也作为临时干员协助医疗部工作。

	個人履歴 :
