ID:
	char_474_glady

CV:
	歌蕾蒂娅
	グレイディーア
	Gladiia
	글래디아

干员代号\Name:
	Unknown
	生天目仁美
	Hitomi Nabatame
	나바타메 히토미

招聘合同\Character Usage:
	罗德岛阿戈尔事务负责人歌蕾蒂娅，现在会向你透露一些信息。
	ロドスエーギル部門責任者・グレイディーア。今から少しばかりの情報を渡そう。
	Rhodes Island Ægir Affairs Officer-in-Charge Gladiia, now inclined to divulge some information to you.
	로도스 아일랜드 에기르의 사무 책임자 글래디아는, 지금 당신에게 일부 정보를 알려드릴 겁니다.

合同描述\Character Description:
	言语包含的礼节习惯和性格的恶劣程度没有什么关联。
	言語に潜む礼儀習慣と性格の悪さとは関係ないものである。
	Etiquette in spoken language and vileness of personality have little to do with each other.
	언어가 포함하고 있는 예절 습관과 성격의 악랄함은 본래 관련이 없습니다.

信物\Potential Item:
	一个看不懂结构的黑色小装置。装置上的三个按钮似乎分别是刀，骷髅和某种生物的图案，让人不太敢按下去。
	構造がわからない小さな黒い装置。装置にある三つのボタンには刀・髑髏・ある生物らしき図がついており、押すのに躊躇してしまう。
	A small, black device of incomprehensible makeup. The three buttons on it seem to respectively be a knife, a skull and some sort of design of a creature, and don't quite scream to be pushed.
	구조를 알아보기 힘든 까만색 장치. 장치 위에는 각기 칼과 해골 및 어떤 생물의 그림인 것 같은 3개의 버튼이 있는데, 감히 눌러볼 엄두가 나지 않는다.

天赋\Talents:
	阿戈尔的波涛
	エーギルの波濤
	Waves of Ægir
	에기르의 파도

技能\Skills:
	缺水的大洋裂断
	渇水の大洋裂断
	Waterless Parting of the Great Ocean
	갈증의 대양 절단

	缺水的掌握怒海
	渇水の荒波掌握
	Waterless Grasp of the Raging Seas
	갈증의 노해 장악

	缺水的碎漩狂舞
	渇水の乱渦狂舞
	Waterless Dance of the Shattered Maelstrom
	갈증의 소용돌이

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】歌蕾蒂娅
	【性别】女
	【战斗经验】十七年
	【出身地】阿戈尔
	【生日】11月6日
	【种族】未公开
	【身高】181cm
	【体重】■■kg
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。
	
	经本人确认，歌蕾蒂娅的所有档案移入高权限资料库。

	基礎情報 :
	【コードネーム】グレイディーア
	【性別】女
	【戦闘経験】十七年
	【出身地】エーギル
	【誕生日】11月6日
	【種族】未公開
	【身長】181cm
	【体重】■■kg
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。
	
	本人確認の元、グレイディーアの全プロファイルは高権限データベースに移行する。

	Basic Info :
	[Code Name] Gladiia
	[Gender] Female
	[Combat Experience] 17 Years
	[Place of Birth] Ægir
	[Date of Birth] Nov 6
	[Race] Undisclosed
	[Height] 181cm
	[Weight] ■■kg
	[Infection Status]
	Medical tests have confirmed that no infection is present.
	
	With her confirmation, all files pertaining to Gladiia have been moved to the high clearance database.

	기본정보 :
	[코드네임] 글래디아
	[성별] 여
	[전투 경험] 17년
	[출신지] 에기르
	[생일] 11월 6일
	[종족] 미공개
	[신장] 181cm
	[체중] ■■kg
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.
	
	본인의 확인을 거쳐 글래디아의 모든 파일은 높은 권한 등급의 데이터 베이스로 이관.

———————————————————————————————

	综合体检测试 :
	【物理强度】卓越
	【战场机动】■■
	【生理耐受】卓越
	【战术规划】优良
	【战斗技巧】卓越
	【源石技艺适应性】缺陷

	能力測定 :
	【物理強度】卓越
	【戦場機動】■■
	【生理的耐性】卓越
	【戦術立案】優秀
	【戦闘技術】卓越
	【アーツ適性】欠落

	Physical Exam :
	[Physical Strength] Outstanding
	[Mobility] ■■
	[Physical Resilience] Outstanding
