ID:
	char_478_kirara

CV:
	绮良
	キララ
	Kirara
	키라라

干员代号\Name:
	Unknown
	春野杏
	Anzu Haruno
	하루노 안즈

招聘合同\Character Usage:
	东国学生绮良，被勒令任务时禁止携带游戏机。
	極東の学生キララ。任務時のゲーム機の携行を禁止された。
	Higashi student Kirara, all videogame consoles forbidden while she's forced on missions.
	극동에서 온 학생 키라라, 임무 수행 시 게임기 휴대 금지의 명령을 받았다.

合同描述\Character Description:
	没收了一台，还有第二三四台。
	たとえ一台没収しようと、第二第三第四のゲーム機が！
	Confiscate one, and she's still got a second, third and fourth.
	한 대를 압수해도, 두 번째, 세 번째, 네 번째 게임기가 있다.

信物\Potential Item:
	《机械忍者2》典藏版。东国经典游戏的初期典藏版，她迫不及待将喜欢的都与你分享。
	『メカニカルシノビ2』の初回限定コレクターズBOX。極東の人気ゲームシリーズの二作目。彼女は自分の好きなもの全てを貴殿と共有するのが待ちきれない。
	[Shinobi Ex Machina 2] Collector's Edition. The launch collector's edition of a classic Higashi game. She's dying to share all her favorites with you.
	《로봇 닌자2》 스페셜 에디션. 극동 고전 게임의 초기 소장판이다. 키라라는 자신이 좋아하는 것을 당신과 공유할 생각에 신이 났다.

天赋\Talents:
	离群独守
	ソロプレイ
	Lonesome Protector
	고독한 수호자

技能\Skills:
	锚击
	アンカークラッシュ
	Anchor Strike
	닻 휘두르기

	锚点捕捉
	アンカーポイント
	Anchor Point Snap
	닻 지점 포획

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】绮良
	【性别】女
	【战斗经验】没有战斗经验
	【出身地】东国
	【生日】11月29日
	【种族】阿戈尔
	【身高】160cm
	【矿石病感染情况】
	体表有源石结晶分布，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】キララ
	【性別】女
	【戦闘経験】なし
	【出身地】極東
	【誕生日】11月29日
	【種族】エーギル
	【身長】160cm
	【鉱石病感染状況】
	体表に源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Kirara
	[Gender] Female
	[Combat Experience] None
	[Place of Birth] Higashi
	[Date of Birth] Nov 29
	[Race] Ægir
	[Height] 160cm
	[Infection Status] 
	Originium crystals are present on the body's surface, confirmed Infected by medical examination.

	기본정보 :
	[코드네임] 키라라
	[성별] 여
	[전투 경험] 전투 경험 없음
	[출신지] 극동
	[생일] 11월 29일
	[종족] 에기르
	[신장] 160cm
	[광석병 감염 상황]
	체표면에 오리지늄 결정 분포, 의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】普通
	【生理耐受】标准
	【战术规划】优良
	【战斗技巧】普通
	【源石技艺适应性】普通

	能力測定 :
	【物理強度】普通
	【戦場機動】普通
	【生理的耐性】標準
	【戦術立案】優秀
	【戦闘技術】普通
	【アーツ適性】普通

	Physical Exam :
	[Physical Strength] Normal
	[Mobility] Normal
	[Physical Resilience] Standard
	[Tactical Acumen] Excellent
	[Combat Skill] Normal
	[Originium Arts Assimilation] Normal

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 보통
	[생체 인내도] 표준
	[전술 계획력] 우수
	[전투 기술력] 보통
	[오리지늄 아츠 적응성] 보통

———————————————————————————————

	客观履历 :
	来自东国的学生绮良，因患矿石病而选择离开家乡。在向老同学递出求助信后不久，收到干员宴的回信，据信中的指点前往罗德岛寻求治疗。对电子设备颇有了解，现于范围通讯及设备检修方面为罗德岛提供帮助。

	個人履歴 :
