ID:
	char_479_sleach

CV:
	琴柳
	サイラッハ
	Saileach
	사일라흐

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	执旗手琴柳，从小丘郡来到罗德岛。
	旗手・サイラッハ。ヒロック郡よりロドスに来る。
	Standard-bearer Saileach has come to Rhodes Island from County Hillock.
	기수 사일라흐. 힐록 카운티에서 로도스 아일랜드로 전입했습니다.

合同描述\Character Description:
	信仰不灭，旗帜永在。
	信仰が滅ばぬ限り、旗は翻る。　
	The banner keeps waving. Faith never dies.
	신앙이 있는 한 깃발은 영원하리.

信物\Potential Item:
	一小截风干了的柳枝。每一粒嫩芽都很完好，仿佛只要沾了水，就还能蓬勃生长。
	風乾した柳の小枝。一つ一つの若芽はまだ緑で、水さえあれば生長していきそうにみえてしまう。
	A small segment of a dried willow branch. Each bud is still perfectly intact, as if it could grow once more if dipped into water.
	바람에 말린 버드나무 가지. 새싹 하나하나가 모두 온전하여 마치 물에 닿기만 해도 다시 자라날 것 같다.

天赋\Talents:
	不退之旗
	決意の旗
	Unwavering Banner
	확고한 깃발

技能\Skills:
	支援号令·γ型
	支援指令γ
	Support γ
	지원지령γ

	信仰传承
	信念の義旗
	Inheritance of Faith
	신앙의 전승

	光辉旗帜
	光輝の御旗
	Glorious Banner
	찬란한 깃발

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】琴柳
	【性别】女
	【战斗经验】两年
	【出身地】维多利亚
	【生日】5月31日
	【种族】瓦伊凡
	【身高】166cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】サイラッハ
	【性別】女
	【戦闘経験】二年
	【出身地】ヴィクトリア
	【誕生日】5月31日
	【種族】ヴイーヴル
	【身長】166cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Saileach
	[Gender] Female
	[Combat Experience] 2 Years
	[Place of Birth] Victoria
	[Date of Birth] May 31
	[Race] Vouivre
	[Height] 166cm
	[Infection Status]
	Medical tests have confirmed that no infection is present.

	기본정보 :
	[코드 네임] 사일라흐
	[성별] 여
	[전투 경험] 2년
	[출신지] 빅토리아
	[생일] 5월 31일
	[종족] 와이번
	[신장] 166cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】优良
	【战场机动】标准
	【生理耐受】优良
	【战术规划】普通
	【战斗技巧】标准
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】優秀
	【戦場機動】標準
	【生理的耐性】優秀
	【戦術立案】普通
	【戦闘技術】標準
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Excellent 
	[Mobility] Standard 
	[Physical Resilience] Excellent 
	[Tactical Acumen] Normal 
	[Combat Skill] Standard 
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 우수
	[전장 기동력] 표준
	[생체 인내도] 우수
	[전술 계획력] 보통
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	前维多利亚仪仗队执旗手，服役于维多利亚小丘郡地方部队，经历战乱后，由小丘郡办事处负责人引荐，成为罗德岛合作干员。接受过维多利亚军的基础训练，体能优异，在各类任务中展现出了强大的支援能力。

	個人履歴 :
	サイラッハはヴィクトリアの元儀仗兵であり、ヒロック郡の地方部隊に所属していた。戦乱を経て、ロドス駐ヒロック郡事務所責任者の推薦により、オペレーターとなる。ヴィクトリア軍の基礎訓練を受けたことがあり、優れた身体能力を持ち、各種任務において強力な支援能力を発揮している。

	Profile :
