ID:
	char_484_robrta

CV:
	罗比菈塔
	ロベルタ
	Roberta
	로베르타

干员代号\Name:
	Unknown
	亀谷理子
	Ayako Kamegai
	카메가이 아야코

招聘合同\Character Usage:
	化妆师罗比菈塔，专程赶来为您提供定制妆造服务。
	メイクアップアーティスト・ロベルタ。貴殿のためにスタイリングを行う。
	Makeup artist Roberta is here to provide you with custom beautification services.
	메이크업 아티스트 로베르타. 맞춤형 스타일링 서비스를 제공하러 달려왔습니다.

合同描述\Character Description:
	为了确保您的好气色，她也不介意在其他罗德岛业务场合动手。
	貴殿の顔色をトーンアップするために、メイク以外の業務で腕を振るうこともいとわない。
	To keep you looking sharp, she doesn't mind taking on some of Rhodes Island's other work.
	당신의 기분을 위해, 그녀는 로도스 아일랜드의 다른 업무 장소에서 손을 쓰는 것도 개의치 않는다.

信物\Potential Item:
	一支化妆刷，做工粗糙，看起来有些年头了，但每一根褐色刷毛都干干净净，还很柔软。
	メイクブラシ。古いもので、造りもあまり良くないが、刷毛の一本一本が綺麗に手入れされていて、とてもやわらかい。
	A makeup brush of rough craftsmanship. Though it shows signs of age, each brown bristle is clean and very soft.
	조금은 투박한 메이크업 브러시. 꽤 오래된 것처럼 보이지만, 모든 털 가닥이 깨끗하게 정리돼 있고 아주 부드럽다.

天赋\Talents:
	造型仪调试
	メイクツール調達
	Modeler Debugging
	스타일러 테스트

技能\Skills:
	叙拉古式上妆
	シラクーザ式化粧術
	Siracusan-Style Makeup
	시라쿠사식 화장

	全自动造型仪
	メイクアップマシン
	Full Auto Modeler
	전자동 스타일러

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】罗比菈塔
	【性别】女
	【战斗经验】没有战斗经验
	【出身地】哥伦比亚
	【生日】5月10日
	【种族】阿纳缇
	【身高】155 cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】ロベルタ
	【性別】女
	【戦闘経験】なし
	【出身地】クルビア
	【誕生日】5月10日
	【種族】アナティ
	【身長】155cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Roberta
	[Gender] Female
	[Combat Experience] None
	[Place of Birth] Columbia
	[Date of Birth] May 10
	[Race] Anaty
	[Height] 155cm
	[Infection Status]
	Medical tests have confirmed that no infection is present.

	기본정보 :
	[코드 네임] 로베르타
	[성별] 여
	[전투 경험] 없음
	[출신지] 컬럼비아
	[생일] 5월 10일
	[종족] 아나티
	[신장] 155cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】普通
	【生理耐受】标准
	【战术规划】标准
	【战斗技巧】标准
	【源石技艺适应性】普通

	能力測定 :
	【物理強度】普通
	【戦場機動】普通
	【生理的耐性】標準
	【戦術立案】標準
	【戦闘技術】標準
	【アーツ適性】普通

	Physical Exam :
	[Physical Strength] Normal
	[Mobility] Normal
	[Physical Resilience] Standard
	[Tactical Acumen] Standard
	[Combat Skill] Standard
	[Originium Arts Assimilation] Normal

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 보통
	[생체 인내도] 표준
	[전술 계획력] 표준
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 보통

———————————————————————————————

	客观履历 :
	罗比菈塔，来自哥伦比亚的知名化妆师。在本人的强烈要求下，参加了工程部门的考核，表现出在自动化机械领域的专业素养，经可露希尔同意，成为罗德岛驻舰干员。

	個人履歴 :
	ロベルタはクルビアの著名なメイクアップアーティストである。本人の強い要望によって、エンジニア部門の採用試験に参加した。そこで自動化機械領域における専門的素養を見せたため、クロージャの同意により、ロドス本艦の常駐オペレーターとなった。

