ID:
	char_486_takila

CV:
	龙舌兰
	テキーラ
	Tequila
	테킬라

干员代号\Name:
	Unknown
	島﨑信長
	Nobunaga Shimazaki
	시마자키 노부나가

招聘合同\Character Usage:
	近卫干员龙舌兰，在战场上也面带笑容。
	前衛オペレーター・テキーラ。戦場でも笑顔を絶やさない。
	Guard Operator Tequila, all smiles on the battlefield too.
	가드 오퍼레이터 테킬라, 전장에서도 미소를 잃지 않는다.

合同描述\Character Description:
	别担心，他会把一切都安排妥帖。
	彼が万事整えてくれる、心配しなくていい。
	Don't worry, he'll set everything up just hunky-dory.
	걱정하지 마. 그가 모든 걸 적절히 준비할 테니까.

信物\Potential Item:
	刻有姓名和日期的铭牌。从拿到它的那一天起，龙舌兰就一直随身携带。现在是时候该放下它了。
	氏名と日時が刻まれたプレート。これを手にした日から、テキーラはずっと肌身離さず携帯していた。しかし、そろそろ置いてもいい頃合いだろう。
	A nameplate with a full name and date inscribed. Ever since the day he obtained it, Tequila has always carried it on him. Now's the time for him to let it go.
	이름과 날짜가 새겨있는 명패. 테킬라는 이걸 받은 그 날부터 줄곧 몸에 지니고 다녔다. 이제는 놓아줄 때가 왔다.

天赋\Talents:
	伺机而动
	準備万全
	Waiting Game
	기회주의

技能\Skills:
	当机立断
	即断即決
	Decisive Action
	즉시 결단

	剑走偏锋
	極刃奇襲
	Esoteric Bladework
	기상천외

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】龙舌兰
	【性别】男
	【战斗经验】三年
	【出身地】玻利瓦尔
	【生日】5月15日
	【种族】佩洛
	【身高】182cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】テキーラ
	【性別】男
	【戦闘経験】三年
	【出身地】ボリバル
	【誕生日】5月15日
	【種族】ペッロー
	【身長】182cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Tequila
	[Gender] Male
	[Combat Experience] 3 Years
	[Place of Birth] Bolívar
	[Date of Birth] My 15
	[Race] Perro
	[Height] 182cm
	[Infection Status]
	Medical tests have confirmed that no infection is present.

	기본정보 :
	[코드네임] 테킬라
	[성별] 남
	[전투 경험] 3년
	[출신지] 볼리바르
	[생일] 5월 15일
	[종족] 페로
	[신장] 182cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】标准
	【战场机动】标准
	【生理耐受】普通
	【战术规划】优良
	【战斗技巧】标准
	【源石技艺适应性】普通

	能力測定 :
	【物理強度】標準
	【戦場機動】標準
	【生理的耐性】普通
	【戦術立案】優秀
	【戦闘技術】標準
	【アーツ適性】普通

	Physical Exam :
	[Physical Strength] Standard
	[Mobility] Standard
	[Physical Resilience] Normal
	[Tactical Acumen] Excellent
	[Combat Skill] Standard
	[Originium Arts Assimilation] Normal

	종합검진 :
	[물리적 강도] 표준
	[전장 기동력] 표준
	[생체 인내도] 보통
	[전술 계획력] 우수
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 보통

———————————————————————————————

	客观履历 :
	前多索雷斯国际贸易管理部副主任，本名埃内斯托·萨拉斯，于多索雷斯城内暴乱事件中被革职，后经由干员陈引荐，通过测试加入罗德岛。
	被数日前刚与自己发生过冲突的对象带上罗德岛，在这样尴尬的情况之下依然表现得若无其事，并一路维持着友好爽朗的社交氛围，干员龙舌兰确实不愧为多索雷斯市长女士手下不可多得的外交人才。

	個人履歴 :
	元ドッソレス国際貿易管理部副主任、本名はエルネスト・サラス。ドッソレス市内暴動事件によって免職となり、のちにチェンの紹介により、テストを経てロドスに加入した。
