ID:
	char_489_serum

CV:
	蚀清
	コロセラム
	Corroserum
	코로세럼

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	来自雷神工业的外派干员蚀清，不必质疑他在完成工作内容后享受的休息时间。
	レイジアン工業から派遣された外部協力オペレーター、コロセラム。彼が休んでいるならば、疑うまでもなく仕事は終わっている。
	Operator Corroserum comes as a dispatch from Raythean Industries, and how he enjoys his time off after finishing his work is no worry of yours.
	레이시언 공업에서 파견 나온 코로세럼. 업무를 마치고 누리는 휴식 시간에 대해 문제 삼을 필요가 없습니다.

合同描述\Character Description:
	也欢迎随时打断，毕竟，这也是工作的一部分。
	いつでも声をかけて下さい、それもまた仕事ですから。
	He welcomes interruptions at any time too—after all, it's just one more part of work.
	언제든지 찾아가도 괜찮다. 이것도 업무의 일부분이니까.

信物\Potential Item:
	一个个贴着密密麻麻标签的试剂瓶。《反腐蚀覆膜试剂》《反反腐蚀覆膜试剂》《反反......反反腐蚀覆膜试剂》，字有点小。呃，认真的？
	ラベルがたくさん貼られた試薬の瓶。『アンチ腐蝕防護コーティング剤』『アンチアンチ腐蝕防護コーティング剤』『アンチアンチアンチ腐蝕防護コーティング剤』『アンチアンチアンチ……アンチアンチ腐蝕防護コーティング剤』、字がちっちゃすぎ！
	A reagent bottle with label after label thickly pasted over it. 'Anti-corrosive coating reagent,' 'anti-anti-corrosive coating reagent,' 'anti-anti-...anti-anti-corrosive coating reagent,' the font is smaller and smaller. Er, seriously?
	라벨이 빽빽하게 붙은 시약병. 《부식 방지 코팅 시약》,《부식 방지방지 코팅 시약 》,《부식 방지방지방…… 방지 코팅 시약》. 음, 글씨가 좀 작다. 그런데, 진심인가?

天赋\Talents:
	战术性调整
	戦術的調整
	Tactical Readjustment
	전략적 정비

技能\Skills:
	专注力超载
	過集中
	Focus Overload
	집중력 과부하

	传导蚀滞弹
	神経蝕滞弾
	Conductive Corrosive Blast
	전도성 부식탄

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】蚀清
	【性别】男
	【战斗经验】半年
	【出身地】哥伦比亚
	【生日】4月7日
	【种族】斐迪亚
	【身高】172cm
	【矿石病感染情况】
	参照医学检测报告，确认为非感染者。

	基礎情報 :
	【コードネーム】コロセラム
	【性別】男
	【戦闘経験】半年
	【出身地】クルビア
	【誕生日】4月7日
	【種族】フィディア
	【身長】172cm
	【鉱石病感染状況】
	メディカルチェックの結果、非感染者に認定。

	Basic Info :
	[Code Name] Corroserum
	[Gender] Male
	[Combat Experience] Six Months
	[Place of Birth] Columbia
	[Date of Birth] Apr 7
	[Race] Phidia
	[Height] 172cm
	[Infection Status]
	Medical tests have confirmed that no infection is present.

	기본정보 :
	[코드 네임] 코로세럼
	[성별] 남
	[전투 경험] 반년
	[출신지] 컬럼비아
	[생일] 4월 7일
	[종족] 피디아
	[신장] 172cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 비감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】普通
	【战场机动】普通
	【生理耐受】普通
	【战术规划】标准
	【战斗技巧】标准
	【源石技艺适应性】优良

	能力測定 :
	【物理強度】普通
	【戦場機動】普通
	【生理的耐性】普通
	【戦術立案】標準
	【戦闘技術】標準
	【アーツ適性】優秀

	Physical Exam :
	[Physical Strength] Normal 
	[Mobility] Normal 
	[Physical Resilience] Normal 
	[Tactical Acumen] Standard 
	[Combat Skill] Standard 
	[Originium Arts Assimilation] Excellent

	종합검진 :
	[물리적 강도] 보통
	[전장 기동력] 보통
	[생체 인내도] 보통
	[전술 계획력] 표준
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 우수

———————————————————————————————

	客观履历 :
