ID:
	char_496_wildmn

CV:
	野鬃
	ワイルドメイン
	Wild Mane
	와일드메인

干员代号\Name:
	Unknown
	Unknown
	Unknown
	Unknown

招聘合同\Character Usage:
	“野鬃”骑士艾沃娜，气势十足地准备出战。
	野鬃騎士イヴォナ。出撃の備えに血がたぎる。
	'Wild Mane' Knight Iwona, embodiment of impetus and ready to fight.
	거친 갈기의 기사 이보나. 기염을 토하며 출전을 준비합니다.

合同描述\Character Description:
	很快，很强，还很自信。
	素早く、強く、そして自信がある。
	Mad speed, mad strength, and mad self-confidence.
	빠르고 강하며 자신감도 넘친다.

信物\Potential Item:
	破损的母枪外壳碎片，被野鬃珍贵地保留下来。每一场战斗都伴随着代价，凡事需要再三思考，野鬃这样提醒着自己。
	破損したメインランスの外殻の破片。ワイルドメインが大事にとっておいたもの。どの戦いも代償を伴っており、何事も慎重に考えて行わなければならないと、ワイルドメインは自分に言い聞かせている。
	A splinter of the major lance's damaged outer shell, kept preciously safe by Wild Mane. A reminder to herself that every battle comes with a cost, and you need to think things through.
	와일드메인이 소중하게 보관하고 있는 망가진 메이저 랜스의 조각. 전투는 대가가 따르는 법, 모든 일은 심사숙고해야 한다. 와일드메인은 이렇게 늘 자신을 일깨운다.

天赋\Talents:
	一致向前
	「あたしに続け！」
	Forward March
	포워드 마치

技能\Skills:
	骑枪刺击
	ラピッドランス
	Stabbing Lance
	스태빙 랜스

	夹枪冲锋
	ランスチャージ
	Lance Charge
	랜스 차지

语音\Voices:
	

干员档案\Background:
	基础档案 :
	【代号】野鬃 
	【性别】女 
	【战斗经验】四年 
	【出身地】卡西米尔 
	【生日】8月3日 
	【种族】库兰塔 
	【身高】158cm 
	【矿石病感染情况】 
	体表有源石结晶分布，参照医学检测报告，确认为感染者。

	基礎情報 :
	【コードネーム】ワイルドメイン
	【性別】女
	【戦闘経験】四年
	【出身地】カジミエーシュ
	【誕生日】8月3日
	【種族】クランタ
	【身長】158cm
	【鉱石病感染状況】
	体表に源石結晶の分布を確認。メディカルチェックの結果、感染者に認定。

	Basic Info :
	[Code Name] Wild Mane
	[Gender] Female
	[Combat Experience] 4 Years
	[Place of Birth] Kazimierz
	[Date of Birth] Aug 3
	[Race] Kuranta
	[Height] 158cm
	[Infection Status]
	Originium crystals distributed across surface of body, confirmed Infected by medical examination.

	기본정보 :
	[코드 네임] 와일드메인
	[성별] 여
	[전투 경험] 4년
	[출신지] 카시미어
	[생일] 8월 3일
	[종족] 쿠란타
	[신장] 158cm
	[광석병 감염 상황]
	의학 테스트 보고서 참고 결과, 감염자로 확인.

———————————————————————————————

	综合体检测试 :
	【物理强度】优良
	【战场机动】优良
	【生理耐受】标准
	【战术规划】普通
	【战斗技巧】标准
	【源石技艺适应性】标准

	能力測定 :
	【物理強度】優秀
	【戦場機動】優秀
	【生理的耐性】標準
	【戦術立案】普通
	【戦闘技術】標準
	【アーツ適性】標準

	Physical Exam :
	[Physical Strength] Excellent
	[Mobility] Excellent
	[Physical Resilience] Standard
	[Tactical Acumen] Normal
	[Combat Skill] Standard
	[Originium Arts Assimilation] Standard

	종합검진 :
	[물리적 강도] 우수
	[전장 기동력] 우수
	[생체 인내도] 표준
	[전술 계획력] 보통
	[전투 기술력] 표준
	[오리지늄 아츠 적응성] 표준

———————————————————————————————

	客观履历 :
	“野鬃”骑士艾沃娜，作为红松骑士团的成员，在经历卡西米尔本届特锦赛及一系列风波之后加入罗德岛。除了进行必要的矿石病治疗，野鬃也愿意为罗德岛提供战斗方面的支持。为了感染者，她愿意做很多事。

	個人履歴 :
