古米是宿舍里第二个醒来的人，她有个习惯。
グムは、ズィマー、イースチナとの三人が暮らす宿舎で二番目に目覚める。彼女には習慣がある。
Gummy is the second one in her dorm to wake up every morning. And she has a habit.
숙소에서 두 번째로 빨리 일어나는 굼에게는 습관이 하나 있다.

一旦被真理叫醒，她就会握握真理的手，然后用同样的方法到隔壁去叫醒凛冬。
イースチナに起こされると、彼女の手を握り、同じ方法で隣のベッドのズィマーを起こすのだ。
As soon as Istina wakes her, they share a handshake. Gummy then goes next door to wake Zima in the same fashion.
이스티나가 굼을 깨우면, 굼은 이스티나의 손을 꼭 잡고 같은 방식으로 옆방의 지마를 깨운다.

至于凛冬握不握她的手，纯看“冬将军”醒来时的心情。
ただし、ズィマーが彼女の手を握るかどうかは、「冬将軍」が目覚めた時の機嫌次第ではあるが。
Whether "The General" decides to shake her hand or not depends entirely on her mood.
지마가 그녀의 손을 잡느냐 잡지 않느냐로, '동장군'이 깨어났을 때의 컨디션을 확인할 수 있다.

6:30 a.m.
6:30 a.m.
6:30 a.m.
6:30 a.m.

罗德岛宿舍区  真理与古米的宿舍
ロドス宿舎エリア ズィマー、イースチナ、グムの宿舎
Rhodes Island Dormitories - Istina and Gummy’s Room
로도스 아일랜드 숙소 구역 - 굼과 이스티나의 숙소

[name="古米"]  呼......呼......
[name="グム"]  すぅ……すぅ……
[name="Gummy"]  Zzz...zzz...
[name="굼"]  쿠울…… 쿠울……

[name="古米"]  （早上到了。）
[name="グム"]  （朝だ。）
[name="Gummy"]  (It’s morning.)
[name="굼"]  (아침이다.)

[name="古米"]  （唔，真理姐应该快来了。）
[name="グム"]  （イースチナお姉ちゃん、そろそろ起こしに来るかな。）
[name="Gummy"]  (Istina should be here soon.)
[name="굼"]  (윽, 이스티나 언니가 곧 올 텐데.)

[name="古米"]  呼......呼......
[name="グム"]  すぅ……すぅ……
[name="Gummy"]  Zzz...zzz...
[name="굼"]  흠냐…… 쿠울……

[name="古米"]  （真理姐今天好慢啊，是最近太累了吗？）
[name="グム"]  （お姉ちゃん、今日は遅いなぁ。疲れてるのかな？）
[name="Gummy"]  (But she sure is taking her time today. Maybe she’s been working too hard?)
[name="굼"]  (이스티나 언니가 오늘은 좀 늦네. 요즘 피곤해서 그런가?)

[name="古米"]  （但再等下去的话早上勤务就要迟到了，别再等真理姐了，快起来吧古米。）
[name="グム"]  （これ以上待ってたら、朝の仕事に遅刻しちゃうよ。早く起きて、グム。）
[name="Gummy"]  (But I’m gonna be late if I keep waiting for her. C’mon, Gummy, just get up already!)
[name="굼"]  (하지만 더 기다리면 아침 근무에 늦을 텐데. 언니는 그만 기다리고 일어나자, 굼.)

[name="古米"]  呼......呼......
[name="グム"]  すぅ……すぅ……
[name="Gummy"]  Zzz...zzz...
[name="굼"]  흠냐…… 흠냐……

[name="古米"]  （你做得到的，古米，加油！）
[name="グム"]  （グムならできる、グム、ファイト！）
[name="Gummy"]  (You can do it, girl!)
[name="굼"]  (넌 할 수 있어, 굼. 힘내!)

[name="古米"]  呼......唔唔，嗯。
[name="グム"]  すぅ……ううん、うーん。
[name="Gummy"]  Zzz... Nnhhah!
[name="굼"]  후…… 으음, 음.

[name="古米"]  我起来了！
[name="グム"]  よし、起きたよ！
[name="Gummy"]  I’m up!
[name="굼"]  일어났다!

[name="古米"]  好黑啊。
[name="グム"]  あれ？　暗いなぁ。
[name="Gummy"]  It’s so dark...
[name="굼"]  깜깜하네.

[name="古米"]  小夜灯怎么关了？
[name="グム"]  ベッドライト、なんで消えちゃってるの？
[name="Gummy"]  What happened to my night light?
[name="굼"]  무드등이 왜 꺼졌지?

[name="古米"]  真理姐？真理姐！
[name="グム"]  イースチナお姉ちゃん？　イースチナお姉ちゃん！
[name="Gummy"]  Istina? Istina!
[name="굼"]  이스티나 언니? 이스티나 언니!

[name="古米"]  奇怪，是出门了吗？
[name="グム"]  変だなぁ、出かけたのかな？
[name="Gummy"]  Weird... Did she head out already?
[name="굼"]  이상하네, 나갔나?

[name="古米"]  过去看看吧。
[name="グム"]  ベッドを見てみよう。
[name="Gummy"]  Better go check on her.
[name="굼"]  한번 가보자.

[name="古米"]  ......
[name="グム"]  ……
[name="Gummy"]  ......
[name="굼"]  ……

[name="古米"]  不在呢。
[name="グム"]  いない。
[name="Gummy"]  Yeah, she’s not here.
[name="굼"]  없네.

[name="古米"]  可能是真的急着出门吧。
[name="グム"]  ホントに急いで出かけちゃったんだ。
[name="Gummy"]  I guess she had something important to do.
[name="굼"]  급하게 어디 나간 건가?

[name="古米"]  发生什么了？
[name="グム"]  何かあったのかな？
[name="Gummy"]  I wonder what it was?
[name="굼"]  무슨 일이지?

[name="古米"]  啊。
[name="グム"]  あっ。
[name="Gummy"]  Oh...
[name="굼"]  아.

[name="古米"]  这是......
[name="グム"]  書き置きがある……
[name="Gummy"]  What’s this...?
[name="굼"]  이건……

[name="古米"]  “古米，今天有事出门，晚上才回来，自己照顾好自己。”
[name="グム"]  「グム、今日は用事があって出かけます。夜にならないと帰らないので、自分の面倒は自分で見てください。」
[name="Gummy"]  "Gummy, we went out. Won’t be back until evening. Please look after yourself."
[name="굼"]  "굼, 일이 있어서 나갔다가 저녁에 돌아올 거야. 몸조리 잘해."

[name="古米"]  “真理——”
[name="グム"]  「イースチナ――」
[name="Gummy"]  "Signed, Istina..."
[name="굼"]  "이스티나……"

[name="古米"]  “——和凛冬。”
[name="グム"]  「――とズィマー。」
[name="Gummy"]  "...and Zima."
[name="굼"]  "……와 지마."

[name="古米"]  哼，又把我当小孩子看待，我当然能照顾好自己啦！
[name="グム"]  ふーんだ、またグムを子供扱いして。自分の面倒くらい、言われなくてもちゃんと自分で見られるに決まってるじゃん！
[name="Gummy"]  Hmph! Look at them treating me like a kid again. Of course I can take care of myself!
[name="굼"]  흥, 또 애 취급한다 이거지. 당연히 잘 지낼 수 있다구!

[name="古米"]  原来凛冬姐也起床了。
[name="グム"]  でも、ズィマーお姉ちゃんも先に起きたんだ。
[name="Gummy"]  That means Zima’s already up too.
[name="굼"]  지마 언니도 일어났구나.

[name="古米"]  嗯......
[name="グム"]  そっか……
[name="Gummy"]  Hmm...
[name="굼"]  음……

[name="古米"]  啊，时候不早了，得赶紧去报道。
[name="グム"]  あ、もうこんな時間！　すぐに行かないと。
[name="Gummy"]  Oops, I better hurry up and report in or I’m gonna be late.
[name="굼"]  아, 늦었다. 빨리 가야 되는데.

[name="古米"]  平底锅要带好，还有硬梆梆的盾牌......
[name="グム"]  フライパンと、硬いかたーい盾を持って……
[name="Gummy"]  Just gotta grab my trusty shield and frying pan...
[name="굼"]  프라이팬 챙겼고, 딴딴~한 방패도 챙겼고……

[name="古米"]  好，准备完毕。
[name="グム"]  よし、準備完了。
[name="Gummy"]  Right, that’s everything.
[name="굼"]  좋아, 준비 완료!

[name="古米"]  出发！！
[name="グム"]  出発！！
[name="Gummy"]  Time to go!!
[name="굼"]  출발!!

11:28 a.m.
11:28 a.m.
11:28 a.m.
11:28 a.m.

罗德岛食堂   料理区
ロドス食堂 キッチン
Rhodes Island Cafeteria - Kitchen
로도스 아일랜드 식당 - 조리 구역

咕——
ぐー――
*Rumble~*
꼬르륵……

[name="古米"]  有点饿了啊......
[name="グム"]  お腹空いちゃった……
[name="Gummy"]  I’m kinda hungry...
[name="굼"]  조금 배고픈데……

[name="古米"]  早上走得太急，没来得及填饱肚子。
[name="グム"]  朝は急ぎすぎて、何も食べられなかったし。
[name="Gummy"]  I left in a hurry this morning and didn’t have time to fill up my tummy.
[name="굼"]  아침에 너무 서두르느라 아무것도 못 먹었네.

[name="古米"]  还是先专心干活吧，干完就能吃饭了。
[name="グム"]  でもまずは仕事に集中しよう、終わったらご飯だから。
[name="Gummy"]  But I guess I should focus on work first and grab some food afterwards.
[name="굼"]  일단 일부터 하고, 그다음에 먹어야겠다.

[name="古米"]  嗯——
[name="グム"]  よぉし――
[name="Gummy"]  Um...
[name="굼"]  음……

[name="古米"]  这锅菜好了，请放到取餐区去！
[name="グム"]  この料理できてるよ、受け取り口に持っていって！
[name="Gummy"]  Order up! Ready for the counter!
[name="굼"]  요리 끝! 배식 구역에 가져다 줘!

[name="坚雷"]  来了！
[name="ジュナー"]  よし来た！
[name="Dur-nar"]  On it!
[name="듀나"]  알았어!

[name="古米"]  下一锅是上汤浇菜吗，好，加油！
[name="グム"]  次の料理は野菜スープだね！　グム、ファイト！
[name="Gummy"]  Gotta do a shchi next? Okay, I’ll have it right out!
[name="굼"]  다음은 오크로시카인가. 자, 힘내자!

[name="古米"]  ......
[name="グム"]  ……
[name="Gummy"]  ......
[name="굼"]  ……

[name="古米"]  好了！
[name="グム"]  完成！
[name="Gummy"]  Done!
[name="굼"]  끝!

[name="古米"]  这锅菜好了，请放到取餐区去!
[name="グム"]  これもできたよ、受け取り口にお願い！
[name="Gummy"]  Food’s ready! Please take it to the dining area!
[name="굼"]  다 됐어! 배식 구역에 가져다 줘!

[name="古米"]  下一锅是......唔，还有一份油炸肉饺。
[name="グム"]  次の料理は……うーんと、揚げ餃子が一つ。
[name="Gummy"]  Next up is... Mhm, we got another fried pelmeni.
[name="굼"]  다음은…… 음, 체부레키가 남았네.

[name="古米"]  那等人来把菜放去取餐区去，回来继续烧个菜，早上的活就算干完啦。
[name="グム"]  じゃああとはこの料理を運んでもらって、もう一つ作れば、朝の仕事は終わりだね。
[name="Gummy"]  Just need someone to take this order, then I crank out the pelmeni and I’m good to go.
[name="굼"]  일단 배식 구역에 요리들을 가져다준 다음에, 이 요리만 하면 오전 일은 끝!

[name="坚雷"]  古米，我忙不过来了！你能自己把菜送过去吗！
[name="ジュナー"]  グム、こっちは手が回らないよ！　自分で持って来られる！？
[name="Dur-nar"]  Gummy, I have my hands full over here! Put that out for me?
[name="듀나"]  굼, 지금 거기까지 가기엔 너무 바쁜데! 직접 갖고 가 줄 수 있겠어?

[name="古米"]  没问题！！
[name="グム"]  わかった！
[name="Gummy"]  Sure thing!
[name="굼"]  알았어!!

[name="古米"]  嘿咻。
[name="グム"]  よいしょっと。
[name="Gummy"]  Phew...
[name="굼"]  영차.

[name="古米"]  还好，没盾牌重。
[name="グム"]  盾よりも軽いね。
[name="Gummy"]  I got this. It’s way lighter than my shield.
[name="굼"]  괜찮아. 방패보단 가벼우니까.

[name="古米"]  是送到哪里呢？
[name="グム"]  どこに持っていけばいいのかな？
[name="Gummy"]  But where does it go?
[name="굼"]  어디 두면 돼?

[name="古米"]  坚雷教官！
[name="グム"]  ジュナー教官！
[name="Gummy"]  Dur-nar!
[name="굼"]  듀나 교관님!

[name="古米"]  ......
[name="グム"]  ……
[name="Gummy"]  ......
[name="굼"]  ……

[name="古米"]  坚雷教官？
[name="グム"]  ジュナー教官？
[name="Gummy"]  Dur-nar?
[name="굼"]  듀나 교관님~?

[name="古米"]  奇怪。
[name="グム"]  変だなぁ。
[name="Gummy"]  Weird...
[name="굼"]  이상하네.

[name="古米"]  今天大家怎么动作都这么快？一回头人就不见了。
[name="グム"]  どうして今日はみんなこんなにそそっかしいんだろ？　気付いたらもういないなんて。
[name="Gummy"]  Why is everyone in such a hurry today? I turn my head for a second and she’s gone...
[name="굼"]  오늘 다들 왜 이렇게 빠르지? 눈 깜짝할 사이에 사라졌네.

[name="古米"]  算了，我直接问取餐区的人好了。
[name="グム"]  まぁいいや、直接受け取り口の人に聞いてみよう。
[name="Gummy"]  Oh well, guess I’ll just ask where to put it.
[name="굼"]  뭐 어때. 배식 구역 사람들한테 직접 물어보지 뭐.

[name="古米"]  应该就是这里了吧，今天负责收银的是——远山姐姐吗？
[name="グム"]  多分ここだよね、今日のお会計担当は――ギターノお姉ちゃん？
[name="Gummy"]  It’s gotta go around here somewhere. The lady at the cash register, that’s... Gitano, right?
[name="굼"]  여기일 텐데. 오늘 카운터 담당은…… 기타노 언니였나?

[name="古米"]  远山姐姐，您好。
[name="グム"]  ギターノお姉ちゃん、こんにちは。
[name="Gummy"]  Hey, Gitano.
[name="굼"]  기타노 언니, 안녕~!

[name="远山"]  中午好，小熊。
[name="ギターノ"]  これはこれは、熊のお嬢ちゃんではないか。
[name="Gitano"]  Good day, Little Cub.
[name="기타노"]  어머, 곰돌이 아가씨가 여긴 어쩐 일로?

[name="远山"]  你怎么拿着锅子就出来了，要我搭把手吗？
[name="ギターノ"]  何故おぬしが鍋を持って出てくるのじゃ、手伝いは必要かの？
[name="Gitano"]  Why are you out here with your frying pan? Do you need my help?
[name="기타노"]  냄비를 들고 오다니, 도움이 필요한가?

[name="古米"]  不用了姐姐，您告诉古米应该把菜放到哪里就好，再这样悬着，菜都要凉啦！
[name="グム"]  大丈夫だよお姉ちゃん。この料理をどこに置けばいいか、グムに教えて。このままずーっと持ってたら冷めちゃうよ！
[name="Gummy"]  Just one thing. Could you tell me where to put the shchi? It’s getting cold!
[name="굼"]  아니야 언니, 어디에다 두면 되는지만 알려줘. 이대로 놔두면 음식이 전부 식어버릴 거라구!

[name="刻俄柏"]  ......
[name="ケオベ"]  ……
[name="Ceobe"]  ......
[name="케오베"]  ……

[name="远山"]  这是上汤浇菜吧，如果我没记错，应该是中间，讯使站着的地方。
[name="ギターノ"]  それは野菜スープじゃな、わらわの記憶が確かならば、真ん中のはずじゃ。あちらのクーリエがおる場所じゃ。
[name="Gitano"]  Shchi, huh? If I recall correctly, it goes there in the middle, where Courier is standing.
[name="기타노"]  오크로시카로군. 내 기억이 맞다면, 쿠리어가 서 있는 저 중간 자리에 두면 될 걸세.

[name="古米"]  好叻。
[name="グム"]  わかった、ありがとう！
[name="Gummy"]  Got it!
[name="굼"]  알았어!

[name="远山"]  真的不用帮把手吗，小熊？
[name="ギターノ"]  本当に手伝いは必要ないのか、熊のお嬢ちゃん？
[name="Gitano"]  Are you sure you don’t need any help, Little Cub?
[name="기타노"]  정말 도와주지 않아도 괜찮은가, 곰돌이 아가씨?

[name="古米"]  不用不用，再见远山姐姐。
[name="グム"]  大丈夫だよ。じゃあまたね、ギターノお姉ちゃん。
