[name="阿达克利斯人A"]  森蚺，森蚺！
[name="アダクリス人A"]  ユーネクテス！　ユーネクテス！
[name="Archosauria A"]  Eunectes! Eunectes!
[name="아다크리스A"]  유넥티스! 유넥티스!!

[name="阿达克利斯人B"]  把他们全都解决掉，森蚺！
[name="アダクリス人B"]  全員やっつけろ、ユーネクテス！
[name="Archosauria B"]  Go get them, Eunectes!
[name="아다크리스B"]  몽땅 해치워버려, 유넥티스!

[name="阿达克利斯人C"]  大酋长，大酋长！
[name="アダクリス人C"]  大族長、大族長！
[name="Archosauria C"]  Great Chief! Great Chief!
[name="아다크리스C"]  대족장, 대족장!

[name="阿达克利斯人D"]  森蚺，娶我！
[name="アダクリス人D"]  ユーネクテス、結婚してくれ！
[name="Archosauria D"]  Eunectes, marry me!
[name="아다크리스D"]  유넥티스, 날 가져요!

[name="阿达克利斯勇士"]  ......森蚺，你果然来了。
[name="アダクリスの勇士"]  ……ユーネクテスか、来たな。
[name="Archosauria Warrior"]  ...Well, look who showed up. Eunectes.
[name="아다크리스 용사"]  유넥티스…… 역시 나타났군.

[name="阿达克利斯勇士"]  我还以为你缩在自己的雨林里不敢来了。
[name="アダクリスの勇士"]  ジャングルに引きこもってもう出てこないのかと思ったぜ。
[name="Archosauria Warrior"]  I thought you were going to hide in that little rainforest of yours, too scared to show up.
[name="아다크리스 용사"]  정글 속에 처박혀서 나올 엄두도 못 내고 있는 줄 알았는데.

[name="森蚺"]  雨林很好。
[name="ユーネクテス"]  ジャングルはいい場所だ。
[name="Eunectes"]  And you’re too afraid to come visit?
[name="유넥티스"]  정글이 얼마나 좋은데.

[name="阿达克利斯勇士"]  哼，缩在雨林里的提亚卡乌都是胆小鬼！
[name="アダクリスの勇士"]  ヘッ、ジャングルで縮こまってるティアカウは全員腰抜け野郎だ！
[name="Archosauria Warrior"]  Hmph, you’re all cowards for holing up in your rainforest!
[name="아다크리스 용사"]  흥, 정글에 처박힌 티아카우는 전부 다 겁쟁이들이야!

[name="森蚺"]  是不是胆小鬼，你马上就知道了。
[name="ユーネクテス"]  腰抜けかどうか、試してみるといい。
[name="Eunectes"]  We’ll find out right now if that really makes me a coward.
[name="유넥티스"]  겁쟁인지 아닌지는, 곧 알게 될 거다.

[name="嘉维尔"]  祖玛玛这家伙，虽然身上多了些奇怪的装备，还是和以前一样啊。
[name="ガヴィル"]  ズゥママのヤツ、ヘンテコな装備は増えたけど、性格は昔のまんまだな。
[name="Gavial"]  Well, even with all those weird gadgets, Zumama hasn’t changed one bit.
[name="가비알"]  주마마 저 녀석, 몸에 이상한 장비들이 달려있긴 하지만, 그래도 예전 모습 그대로네.

[name="嘉维尔"]  哦，博士，我还没详细给你介绍过吧。
[name="ガヴィル"]  おっと、ドクター、紹介がまだだったな。
[name="Gavial"]  Oh, right. Doctor, I never told you about her, did I?
[name="가비알"]  아, 박사. 내가 아직 제대로 소개한 적 없지?

[name="嘉维尔"]  台上那个女孩叫祖玛玛，我们不是一个部族，不过以前离得比较近，年纪又差不多，算是一起长大的。
[name="ガヴィル"]  舞台にいるあいつはズゥママってんだ。別部族の奴だったけど、縄張りが近くてさ。歳も近いし、要は幼馴染ってヤツだな。
[name="Gavial"]  That girl in the arena is Zumama. We aren’t from the same tribe, but we lived pretty close to each other. Plus, we’re about the same age, so you could say we grew up together.
[name="가비알"]  무대 위에 있는 저 여자가 주마마야. 나랑 같은 부족은 아니지만, 사는 곳이 가깝고, 나이도 비슷해서 함께 자란 셈이지.

[name="嘉维尔"]  这家伙虽然不爱说话，但其实也挺厉害。
[name="ガヴィル"]  あいつはあんまり喋らねぇけど、実力は本物さ。
[name="Gavial"]  She doesn’t talk much, but she handles herself in a fight.
[name="가비알"]  녀석은 말수가 적긴 했지만, 꽤 대단했어.

[name="嘉维尔"]  不过不知道什么时候起，她就变得怪怪的，虽然还是很能打，但是没事的时候会老是自己在捣鼓一些怪东西。
[name="ガヴィル"]  でもいつの間にか変になっちまってたんだ。喧嘩をやめて、おかしなモンを弄るようになってさ。
[name="Gavial"]  She started acting kinda weird at some point, though. I mean, she was still pretty tough, but she was always tinkering with stuff all by herself.
[name="가비알"]  그런데 언제부터인가 이상하게 변했더라고. 싸움은 여전히 잘했는데, 할 일 없을 땐 항상 이상한 물건들을 만지작거리더니……

[name="嘉维尔"]  在那之后她部族搬走了，我们就见的比较少。
[name="ガヴィル"]  それから気付いたら部族ごと引っ越しちまって、会う機会もほとんどなくなった。
[name="Gavial"]  Her tribe moved away not long after that, and we didn’t see each other much anymore.
[name="가비알"]  나중엔 저 녀석 부족이 다른 곳으로 터전을 옮기는 바람에, 거의 만나지 못하게 됐지.

[name="嘉维尔"]  听说她还是很厉害，但是好像染上了怪病，会和没人的地方说话。
[name="ガヴィル"]  聞いた話じゃ、喧嘩はまだ強いけど妙な病気に罹ったとかで、誰もいないところで独り言を言うようになったらしい。
[name="Gavial"]  Word is she’s as strong as ever, but she came down with some weird disease and started talking to herself.
[name="가비알"]  듣기론 저 녀석은 여전히 대단하지만, 무슨 이상한 병에 걸렸는지 아무도 없는 곳에서 혼잣말을 하게 되었다더라고.

[name="嘉维尔"]  我在罗德岛的时候还特地查过类似的症状，感觉是精神方面的问题，不过她现在看起来还挺正常的。
[name="ガヴィル"]  ロドスで似た症状を調べてみたんだが、精神疾患の類だと思う。だがこうやって見ると、割とまともに見えるな。
[name="Gavial"]  I looked into the symptoms back at Rhodes Island. It sounded like some kind of mental illness, but she looks pretty normal to me right now.
[name="가비알"]  그래서 나중에 로도스 아일랜드에서 비슷한 병증에 대해 일부러 찾아본 적도 있는데, 아마 정신 쪽 문제일 거라더라. 근데 지금 보니까, 아주 멀쩡해 보이는걸?

[name="嘉维尔"]  上次祭典的时候我还以为她会来的，结果她没来，我还挺遗憾的。
[name="ガヴィル"]  前回の祭典には出ると思ってたのに、結局来なかったんだ。あのときは本当に残念だったなぁ。
[name="Gavial"]  I was half-expecting her to come to the last ceremony, but too bad she never did.
[name="가비알"]  저번 제전 때는 저 녀석이 올 줄 알았는데 안 와서 엄청 아쉬웠었어.

[name="嘉维尔"]  没想到现在她开始自称森蚺，既然她来了，上面这个人应该没戏了。
[name="ガヴィル"]  それにしても、今やユーネクテスなんて洒落た名前を名乗ってるとはな。あいつが来たんなら大族長はもう決まりだ。
[name="Gavial"]  And now she’s here, calling herself Eunectes? Who would’ve thought? Anyway, now that she’s here, you see that guy up there? Probably done for.
[name="가비알"]  오늘 이렇게 유넥티스라는 이름으로 다시 나타날 줄은 몰랐네. 상대가 녀석이라면, 저 사람에게 더 이상 희망은 없다고 봐야겠지.

[name="阿达克利斯勇士"]  咕哈！
[name="アダクリスの勇士"]  ぐはっ！
[name="Archosauria Warrior"]  Gahh!
[name="아다크리스 용사"]  크아악!

[name="嘉维尔"]  哈，果然，这家伙也变强了啊，真想和现在的她打一架啊！
[name="ガヴィル"]  へぇ、やっぱりあいつも強くなってやがる。アタシもやり合ってみたいぜ！
[name="Gavial"]  Hah, I knew it! She did get stronger! Now I really want to fight her!
[name="가비알"]  헤에… 역시, 저 녀석도 강해졌네. 정말이지… 지금의 녀석과 한판 붙어보고 싶은걸!

[name="特米米"]  果然，祖玛玛很强，但是......
[name="トミミ"]  ……ズゥママは強い。でも……
[name="Tomimi"]  Zumama is strong. There's no doubt about that, but...
[name="토미미"]  역시 주마마는 무척 강하네요. 하지만……

[name="嘉维尔"]  嗯？那边的是......
[name="ガヴィル"]  ん？　あそこにいるのは……
[name="Gavial"]  Hmm? Who are those guys over there...?
[name="가비알"]  어? 저건…

[name="阿达克利斯人"]  森蚺，我们来挑战你。
[name="アダクリス人"]  ユーネクテス、次はオレたちがお前に挑むぜ。
[name="Archosauria"]  Eunectes, we’ll challenge you.
[name="아다크리스"]  유넥티스, 너에게 도전하러 왔다.

[name="森蚺"]  你们是？
[name="ユーネクテス"]  お前たちは？
[name="Eunectes"]  Who are you?
[name="유넥티스"]  너희들은 누구지?

[name="阿达克利斯人"]  我是猛火部族的族长，乌代！
[name="アダクリス人"]  オレはフレイム族の族長、ウダイ！
[name="Archosauria"]  I’m the leader of the Raging Flames, Uda!
[name="아다크리스"]  나는 성난 불꽃 부족의 족장, 우다다!

[name="阿达克利斯人"]  我是刀疤部族的族长，阿鲁纳！
[name="アダクリス人"]  オレはスカー族の族長、アルナ！
[name="Archosauria"]  I’m the leader of the Scars, Aruna!
[name="아다크리스"]  나는 칼자국 부족의 족장, 아루나다!

[name="乌代&阿鲁纳"]  小的们，上来！
[name="ウダイ＆アルナ"]  野郎ども、前に出ろ！
[name="Uda & Aruna"]  Alright, you lot! Get her!
[name="우다&아루나"]  아그들아, 다 올라와라!

[name="森蚺"]  你们要一起上吗？
[name="ユーネクテス"]  まとめてかかってくるのか？
[name="Eunectes"]  Are all of you ganging up on me?
[name="유넥티스"]  한꺼번에 덤비려고?

[name="乌代"]  嘿，我们之间达成了协......什么来着？
[name="ウダイ"]  へへっ、オレたちはどう……なんだっけ？
[name="Uda"]  Yeah, that’s right. Our tribes’ got a little, uh... what do you call those again?
[name="우다"]  후훗, 우리는 동… 그 뭐냐… 동 뭐시기를 맺었는데… 아 동 그거 뭐였지?

[name="阿鲁纳"]  蠢货，那叫协议！
[name="アルナ"]  アホ、同盟だ！
[name="Aruna"]  It’s a pact, you dimwit!
[name="아루나"]  동맹! 이 멍청아!

[name="乌代"]  哦对，协议！
[name="ウダイ"]  あーそれだ、同盟を結んだんだ！
[name="Uda"]  That’s right, a pact!
[name="우다"]  아 맞다, 동맹!

[name="阿鲁纳"]  可别以为你可以轻易当上大酋长！
[name="アルナ"]  簡単に大族長になれると思うなよ！
[name="Aruna"]  If you want the throne, you’ll have to go through us!
[name="아루나"]  손쉽게 대족장이 될 수 있을 거라 생각하지 마라!

[name="森蚺"]  我没有这么想过。不过，我没听说过你们有这么团结。
[name="ユーネクテス"]  簡単になれるだなんて思ってない。それにしても、お前たちが仲が良かったなんて初耳だ。
