[name="特米米"]  这里的楼房跟其他部族明显不一样了......
[name="トミミ"]  ここの建物は、ほかの部族のものとは明らかに違いますね……
[name="Tomimi"]  The buildings here are so different from the other tribes...
[name="토미미"]  여기 건물은 확실히 다른 부락이랑 다르네요…

[name="刻俄柏"]  破房子！
[name="ケオベ"]  オンボロだ！
[name="Ceobe"]  Crappy houses!
[name="케오베"]  낡았어!

[name="宴"]  唔，这里的建筑和装饰好粗糙。
[name="ウタゲ"]  うーん、確かに雑な作りと装飾だね。
[name="Utage"]  Hm, the architecture and decor is all pretty crude.
[name="우타게"]  흐음… 여기는 건물도 장식도 다 조잡하네.

[name="可颂"]  不过奇怪的器械残骸到处都是。
[name="クロワッサン"]  ヘンテコな機械の残骸は、そこら辺に散らばっとるけどな。
[name="Croissant"]  Got a lotta weird, broken gizmos all over the place too.
[name="크루아상"]  근데 이상한 기계 잔해가 오만 데 다 널려있네.

[name="嘉维尔"]  祖玛玛，你的部族建设得挺特别啊。
[name="ガヴィル"]  ズゥママ、お前の部族はホント変わってるな。
[name="Gavial"]  Zumama, you’ve got a very unique tribe here.
[name="가비알"]  주마마, 네 부락의 건물은 상당히 특이하구나.

[name="嘉维尔"]  看来他们也和你一样喜欢捣鼓机器了嘛。
[name="ガヴィル"]  みんなお前と同じように、機械いじりが好きなんだな。
[name="Gavial"]  Looks like they enjoy fiddling around with machines just as much as you do.
[name="가비알"]  다들 너처럼 기계 만지는 걸 좋아하나 봐?

[name="森蚺"]  这都是我的族人们的杰作。
[name="ユーネクテス"]  ああ、ここにあるものは全部、部族の者たちの傑作だ。
[name="Eunectes"]  This is my people’s masterpiece.
[name="유넥티스"]  이건 모두 우리 부족 사람들의 걸작이야.

[name="森蚺"]  嗯。他们也都体会到了机械的魅力，凭借着自己的热情将这个部族建设到了现在这个样子。
[name="ユーネクテス"]  彼らは皆機械の魅力に気付き、そしてその熱意をもってあれらを創り上げたんだ。
[name="Eunectes"]  Yes. They now know the charm of the machines, and they have built the tribe you see here on their passion alone.
