我们一生都在飞翔，有谁想过，自己最后会停在哪儿吗？
僕たちはみんな生涯飛び続け、自分が最後にどこで止まるかなんて考えたこともない。
We spend our entire lives flying. Has anyone ever stopped to wonder where we will end up?
한 평생을 날아다녔던 우리가, 어딘가에 멈춰설 거라고 누가 상상이나 했을까?

带着湿意的家乡的风，口中总有消散不去咸盐的滋味。
湿り気のある故郷の風はしょっぱくて、口の中にいつまでも残っている。
The humid breeze from back home, and the saline taste it leaves in the mouth.
습한 고향 땅의 바람… 입 안에는 항상 소금처럼 짠 맛이 감돈다.

刺疼人的烈日，难忍的高温，还有繁华留在皮肤上的印记和空旷城市中凝滞的气流。
突き刺さるほど強烈な陽射しと耐え難い高温、そして繁華が皮膚に刻み込んだ印と大都市に淀む空気。
The scorching sun, the unbearably high temperatures, the marks the hustle and bustle leave behind on the skin, and the air currents that gather in the open, spacious city.
따가울 정도로 강하게 내리쬐는 태양, 잔인하게 뜨거운 고온의 날씨, 피부에 선명하게 남아있는 각인과 광활한 도시의 정체된 기류.

我体验过，这些我都体验过。
僕はすべてを体験した。この身をもって。
I’ve experienced it. I’ve experienced it all.
경험해 보았었다. 전부 경험해 보았던 것들이다.

我想或许有一天，我终究会回到那个地方。
いつかまた、あの場所へ戻る日が来るのかもしれない。
Maybe someday I will make it back to that place.
어쩌면 언젠가는, 그곳에 돌아갈 수 있겠지.

10:10 A.M.  天气/晴
a.m.10:10  天気/晴天
10:10 AM \ Clear
10:10 a.m. 날씨/맑음

罗德岛舰船，第二舱室，干员休息区
ロドス艦船 第二船室 オペレーター休憩エリア
Rhodes Island Landship, Cabin No. 2, Operator Rest Area
로도스 아일랜드 함선 제2선실, 오퍼레이터 휴게실

[name="清流"]  那么，这次联系大家的事情就拜托极境先生了！
[name="セイリュウ"]  じゃあ、今回のみんなへの連絡はエリジウムさんにお願いするね！
[name="Purestream"]  Okay, it’s up to you to let everybody else know, Mr. Elysium!
[name="퓨어스트림"]  그럼, 모두에게 연락하는 일은 엘리시움 씨한테 부탁할게!

[name="清流"]  要采购的食材我已经提前和后勤部门说好了，到时菜品我会和食铁兽姐一起想想办法。
[name="セイリュウ"]  食材の調達はもう後方支援部と話をつけてあるから、料理はわたしとエフイーター姉さんで引き受けるよ。
[name="Purestream"]  I’ve already talked to the Logistics Department about the ingredients we need, and I’ll figure out the menu with FEater.
[name="퓨어스트림"]  구매해야 하는 식자재는 미리 후방 지원부에 말해뒀고, 메뉴는 에프이터 언니랑 같이 생각해볼게.

[name="清流"]  家常菜我们应该都能做，但复杂点的就要找人帮忙了......
[name="セイリュウ"]  家庭料理ならわたしたちでもできるけど、手の込んだ料理にはやっぱり助っ人が必要だからね……
[name="Purestream"]  We should be able to make most homemade fare ourselves, but we’ll need help with the more complicated dishes...
[name="퓨어스트림"]  가정식 요리는 나도 할 수 있지만, 어려운 요리는 역시 혼자 못하니까……

[name="清流"]  啊，对了，惊蛰姐也说可以帮忙写请柬，她字写得可好看了，动作利落又帅气，看得我都心动想去学书法了。
[name="セイリュウ"]  あ、あとレイズ姉さんが招待状書くのを手伝ってくれるって。レイズ姉さんの書く字はすっごくきれいだし、書き方もシュッとしててかっこいいの。見てると書道を習いたくなっちゃう。
[name="Purestream"]  Oh, right! Leizi said she could help us write the invitations. Her handwriting is pretty, and her stroke movements are so beautiful and swift. Just watching her write makes me want to learn calligraphy!
[name="퓨어스트림"]  아, 맞다, 레이즈 언니도 초대장 적는 거 도와줄 수 있다 그랬어. 레이즈 언니는 글씨를 엄청 잘 쓰거든. 동작도 깔끔하고 멋있는 게, 보다 보면 나도 서예를 배우고 싶어진다니까?

[name="极境"]  哎，准备得很周到嘛，真没想到那个惊蛰小姐竟然也会帮忙。
[name="エリジウム"]  へえ、手回しがいいね。まさかあのレイズさんまで手伝ってくれるとは思わなかったなぁ。
[name="Elysium"]  Well, you certainly have everything in order. I didn’t expect Miss Leizi to offer her help.
[name="엘리시움"]  호오~ 준비가 완벽하네, 설마 그 레이즈 씨까지 도와줄 줄이야.

[name="极境"]  要联络的就是名单上这些外勤任务中的炎国和龙门干员对吧？放心交给我，绝对一个都漏不掉！
[name="エリジウム"]  連絡が必要なのは外勤任務中の炎国にゆかりのあるオペレーターだよね？　OK、僕に任せて、漏れなく連絡しておくよ！
[name="Elysium"]  We need to contact the Yen and Lungmen operators on this list who are currently out in the field, correct? Just leave it to me. I’ll get every last one of them!
[name="엘리시움"]  여기 명단 중에 염국이랑 용문으로 외근 중인 오퍼레이터들한테 연락하면 되는 거지? 안심하고 나에게 맡겨, 하나도 빠뜨리지 않을 테니까!

[name="清流"]  有极境先生帮忙，我当然不担心啦！
[name="セイリュウ"]  エリジウムさんが手伝ってくれるなら百人力だね！
[name="Purestream"]  I’m so glad you’re helping us, Mr. Elysium.
[name="퓨어스트림"]  엘리시움 씨가 도와준다니까 든든하네!

[name="清流"]  能在罗德岛遇到这么多老乡，还挺让人意外的。嘿嘿，我好喜欢大家聚在一起时的气氛，人多一点才热闹嘛，多好。
[name="セイリュウ"]  まさか、ロドスでこーんなにたくさんの同郷の人に会えるなんて思わなかったよ。フフッ、みんなで集まるのって大好き。人が多いほどワイワイできて楽しいよね～。
[name="Purestream"]  I didn’t expect there to be so many people from the old country here at Rhodes Island. Hehe, I really love that feeling of everyone coming together. It makes everything so lively, having so many people in one place.
[name="퓨어스트림"]  로도스 아일랜드에서 이렇게 많은 고향 사람들과 만날 수 있다니, 진짜 의외다. 헤헤, 나는 모두가 함께하는 분위기가 너무 좋은걸. 사람 많으면 시끌벅적 하고 얼마나 좋아~

[name="清流"]  不知道在外面出任务的大家能不能回得来，希望可以赶上......唔，我也知道估计会很难啦，但是万一呢！
[name="セイリュウ"]  外勤任務中のみんなは戻ってこれるかな？　難しいのはわかってるけど、来てくれるといいなぁ。
[name="Purestream"]  I wonder if the people out there right now will make it back on time, though... I really hope they do... Hm, I guess it’s probably going to be difficult, but there’s always a chance!
[name="퓨어스트림"]  외부 임무 나간 사람들이 제시간에 돌아올 수 있을지는 모르지만, 그래도 빨리 만났으면 좋겠네…… 아, 힘들 거라는 건 나도 알지만, 혹시 또 모르잖아!

[name="清流"]  啊，当然也很欢迎大家一起参加！极境先生要来吗，可以带上朋友一起，这种活动如果人少就没意思了！
[name="セイリュウ"]  あ、もちろんそれ以外の人たちだって大歓迎だよ！　エリジウムさんも、よかったらお友達と一緒に来てね！　せっかくの祝日のパーティだし、人が少ないと面白くないもんね！
[name="Purestream"]  Oh, of course, we welcome everyone! Would you like to join us, Mr. Elysium? You can bring your friends with you, too. The more the merrier!
[name="퓨어스트림"]  아, 누가 와도 다 환영이야! 근데 엘리시움 씨도 오는 거면, 친구랑 같이 와도 돼! 이런 행사는 사람이 적으면 재미 없는걸!

[name="极境"]  真的？那太好了，我一定多拉点人一起去，这么难得的机会那可不能错过。
[name="エリジウム"]  いいの？　じゃあ、なるべくたくさん連れてくるよ。せっかくの機会だからね。
[name="Elysium"]  Really? That’s wonderful. I’ll bring as many as I can. This is an opportunity not to be missed.
[name="엘리시움"]  정말? 잘 됐네, 꼭 잔뜩 대려갈께. 이렇게 흔치 않은 기회를 놓칠 수야 없지.

[name="极境"]  是越热闹越好对吧？这个我们擅长！
[name="エリジウム"]  できるだけ賑やかな方がいいよね？　僕たち、そういうの得意だから任せてよ！
[name="Elysium"]  The more the merrier, right? That’s what we’re good at!
[name="엘리시움"]  시끌벅적 할 수록 더 좋은 거지? 그런건 또 우리 전문이거든!

[name="清流"]  啊哈哈......当然欢迎，不过，也不要闹得太过火哦，之后会被凯尔希医生骂的。
[name="セイリュウ"]  あははっ……もちろん大歓迎。でも、騒ぎすぎはダメだよ。後でケルシー先生に怒られちゃうからね。
[name="Purestream"]  Ahaha... of course, we welcome all of you, but please don’t go overboard, either. Dr. Kal'tsit would probably yell at us.
[name="퓨어스트림"]  아하하…… 당연하지. 그래도… 지나치게 시끌벅적한 건 안 좋을 거야… 나중에 켈시 선생님한테 한소리들을 수도 있거든.

[name="极境"]  放心放心，我有分寸的！
[name="エリジウム"]  安心して、そこはわきまえてるから！
[name="Elysium"]  Don’t worry. I know our limits.
[name="엘리시움"]  괜찮아, 괜찮아. 이래봬도 나, '적당히'라는 걸 아는 남자라고!

[name="？？？"]  不想被骂，奉劝你还是别邀请这家伙比较好。
[name="？？？"]  怒られたくないなら、そいつは呼ばないほうがいい。
[name="??? "]  If you’re afraid of getting yelled at, you’d better not invite this guy.
[name="? ? ?"]  욕먹기 싫으면, 이 녀석은 초대하지 않는 게 좋을 거다.

[name="？？？"]  如果惹祸也是天赋，那他的确天赋异禀。
[name="？？？"]  トラブルメーカーも一つの才能なら、そいつはその天才だ。
[name="??? "]  If courting disaster a talent, then he is the most talented person I’ve ever seen.
[name="? ? ?"]  만약 사고를 치는 것도 재능으로 친다면, 녀석에겐 남다른 재능이 있거든.

[name="清流"]  啊，棘刺先生，早上好！
[name="セイリュウ"]  あ、ソーンズさん、おはよう！
[name="Purestream"]  Oh, Mr. Thorns, good morning!
[name="퓨어스트림"]  아, 쏜즈 씨, 좋은 아침!

[name="棘刺"]  早。
[name="ソーンズ"]  ああ。
[name="Thorns"]  Morning.
[name="쏜즈"]  그래.

[name="极境"]  喂，老兄，这么说就不对了，论惹祸明明你也没比我好多少吧？
[name="エリジウム"]  おいおい、ちょっと待ってよ。トラブルを起こすことにかけちゃ、君のほうがずっと上手いと思うけど？
[name="Elysium"]  Oh, come now. We both know you aren’t much better than me when it comes to courting disaster.
[name="엘리시움"]  어이 어이 그건 아니지… 사고 치는 건 너나 나나 다를 거 없잖아?

[name="极境"]  上次把接弦区的船板弄坏的人可是你欸，为什么事后可露希尔小姐反而拉着我教训了那么久啊！
[name="エリジウム"]  こないだ接舷エリアの船板を破壊したのだってソーンズでしょ。なんで僕がクロージャさんから延々と説教されなきゃいけないの！？
[name="Elysium"]  Do remember who it was that wrecked the steel plates in the connect area last time! Why did I have to bear the brunt of Miss Closure’s tirade?
