4:12 P.M.  天气/晴
p.m. 4:12 天気/晴天
4:12 P.M. \ Clear
4:12 p.m. 날씨/맑음

卡西米尔中部，四城联合，“大骑士领”卡瓦莱利亚基
カジミエーシュ中部　四都連合「大騎士領」カヴァレリエルキ
Central Kazimierz, Kawalerielki Alliance, 'The Grand Knight Territory' Kawalerielki
카시미어 중부, 4개 도시 연합, '그랜드 나이트 영지' 카봐렐리에키

某处不堪入目的车祸现场
とある惨烈な交通事故現場――
At the scene of a certain unsightly car accident
두 눈 뜨고 볼 수 없는 처참한 교통사고 현장

[name="老骑士"]  啊......我们还赶得上晚上的酒会不？
[name="老騎士"]  はぁ……今夜のパーティーには間に合うんじゃろうかのう？
[name="Old Knight"]  Oh... We still gonna make it to tonight's party?
[name="나이 든 기사"]  아오 진짜…… 저녁 파티…… 제시간엔 못 가게 생겼네.

[name="老工匠"]  赶不上也是你的错，老弗。
[name="老職人"]  もし間に合わなくてもあんたのせいだろ、フォー。
[name="Old Craftsman"]  It'll be your fault if we don't, V.
[name="나이 든 장인"]  늦으면 다 자네 때문인 줄 알어, 포.

[name="老骑士"]  我的错？哈！我的错？
[name="老騎士"]  わしのせい？　なんじゃと！？　わしのせいじゃと？
[name="Old Knight"]  My fault? Hah! My damned fault?
[name="나이 든 기사"]  나 때문? 하! 나 때문이라고?

[name="老骑士"]  你非要带着你的破箱子，足足三十公斤！你是嫌自己不够胖吗？
[name="老騎士"]  お主がその30キロ以上ありそうなトランクケースを積み込むからこうなるんじゃ！　お主のぶくぶく太った図体を乗せるだけでも精一杯なんじゃぞ！
[name="Old Knight"]  It's you and that goddamned box of yours, all thirty kilos of it! You think you aren't heavy enough, huh?
[name="나이 든 기사"]  이 낡은 상자를 꼭 가져가야 한다며! 아니 뭔 30kg이나 되는 걸 아주 그냥 굳~이 챙겨가겠다고 무슨! 무거운 건 애초에 자네 몸뚱어리 하나만으로도 족해!

[name="老工匠"]  这是帮马丁修东西的工具！好，所以这就是你撞在树上的借口？
[name="老職人"]  これはマーティンのところで修理するための工具だよ。はぁ……つまりそれがあんたが車を木にぶつけた言い訳ってことかね？
[name="Old Craftsman"]  These are tools for fixing Marcin's stuff! That's your excuse for crashing into a tree?
[name="나이 든 장인"]  이건 마틴이 물건 수리할 때 쓸 공구라고! 적반하장도 유분수지, 자기가 나무에 부딪혀놓곤 괜히 남 탓을 하고 난리야 난리가.

[name="老骑士"]  不要质疑我的方向感！
[name="老騎士"]  わしの運転の腕前を疑っておるのか！
[name="Old Knight"]  Do not question my sense of direction!
[name="나이 든 기사"]  내 방향감각은 문제없거든!

[name="老工匠"]  我说的是你老眼昏花......
[name="老職人"]  俺が疑ってるのはあんたの老眼だよ……
[name="Old Craftsman"]  I'm saying that your vision ain't as good as it used to be...
[name="나이 든 장인"]  누가 방향감각이 뭐래? 자네가 노안이 와서 이런 거잖아……

[name="老骑士"]  你忘了上星期我是怎么夺得酒吧飞镖冠军的吗？你瞎了我都不会眼花的。
[name="老騎士"]  お主、先週わしがバーのダーツ大会で優勝したのを忘れたのか？　老眼とは程遠い眼力あってこそのものじゃろうが。自分が老いてきたからといって、わしを老いぼれ扱いするな。
[name="Old Knight"]  Did you forget how I won that darts competition at the bar last week? My eyesight's great as ever! You must be blind.
[name="나이 든 기사"]  지난주에 내가 술집에서 다트 챔피언 먹은 거 잊었나? 내 눈은 자네 눈이 머는 날이 오는 날이 와도 멀쩡할 걸세.

[name="老工匠"]  我瞎不了，所以我清清楚楚提醒过你，“前面那有棵树”。
[name="老職人"]  俺の目はあんたよりずっとハッキリ見えてるんだよ。だからあんたに注意してやったろ？　「前に木があるぞ」って。
[name="Old Craftsman"]  I'm not blind, which is why I clearly told you earlier 'watch out for that tree.'
[name="나이 든 장인"]  내 눈이 멀 일은 없어. 그래서 내가 분명 알려줬었잖아. 앞에 나무가 있다고!

[name="老骑士"]  我怎么不记得？
[name="老騎士"]  わしは聞いとらんが？
[name="Old Knight"]  Why don't I remember that?
[name="나이 든 기사"]  난 왜 기억이 안 나지?

[name="老工匠"]  因为音响的声音太大了！
[name="老職人"]  音楽がうるさすぎるから聞こえねぇんだろうが！
[name="Old Craftsman"]  Because the radio was too loud!
