2:42 P.M.  天气/多云
p.m. 2:42 天気/曇天
2:42 PM \ Cloudy
2:42 P.M. 날씨/흐림

雷姆必拓边陲，天灾预警区域
レム・ビリトン辺境 天災警戒区域
Rim Billiton Frontier, Catastrophe Warning Zone
림 빌리턴 변경, 재앙 경보 구역

[name="莱恩哈特"]  安全带系好没？
[name="レオンハルト"]  シートベルトはちゃんと締めた？
[name="Leonhardt"]  Got your seatbelts fastened?
[name="레온하르트"]  안전벨트는 잘 맸지?

[name="断崖"]  你慢......
[name="エアースカーペ"]  ちょっと待……
[name="Ayerscarpe"]  Slow down...
[name="에이어스카르페"]  잠깐 기달……

[name="莱恩哈特"]  你这不是系好了嘛，走你！
[name="レオンハルト"]  ちゃんと締めたね、行くよ！
[name="Leonhardt"]  Looks like we're all good. Let's hit the road!
[name="레온하르트"]  잘 맸네, 뭐. 간다!

[name="断崖"]  你不考虑后座上的仪器也至少考虑一下后座上的乘客！
[name="エアースカーペ"]  おい！　もっとゆっくり走れって！　計器のことを忘れても、せめて後部座席にいる子のことを考えろよ！
[name="Ayerscarpe"]  If you aren't going to worry about the equipment in the back, at least give those of us who are sitting back here some thought!
[name="에이어스카르페"]  뒷좌석의 측정기는 둘째치고, 적어도 뒷좌석의 승객이라도 좀 생각해라!

[name="莱恩哈特"]  喔！引擎声不错，不愧是紧急任务的配给，这个功率真是没说的！
[name="レオンハルト"]  わーお！　このエンジン音最高だね！　さすがは緊急任務用に支給されたマシンだよ……パワーに申し分なし！
[name="Leonhardt"]  Yeah, this engine's sound is banging! I love these emergency missions. They always let us have the best stuff!
[name="레온하르트"]  와오~! 엔진 소리 죽이는데. 역시 긴급 임무용으로 배급된 거라…… 파워가 빵빵해!

[name="断崖"]  要是给你折腾坏了怕就一年全白干了，还有你注意点能耗。
[name="エアースカーペ"]  もし壊しでもしたら、一年分の給料がパーだ、気をつけろよ。エネルギー消費にもな。動かなければどんなマシンもポンコツだ。
[name="Ayerscarpe"]  Right, and if you break it, it'll cost you an entire year's salary to pay it back. Also, watch how much power you're using.
[name="에이어스카르페"]  너 때문에 망가지기라도 하면 일 년 치 급여가 날라가게 된다. 그리고 에너지 소비도 좀 신경 쓰라고.

[name="莱恩哈特"]  这次预估最短可能20个小时后飓风就会成形，要是没能赶在天灾抵达之前撤离，咱们连人带车全得让砂土跟活性源石尘给活埋了。
[name="レオンハルト"]  何言ってんの。今回は、最短二十時間でハリケーンが発生するって予測が出てる。もし天災が到達する前に撤退できなきゃ、俺たちは車もろとも土砂と活性源石の生き埋めになっちゃうんだよ？
[name="Leonhardt"]  The hurricane's estimated to form in as soon as twenty hours from now. If we don't hurry up and get out of the place before the Catastrophe's here, we're gonna get buried in a whole bed of sand and Active Originium.
[name="레온하르트"]  뭔 소리야! 빠르면 20시간 뒤에는 폭풍이 형성될 거야. 재앙이 도달하기 전까지 대피하지 못하면, 우리는 차째로 모래와 활성 오리지늄 먼지에 생매장돼버릴걸.

[name="莱恩哈特"]  而且咱不是有带储罐嘛，这里还有两名术师呢，不用担心能耗问题。对吧，后座的小术师？
[name="レオンハルト"]  それに貯蔵タンクがあるでしょ、しかも術師が二人もいるんだし、エネルギーの心配なんてする必要はない。そうは思わないかい？　後部座席の術師くん！
[name="Leonhardt"]  Besides, we've got two extra tanks, and we have two Casters here. No need to worry about energy consumption. Am I right, little Caster sitting in the back?
