[name="热情的歌迷"]   结束了......
[name="熱狂的ファン"]   終わった……
[name="Passionate Fan"]   It's over...
[name="열정적인 팬"]   찢었다…… 무대를 완전히 찢어놨어……

[name="歌迷？"]   呼，我有点头晕。
[name="ファン？"]   ふうっ。クラクラするぜ。
[name="Fan?"]   Phew. I'm kinda dizzy.
[name="팬?"]   후우우우…… 숨도 못 쉬고 지켜보느라 현기증 나……

[name="激动的歌迷"]  结束了！大帝先生赢了！
[name="感激したファン"]  やったぁ！エンペラーさんの勝ちだぁ！
[name="Excited Fan"]  It's over! Mr. Emperor won!
[name="흥분한 팬"]  끝났다! 와 역시 엠퍼러 님! 무대를 완전히 뒤집어 놓으셨다! 오오!

[name="大帝"]   毫无疑问的结果！
[name="エンペラー"]   当然の結果だ！
[name="Emperor"]   I pronounce this case closed!
[name="엠퍼러"]   아이 톨듀, 불구경시켜준다 했지? 그럼 불 보듯 당연한 결과.

[name="大帝"]   是什么让你们产生能赢我的错觉？集体老眼昏花还是大脑错乱？
[name="エンペラー"]   どうしてお前らは勝てると錯覚しちまったんだ？みんな年で目がかすんだか？それとも頭がイカれちまったのか？
[name="Emperor"]   What gave you fools the idea you could beat me? Y'all collectively saw something, or just went cuckoo?
[name="엠퍼러"]   투~ 이~ 지~ 왜 처 발릴 걸 알면서 뎀비고 *랄이지 불에 뛰어드는 나방같이? 치매 왔음 나한테 엥기지 말고 가서 약을 먹어 요즘 공동구매 싸다 하니.

[name="大帝"]   不过无所谓，就节目效果来说确实还不错，比之前假模假样的点评会像样多了。
[name="エンペラー"]   まぁいい、番組としては中々悪くなかったな。前のうわべだけのコンテストと比べて随分それらしくなった。
[name="Emperor"]   But it don't matter. Program turned out pretty good in the end. More presentable than that fake-ass commentary before.
[name="엠퍼러"]   벗 노 프라블럼, 반응 좋았음 됐어. 전의 그 가식적인 평가보다는 이런 게 차라리 낫지 아무렴.

[name="大帝"]   还有，刚刚那些挑战者里面是不是还混了什么怪东西。说真的，你们选人的水平真是一坨屎。
[name="エンペラー"]   それと、さっきの挑戦者の中に怪しい奴が混ざってなかったか。まったく、お前らの人選のレベルはクソだな。
[name="Emperor"]   Another thing, some of those challengers out there were mad sus. Y'all got some shitty standards, for real.
[name="엠퍼러"]   그리고, 방금 전 도전자 중에 이상한 녀석이 섞여 있지 않았나? 솔직하게 말하면 당신들, 사람 보는 눈이 영 꽝이야.

[name="主持人"]   这也是惊喜的一环，看来效果很好。
[name="司会"]   それもサプライズの一環ですよ。いい演出になったでしょう。
[name="MC"]   Just another part of the nice surprise. I think the fine results speak for themselves.
[name="사회자"]   이것도 서프라이즈의 일환이었는데, 나름 효과가 좋았나 보군요.

[name="老牌音乐人"]   我也觉得还不错，这不是挺有意思的嘛。
[name="大御所ミュージシャン"]   わしも良かったと思うぞ。面白いじゃあないか。
[name="Old School Musician"]   Not half bad to me either. Quite entertaining, isn't it?
[name="한물간 뮤지션"]   나도 좋다고 생각하는구먼, 꽤 재미있지 않나?

[name="大帝"]   喂，别的不提，为什么这个臭老鼠能在那里坐着？
[name="エンペラー"]   おい。他の奴はおいといて、なんで老いぼれ鼠がそこに座ってるんだ？
[name="Emperor"]   Hey, drop everything for a moment. Why's this crusty rat allowed to sit there?
[name="엠퍼러"]   다른 건 됐다 치자고, 근데 왜 저 망할 쥐가 저기 앉아 있는 거냐고.

[name="“沙炫风”"]   站得太久，腿脚撑不住咯。
[name="ハスキー・サイクロン"]   長いこと立っておったから、足腰が立たなくなってな。
[name="'Sandstorm Rudes'"]   I've been standing for too long. My legs can't handle it.
[name="'샌드볼텍스'"]   너무 오래 서 있었더니 다리가 아파서 말이야.

[name="大帝"]   呸，那你怎么不直接回家养老？
[name="エンペラー"]   けっ。じゃあどうしてすぐに老人ホームに帰らねぇんだよ。
[name="Emperor"]   Pah! Why don't you roll straight back to your nursing home, then?
[name="엠퍼러"]   카악 퉤, 그럼 집에 가서 잠이나 자라고 좀, 괜히 이런 데서 뻗대지 말고 좀.

[name="主持人"]   总之，恭喜大帝先生在这次挑战赛里获得优胜！
[name="司会"]   えーとにかく、バトルの優勝者はエンペラーさんです。おめでとうございます！
[name="MC"]   Anyway, congratulations to Mr. Emperor for claiming the win in this challenger round-robin!
[name="사회자"]   어쨌든 엠퍼러 씨, 이번 도전에서 우승하신 것을 축하드립니다!

[name="主持人"]   我们为获胜者准备了独一无二的纪念雕像，不论是在观赏性还是收藏方面都具有极高的价值！
[name="司会"]   勝者には唯一無二の記念像を準備しています。鑑賞用としてもコレクション用としても非常に価値あるものです！
[name="MC"]   We've prepared an absolutely imitationless sculpture in commemoration of our victor! Whether appreciability or collectability, it's worth its weight in gold!
[name="사회자"]   승자를 위해 하나뿐인 기념 조각상을 준비했습니다. 관상용으로도 소장용으로도 상당히 가치가 있죠!

[name="老牌音乐人"]   呃，说实话，你们那奖品送我都不想要。
[name="大御所ミュージシャン"]   うーむ、正直言って、タダでも要らんわい。
[name="Old School Musician"]   Er, speaking frankly, I'd hardly want that prize even if you gifted it to me.
[name="한물간 뮤지션"]   음, 솔직히 저 상품은 준다 해도 받기 싫구먼.

[name="“沙炫风”"]   确实，摆在家里可能会做噩梦。
[name="ハスキー・サイクロン"]   確かにな。家に飾ったら悪夢にうなされそうじゃ。
[name="'Sandstorm Rudes'"]   Indeed. You might give yourself nightmares, displaying it in your home.
[name="'샌드볼텍스'"]   확실히 별로구먼, 집에 두면 악몽이나 꾸겠지.

[name="大帝"]   那是你们不懂欣赏！
[name="エンペラー"]   そりゃあお前らに見る目がねぇからだろ！
[name="Emperor"]   Y'all just don't know how to admire it!
[name="엠퍼러"]   보는 눈이 없으면 그냥 닥치고 찌그러져 있어!

[name="大帝"]   算了，别给我，给那边的几个小朋友吧。他们节拍打得不错，和大帝同台这种机会可不常有，是该好好纪念一下。
[name="エンペラー"]   まぁいい。俺はいいから、あのチビどもにやってくれ。あいつらのビートは悪くなかった。このエンペラーと一緒に舞台に上がるチャンスなんてそうそうないんだ、記念を残さないとな。
[name="Emperor"]   Forget it. Don't give it to me, give it to those little friends of mine over there. They hit a pretty solid beat, and it ain't every day you get to share a stage with the Emperor. Need to really remember it.
[name="엠퍼러"]   나 말고 저 친구들한테 줘 난 됐으니. 리듬도 나름 잘 타줬어 라잌 루키. 그리고 기념해야지, 엠퍼러와 같은 무대에 설 기회는 흔치 않으니.

[name="激动的歌迷"]  可以吗？！
[name="感激したファン"]  いいんですか！？
[name="Excited Fan"]  Can I have it, really?!
[name="흥분한 팬"]  그래도 되나요?!

[name="大帝"]   别激动，我说了可以当然就可以。
[name="エンペラー"]   騒ぐなよ。俺がいいって言ってるんだからいいに決まってるだろ。
[name="Emperor"]   Cool it, cool it. If I say you can, then damn right you can.
[name="엠퍼러"]   릴랙스 릴랙스. 내가 예스라 하면 당연히 문제없음.

[name="大帝"]   这事我说了算。怎么，难道还有人不知道吗？我会好心再提醒那些还没搞清楚状况的人最后一次，最后一次！
[name="エンペラー"]   この件は俺の一存で決める。なんだ、まさかまだ分かってない奴がいるのか？仕方ねえ。最後にまだ情況が飲み込めてない奴らのために教えてやるか。これが最後だからな！
[name="Emperor"]   What I say here goes. What, don't tell me there's still people who don't know? I'mma remind all you fools who don't get it, out of the kindness of my heart, one last time, one final time!
[name="엠퍼러"]   돈 워리 책임은 다 내가 질 테니. 설마 아직 모르는 사람이 있니? 그럼 아직 주제 파악 못 하는 놈들한테 마지막으로 말해주지. 포 원 라스트 타임!

[name="大帝"]   仔细听。然后喊我的名字，崇拜我。
[name="エンペラー"]   よく聞けよ。それから俺の名前を叫んで、俺を崇拝しろ。
[name="Emperor"]   Listen careful. And then scream my name, worship me.
[name="엠퍼러"]   귀 씻고 리슨! 숭배해 나를!! 외쳐 내 이름!!!

[name="大帝"]   我，就是站在这里的唯一真理。
[name="エンペラー"]   俺こそが、この場に立つ唯一の真理だ。
[name="Emperor"]   I, am the one and only truth standing here.
[name="엠퍼러"]   난, 이곳에 서 있는 유일한 진리의 말씀.

[name="大帝"]   这个舞台上——我说了算！
[name="エンペラー"]   この舞台上では——俺が絶対だ！
[name="Emperor"]   On this stage—what I say goes!
[name="엠퍼러"]   암 더 스테이지, 암 디 온리 근본! 테라에선 내가 힙합 그 자체!!!

