现代
現代
Modern Day
현대

3:32 P.M.  天气/晴
p.m. 3:32 天気/晴天
3:32 P.M. \ Clear
3:32 P.M. 날씨/맑음

萨尔贡中部，伊巴特地区，无名城镇
サルゴン中部 イバト地区 名もなき町
Central Sargon, Ibut Region, Nameless Town
사르곤 중부, 이버트 지역, 이름 모를 마을

[name="暴雨"]  ......你想跟我们走......？
[name="ヘビーレイン"]  ……私たちと共に行きたい……？
[name="Heavyrain"]  You want to come with...?
[name="헤비레인"]  ……우리와 같이 가려는 건가요?

[name="暴雨"]  你应该明白，对我们而言，你只是个可疑分子。
[name="ヘビーレイン"]  ご存知だと思いますが、私たちからすれば、あなたはただの疑わしい人物でしかありません。
[name="Heavyrain"]  You should know that you are just another suspicious character to us.
[name="헤비레인"]  우리에게 당신은 그저 수상한 인물에 불과하다는 건 잘 알고 있겠죠.

[name="“沙卒”"]  检查过你的队伍了吗？
[name="「サンドソルジャー」"]  私には敵意はありません。外の皆さんのご様子はいかがでした？
[name="'Sand Soldier'"]  Have you inspected your teammates yet?
[name="'샌드솔저'"]  당신의 대원들은 다 확인해 보셨습니까?

[name="慑砂"]  暴雨？
[name="シェーシャ"]  ヘビーレイン。
[name="Sesa"]  Heavyrain?
[name="세사"]  헤비레인, 어땠어?

[name="暴雨"]  ......一切正常。
[name="ヘビーレイン"]  ……異常ありませんでした。
[name="Heavyrain"]  Everything's normal there...
[name="헤비레인"]  ……모두 정상이었어요.

[name="暴雨"]  但我不信任你。
[name="ヘビーレイン"]  でも私はあなたを信じていません。
[name="Heavyrain"]  But I don't trust you.
[name="헤비레인"]  그래도 당신을 믿지 않아요.

[name="“沙卒”"]  嗯嗯，说得好，我当然不值得信任。
[name="「サンドソルジャー」"]  ええ、ええ、おっしゃる通りです。当然、私は信頼に足る人物ではありません。
[name="'Sand Soldier'"]  Yes, very well said. Of course I am not to be trusted.
[name="'샌드솔저'"]  음, 그래요. 전 전혀 믿을 만한 존재가 아니죠.

[name="暴雨"]  你的目的是什么？
[name="ヘビーレイン"]  あなたの目的は何なんですか？
[name="Heavyrain"]  What exactly is your objective?
[name="헤비레인"]  목적이 뭐죠?

[name="“沙卒”"]  我的目的是......找到我的目的。
[name="「サンドソルジャー」"]  私の目的は……そうですね。自分の目的を見つけることです。
[name="'Sand Soldier'"]  My objective... is to find out what my objective actually is.
[name="'샌드솔저'"]  제 목적은…… 제 목적을 찾는 겁니다.

[name="暴雨"]  你在说什么——
[name="ヘビーレイン"]  何を訳のわからないことを――
[name="Heavyrain"]  What the actual—
[name="헤비레인"]  그게 무슨……

[name="“沙卒”"]  你们知道吗？伊巴特地区的王酋——曾惨死在火灾之中。
[name="「サンドソルジャー」"]  あなた方はご存じですか？　イバト地区の酋長が――無残にも火災で亡くなったことを。
[name="'Sand Soldier'"]  Did you know that the last Lord Ameer of Ibut died in a fire?
[name="'샌드솔저'"]  그거 아십니까? 이버트 지역의 아미르가 불구덩이에서 죽었다는 것을.

[name="慑砂"]  ......那是两三年前的事了。现任王酋是他的儿子，在伊巴特地区引发了不小的骚动......
[name="シェーシャ"]  ……そりゃ二、三年前の話だろ？　今の酋長はその息子だ。ヤツはイバト地区でいろんな騒動を起こしてるって聞いたぜ。
[name="Sesa"]  That was a few years ago... The current Lord Ameer is his son, and that whole thing caused quite a ruckus in Ibut.
[name="세사"]  ……2~3년 전 일이잖아. 현임 아미르가 그분 아들이고. 그 일로 이버트 지역에서 큰 소란이 일어났다 들었는데……

[name="慑砂"]  多亏了那场火，我还不得不重新找个老东家，多花几个月时间适应新工作，烦人得很。
[name="シェーシャ"]  あの火事のせいで、俺は新しい雇い主を探す羽目になっちまった。新しい仕事に慣れるのに何ヶ月もかかって、マジで面倒だったぜ。
[name="Sesa"]  I had to find myself a new fairy godmother right away thanks to that fire. Took me months to get used to the work there. Huge pain in the butt.
[name="세사"]  그 화재 덕분에 나는 고용주를 다시 찾아야 했지. 새로운 일에 적응하는 데도 시간이 꽤 걸렸고 말이야. 귀찮아 죽는 줄 알았다고……

[name="“沙卒”"]  是啊，是啊，可那是我的最后一个猎物。
[name="「サンドソルジャー」"]  それはそれは。しかしあれは私の最後の獲物でした。
[name="'Sand Soldier'"]  Right, exactly. He was my very last prey.
[name="'샌드솔저'"]  네, 맞습니다. 제 마지막 사냥감이었지요.

[name="“沙卒”"]  织好了网，铺好了陷阱，却没有猎物，我现在，很无所事事啊。
[name="「サンドソルジャー」"]  これ以上網を張り、罠を仕掛けたところで、肝心の獲物がいない。今の私は、もはや無聊を慰める手段がないのですよ。
[name="'Sand Soldier'"]  I did all the preparations and laid out my trap, but there's no more prey to hunt. I have nothing to do except to lounge around.
[name="'샌드솔저'"]  그물을 짜고, 함정도 팠는데 사냥감이 없으니 할 일이 없어졌지 뭡니까.

[name="慑砂"]  ——
[name="シェーシャ"]  ――
[name="Sesa"]  —
[name="세사"]  ……

[name="暴雨"]  ——你、你杀死了一位王酋......？
[name="ヘビーレイン"]  ――あ、あなたが酋長を殺したんですか……？
[name="Heavyrain"]  —Y-You killed a Lord Ameer?
[name="헤비레인"]  ……아미르를 죽인 게, 당신인가요?

[name="慑砂"]  萨尔贡的军队会找上你——
[name="シェーシャ"]  サルゴンの軍隊が黙っちゃいないぞ――
[name="Sesa"]  The Sargon army will find you—
[name="세사"]  사르곤의 군부가 널 찾아낼 거다……

[name="慑砂"]  ——不，等等，你为什么要告诉我们！？
[name="シェーシャ"]  ――いや、待て、どうしてそれを俺たちに言ったんだ？
[name="Sesa"]  —Wait, hold on, what do you even want, telling us about this?
[name="세사"]  ……잠깐, 그걸 왜 우리한테 말하는 거지?

[name="“沙卒”"]  啊，不愧是黑市里的常客。是啊，除了你们和我，没有人知道王酋的死和我有关。
[name="「サンドソルジャー」"]  おや、その点に気づかれるとは、さすがは闇市の常連ですね。そうです、今のところあなた方の他に、私が酋長の死に関係していることを知る者はいません。
[name="'Sand Soldier'"]  Ah, I shouldn't have expected any less from one who frequents the black markets. That's right, there is no one who knows I have to do with his death aside from you and me.
[name="'샌드솔저'"]  아, 역시 암시장의 단골답게 눈치가 빠르군요. 맞습니다. 아미르의 죽음이 저와 관련됐다는 걸 아는 건 저와 당신들뿐입니다.

[name="“沙卒”"]  至于萨尔贡的军队嘛......今非昔比，统治伊巴特地区的帕夏，可完全瞧不上这片荒芜的土地。
[name="「サンドソルジャー」"]  サルゴンの出方については……昔と違って、イバト地区を統治しているパーディシャーは、この荒れ果てた土地に何ら価値を見出しておられないのですよ。
[name="'Sand Soldier'"]  As for the Sargon army... We live in different times now. The ruling Padishahs simply care not about what is happening here in this barren wasteland.
[name="'샌드솔저'"]  사르곤의 군부는…… 예전과 다르죠. 지금 이버트 지역을 통치하는 파디샤는 황무지가 된 이 땅에 전혀 관심이 없어요.

[name="“沙卒”"]  我想，帕夏应该不会在乎是父亲还是儿子当领主吧，其实我也不是很在乎。
[name="「サンドソルジャー」"]  思うに、領主が父親だろうと息子だろうと、パーディシャーが気にすることはないでしょう。私も実はそこまで気にしていません。
[name="'Sand Soldier'"]  My guess is that it matters not to them whether it's the father or the son that's in charge. Actually, to tell the truth, it hardly matters to me either.
[name="'샌드솔저'"]  아버지와 아들 중, 누가 아미르가 되든 파디샤는 크게 신경 쓰지 않을 겁니다. 사실 저도 그렇거든요.

[name="“沙卒”"]  我只是索求他的死亡，很简单的要求。
[name="「サンドソルジャー」"]  私はただ単純に、彼の死を求めたのです。浮いた権力の行く末については些末なことです。
[name="'Sand Soldier'"]  I sought his death and nothing else. It was a rather simple request.
[name="'샌드솔저'"]  전 그저 그의 죽음을 원할 뿐입니다, 아주 간단하죠.

[name="暴雨"]  你的目的到底是什么？
[name="ヘビーレイン"]  あなたの目的は一体何なんですか？
[name="Heavyrain"]  What are you after anyway?
[name="헤비레인"]  대체 목적이 뭐죠?

[name="“沙卒”"]  复仇。
[name="「サンドソルジャー」"]  復讐。……ああ、二文字で終わってしまいました。口にするとあっけないものですね。
[name="'Sand Soldier'"]  Revenge.
[name="'샌드솔저'"]  복수입니다……

[name="“沙卒”"]  这个答案太无趣了，所以我从来不会回答。也许这片大地上有一半的人类都有自己复仇的目标，对敌人，对城市，对这片大地，怎么都好。
[name="「サンドソルジャー」"]  あまりに平凡な答えでしょう？　有形無形、大きい小さい、対象はそれぞれですが、大地に生きる人々の大半に復讐相手がいますからね。……だから私はこれまで一度も、答えてこなかったのです。
[name="'Sand Soldier'"]  I'm afraid it's a rather boring answer, so I don't like to share it. If I have to venture a guess, more than half of the men in this world would like to take revenge against something, be it their enemies, a city, or even the world itself.
[name="'샌드솔저'"]  너무 뻔한 답이라 종래로 대답한 적이 없었습니다만, 여기 사는 사람 중 아마 절반 이상은 복수를 꿈꾸고 있을 겁니다. 적, 도시 나아가 대륙 전체…… 그 상대가 뭐가 됐든.

[name="“沙卒”"]  二十多年过去了，我一直在做这一件事。
[name="「サンドソルジャー」"]  二十数年が過ぎました。その間私の全てはたった一つのことのためにあった。
[name="'Sand Soldier'"]  For the past twenty years, that is all I have been doing.
[name="'샌드솔저'"]  20여 년이라는 시간 동안 전 줄곧 이 일에만 몰두해 왔습니다.

[name="“沙卒”"]  权力、地位、财富，这些都是附属品，如果有必要，丢掉就丢掉吧。
