二十二年前
二十二年前
22 Years Ago
22년 전

3:09 P.M.  天气/晴
p.m. 3:09 天気/晴天
3:09 P.M. \ Clear
3:09 P.M. 날씨/맑음

萨尔贡中部，伊巴特地区，荒漠边缘
サルゴン中部 イバト地区 砂漠辺境
Central Sargon, Ibut Region, Desert Outskirts
사르곤 중부, 이버트 지역, 외진 황무지

[name="艾利奥特"]  我们......我们还要走多远？
[name="エリオット"]  あと……あとどれくらい歩くんですか？
[name="Elliot"]  Are... Are we there yet? How far away is it?
[name="엘리엇"]  얼마나…… 얼마나 더 가야 하죠?

[name="凯尔希"]  你累了的话，我们可以停下。
[name="ケルシー"]  疲れたなら、少し休憩してもいい。
[name="Kal'tsit"]  If you're tired, we can stop here.
[name="켈시"]  힘들면 잠시 쉬어도 돼.

[name="艾利奥特"]  ......
[name="エリオット"]  ……
[name="Elliot"]  ......
[name="엘리엇"]  ……

[name="凯尔希"]  用不着逞强。
[name="ケルシー"]  強がる必要はない。
[name="Kal'tsit"]  Drop the tough act.
[name="켈시"]  무리할 필요 없어.

[name="凯尔希"]  从上一次遇袭，载具被毁，到现在已经过了七个小时十四分钟，以你的体格和年纪，能坚持到现在已经难能可贵。
[name="ケルシー"]  前回の襲撃で乗り物を破壊されてから、すでに七時間十四分が経過している。君の体格と年齢を考えると、ここまで歩き続けられただけでも称賛に値する。
[name="Kal'tsit"]  It has been 7 hours and 14 minutes since our transport was wrecked in the ambush. Considering your physique and age, you've held up pretty well.
[name="켈시"]  지난번 습격으로 차량이 훼손된 지 현재까지 7시간 14분이 지났어. 네 체격과 나이라면 지금까지 버틴 것만으로도 대단한 거야.

[name="艾利奥特"]  ......不需要。
[name="エリオット"]  ……休む必要はありません。
[name="Elliot"]  No need...
[name="엘리엇"]  ……됐어요.

[name="艾利奥特"]  我们......继续走，赶紧离开这里......
[name="エリオット"]  引き続き……先へ進みましょう。早くここから離れないと……
[name="Elliot"]  Let's... keep going. We need to get out of here as soon as we can...
[name="엘리엇"]  계속…… 계속 가요. 여길 빨리 벗어나고 싶어요……

[name="艾利奥特"]  这里是哪里......？
[name="エリオット"]  ここはどこですか……？
[name="Elliot"]  Where are we...?
[name="엘리엇"]  여긴 어디죠?

[name="凯尔希"]  离目的地最近的城镇。实际上我们已经进入了这片聚落区域，由多座依赖拖拉设备在荒漠上游移的集市城镇组成。
[name="ケルシー"]  目的地から一番近い町だ。この集落は、牽引装置で砂漠を移動する複数のバザールタウンで構成されている。
[name="Kal'tsit"]  The nearest town to where we are heading. More accurately, it's a settlement formed of several towns that had been drifting in the desert with their hauling equipment.
[name="켈시"]  목적지에서 가장 가까운 마을이야. 사실 우린 이미 마을 구역에 들어온 셈이야. 견인 장비를 이용해 황무지에서 떠도는 몇몇 시장 마을들로 이루어진 곳이지.

[name="凯尔希"]  同时这里也是萨尔贡无人区覆盖率最高的地区之一，为偷渡客，赏金猎人和信使们提供了一条通向外界的道路。
[name="ケルシー"]  同時にここはサルゴンにおける無人区域として最大面積のエリアの一つでもある。密航者やバウンティハンター、トランスポーターたちに外へと通ずる道を提供している。
[name="Kal'tsit"]  At the same time, this place covers a large swath of Sargon's no man's land, more than anywhere else. This is the way out for illegal immigrants, bounty hunters, and Messengers.
[name="켈시"]  게다가 여긴 사르곤의 무인 구역에서도 면적이 가장 큰 지역이야. 밀입국자, 바운티 헌터와 전달자에게 외부로 통하는 길을 제공하지.

[name="艾利奥特"]  ......为什么我们不去米诺斯？
[name="エリオット"]  ……どうして私たちはミノスに行かないんですか？
[name="Elliot"]  Why aren't we going to Minos?
[name="엘리엇"]  ……왜 미노스로 가지 않는 거죠?

[name="艾利奥特"]  我不确定......我不确定比起那些雇佣兵，你到底可信到什么地步......你们有什么区别？
[name="エリオット"]  私には……私にはあなたがどの程度信用できるかわかりません……あなたは、あの傭兵たちと一体どこが違うというんです？
[name="Elliot"]  I'm... I'm still not sure I can trust you any more than those mercenaries... What makes you different?
[name="엘리엇"]  저는…… 저는 그 용병들과 비교했을 때 당신을 어디까지 믿어도 되는지 잘 모르겠어요…… 대체 뭐가 다른 거죠?

[name="凯尔希"]  区别在于你还活着。
[name="ケルシー"]  君がまだ生きているということだ。
[name="Kal'tsit"]  The difference is that you are alive.
[name="켈시"]  차이가 있다면 네가 아직 살아 있다는 거야.

[name="艾利奥特"]  ......反正你已经有安排了吧，接下来要怎么做？
[name="エリオット"]  ……どうせあなたにはもう計画があるんでしょう、次はどうするんですか？
[name="Elliot"]  You already have our next steps figured out, don't you...? What are we doing now?
[name="엘리엇"]  ……어쨌든 이미 다 계획해 두지 않았나요? 이제 어떻게 하면 되죠?

[name="凯尔希"]  找到一个可信任的人，我们要靠黑市的手段离开伊巴特。
[name="ケルシー"]  信用できる者を見つけ、闇市を経由してイバトを去る。
[name="Kal'tsit"]  We'll look for someone trustworthy to take us out of Ibut. Not legally, of course.
[name="켈시"]  믿을 만한 사람을 찾아야지. 암시장을 거쳐 이버트를 떠날 거다.

