十七年前
十七年前
17 Years Ago
17년 전

1:37 P.M.  天气/晴
p.m. 1:37 天気/晴天
1:37 P.M. \ Clear
1:37 P.M. 날씨/맑음

乌萨斯中部，松心山谷疗养院，食堂大厅
ウルサス中部 パインバレー療養所 食堂ホール
Central Ursus, Pine Valley Retreat, Dining Hall
우르수스 중부, 파인 밸리 요양원, 식당

[name="凯尔希"]  先生，您的咖啡。
[name="ケルシー"]  お待たせしました。コーヒーでございます。
[name="Kal'tsit"]  Sir, your coffee.
[name="켈시"]  부탁하신 커피입니다.

[name="老兵模样的人"]  ——新来的？
[name="老兵っぽい人"]  ――新人かね？
[name="Veteran-Like Person"]  —Are you new?
[name="노병처럼 보이는 인물"]  ……새로 왔나?

[name="凯尔希"]  是的，先生。
[name="ケルシー"]  はい。
[name="Kal'tsit"]  I am, sir.
[name="켈시"]  네.

[name="老兵模样的人"]  那该好好问问其他人，我喝咖啡的规矩是什么，给我把咖啡放凉了再端过来！
[name="老兵っぽい人"]  なら、私にコーヒーを出す際のルールくらい、ほかの者にちゃんと聞いておけ。いいか、コーヒーは冷ましてから持ってこい！
[name="Veteran-Like Person"]  Then ask around about how I take my coffee. Bring it to me again once you let it cool!
[name="노병처럼 보이는 인물"]  그럼 다른 사람한테 내가 어떤 커피를 마시는지 물어봐야 할 거 아니야. 커피는 식힌 뒤에 다시 가져오라고!

[name="老兵模样的人"]  你这该死的菲林——呵，菲林人！真让人恶心！我在战场上拼命，可不是为了被一个菲林照顾！
[name="老兵っぽい人"]  クソッ！　このフェリーン人めが――まったく胸糞クソ悪い！　私が戦場で命を懸けたのは、フェリーンなんかに世話してもらうためではないわ！
[name="Veteran-Like Person"]  You damned Feline—eugh, a Feline! You disgusting wretch! I didn't go to war to have a Feline take care of me!
[name="노병처럼 보이는 인물"]  필라인이로군! 퉷, 재수 없어! 필라인 따위한테 시중받으려고 전쟁에서 목숨 걸고 싸운 줄 알아!

[name="老兵模样的人"]  给我滚开！
[name="老兵っぽい人"]  目障りだ！　失せろ！
[name="Veteran-Like Person"]  Get out of my sight!
[name="노병처럼 보이는 인물"]  당장 꺼져!

[name="凯尔希"]  ......十分抱歉，先生，是我疏忽了。
[name="ケルシー"]  ……申し訳ありません、うっかりしておりました。
[name="Kal'tsit"]  My utmost apologies, sir, this is my oversight.
[name="켈시"]  ……죄송합니다, 제 불찰입니다.

[name="凯尔希"]  请不要告诉护工长，我这就去为您重新准备......
[name="ケルシー"]  どうか介護士長には言わないでください。すぐに新しいものをご用意いたしますので……
[name="Kal'tsit"]  Please don't tell the head caretaker. I'll prepare it again for you right away...
[name="켈시"]  간호부장님한테는 말하지 말아 주세요. 다시 준비하겠습니다……

[name="老兵模样的人"]  ......哼！不想丢工作的话，就在三分钟之内给我重新准备好。
[name="老兵っぽい人"]  ……フンッ！　三分以内に新しいのを持ってこい。仕事を失いたくなければな！
[name="Veteran-Like Person"]  Hmph! If you don't want to lose your job, you have three minutes to do it over, properly.
[name="노병처럼 보이는 인물"]  흥! 잘리기 싫으면 3분 내로 커피 다시 대령해.

[name="老兵模样的人"]  还有......你这眼神是怎么回事，如果你不懂怎么微笑的话，我就撕烂你的脸。
[name="老兵っぽい人"]  それと……その生意気な目つきはなんだ。使用人のくせに笑顔一つもまともに作れんのか、だったらその顔をぶっ潰すぞ。
[name="Veteran-Like Person"]  Also... is something wrong with your eyes? If you don't know how to smile, I'll tear that face of yours off.
[name="노병처럼 보이는 인물"]  그리고…… 너, 눈을 왜 그렇게 떠? 웃을 줄 몰라? 모르면 얘기해, 내가 그 입을 아주 찢어줄라니까.

[name="凯尔希"]  请别这样......很抱歉让您不愉快了，我这就去为您重新准备。
[name="ケルシー"]  どうかお赦しください……不快にさせてしまったのは謝ります。すぐに新しいものを準備して参ります。
[name="Kal'tsit"]  Please don't... I'm very sorry to displease you. I'll go and redo it right now.
[name="켈시"]  기분이 상하셨다면…… 죄송합니다. 얼른 준비해 오겠습니다.

[name="老兵模样的人"]  啐，现在的仆人，只有姿色能看了吗？
