二十二年前
二十二年前
22 Years Ago
22년 전

8:05 P.M.  天气/多云
p.m. 8:05 天気/曇天
8:05 P.M. \ Cloudy
8:05 P.M. 날씨/흐림

萨尔贡中部，伊巴特地区，沁礁镇周边
サルゴン中部 イバト地区 沁礁周辺
Central Sargon, Ibut Region, Town of Reefsteep, Surroundings
사르곤 중부, 이버트 지역, 리프스팁 마을 주변

[name="凯尔希"]  ......废弃的庭院。这就是你们的家？
[name="ケルシー"]  ……廃墟と化した庭園。ここが君たちの家か？
[name="Kal'tsit"]  An abandoned courtyard... Is this where you live?
[name="켈시"]  ……버려진 정원, 여기가 당신들의 집인가?

[name="老伊辛"]  几年前，一位商人建起了这座富丽堂皇的庭院，他却在一次行商旅途中，销声匿迹。是天灾还是人祸，无人知晓。
[name="イシン"]  数年前、一人の商人がこの立派な庭園を造りました。しかし、彼はある時商売で旅に出たっきり忽然と姿を消したのでございます。天災か人災か……それを知る者はおりません。
[name="Old Isin"]  A few years ago, a merchant built the magnificent courtyard before you, but he disappeared without a trace during a business trip. To this day, no one knows whether he met his fate in a natural Catastrophe or man-made tragedy.
[name="이신"]  몇 년 전, 한 상인이 화려한 정원을 지었는데 장삿길에 올랐다가 실종되었죠. 천재지변이었는지 인재였는지는 알려진 게 없지만요.

[name="老伊辛"]  但至少这座庭院成了我们这些无家可归者的庇护所。
[name="イシン"]  その後、この庭園は我々のような帰る家がない者たちにとっての、絶好の隠れ家となりました。
[name="Old Isin"]  But whichever the case, this courtyard has become a place of refuge for those of us with nowhere to go.
[name="이신"]  하지만 지금 이곳은 저희처럼 갈 곳 없는 자들을 위한 피난처로 쓰이고 있습니다.

[name="无家可归者"]  ......老伊辛带来了两个新人。
[name="ホームレス"]  ……おい、イシンが新入りを二人連れて来たぜ。
[name="Homeless Person"]  Old Isin brought two new faces with him...
[name="돌아갈 곳이 없는 자"]  ……이신이 신입을 둘이나 데려왔군.

[name="无家可归者"]  而她的打扮可不像个穷人......
[name="ホームレス"]  だが、あの女の格好は貧乏人にゃ見えねぇな……
[name="Homeless Person"]  She doesn't seem all that poor, going by her looks...
[name="돌아갈 곳이 없는 자"]  옷차림을 보니 가난한 사람 같진 않은데……

[name="衣衫褴褛者"]  我们该小心些......都回去屋里吧，老伊辛的秘密不值得我们深究。
[name="ボロを纏った人"]  関わらない方がいい……イシンの秘密に、俺たちが深入りする価値なんてないさ。中に戻ろうぜ。
[name="Disheveled Person"]  We need to be careful... Let's head back inside. We shouldn't pry into Old Isin's secrets.
[name="남루한 행색의 인물"]  조심하는 게 좋겠어……모두 안으로 들어가, 이신의 비밀 따윈 우리가 관여할 게 아니니까.

[name="凯尔希"]  ......这座庭院叫什么？
[name="ケルシー"]  ……この庭園は何と呼ばれている？
[name="Kal'tsit"]  What's this courtyard called...?
[name="켈시"]  ……이곳의 이름은 뭐지?

[name="老伊辛"]  （萨尔贡语）“沉睡的萨尔贡”，流浪者都是这么称呼这里的......
[name="イシン"]  （サルゴン語）「眠れるサルゴン」。
[name="Old Isin"]  (Sargonian) 'The Sleeping Sargon.' That's what all those without a home have come to call this place...
[name="이신"]  (사르곤어) 잠든 사르곤.

[name="老伊辛"]  如同我们的故土，女士。我们安眠在大地最奢华的尸体之上。
[name="イシン"]  住み着いている者たちは皆そう呼んでいます……我々は、この庭を故郷のように感じているのですよ、ケルシー殿。大地で最も贅沢な廃墟で、我々は安らかな眠りにつくのです。
[name="Old Isin"]  Just like our fallen homeland, my lady. We sleep on the most extravagant corpse you can find in the whole world.
[name="이신"]  방랑자들은 모두 그렇게 부르지요…… 여긴 마치 고향과도 같습니다. 저희는 대지에서 가장 사치스러운 폐허 위에 잠이 드는 거죠.

[name="老伊辛"]  请耐心等待天明，天明才能离开这里，才能前往沁礁的中央。
[name="イシン"]  夜が明けるのをお待ちください。今はまだ、ここを出て沁礁の中心へと向かうことができません。
[name="Old Isin"]  Please stay the night and wait until sunrise. Only then can we leave for the heart of Reefsteep.
[name="이신"]  날이 밝을 때까지 기다려 주십시오. 날이 밝는 즉시, 여길 떠나 리프스팁 중심부로 향할 수 있을 겁니다.

[name="凯尔希"]  礁石环绕之地。
[name="ケルシー"]  沁礁……岩礁が取り囲む地。
[name="Kal'tsit"]  The land encircled by reefs.
[name="켈시"]  암초에 둘러싸인 땅.

[name="老伊辛"]  是的......在沙海的正中央。
[name="イシン"]  そう……砂の海の中心部です。
[name="Old Isin"]  Precisely... Right in the center of the sea of sands.
[name="이신"]  예…… 모래 바다의 한복판이죠.

[name="凯尔希"]  帕夏和王酋们选择了资源更加丰富的地区重建城市，那是座被遗忘的旧址，一片无法之地。
[name="ケルシー"]  パーディシャーと酋長たちは、より資源の豊富な地域に都市を再建した……そこは忘れられた遺跡であり、無法の地でもある。
[name="Kal'tsit"]  The padishah and lord ameer chose to rebuild their city somewhere with far richer resources, leaving it a forgotten ruin, a land of lawlessness.
[name="켈시"]  파디샤와 아미르들이 더 풍요로운 땅에 도시를 세우기로 했지. 그곳은 잊혀진 땅, 무법지대였는데.

[name="凯尔希"]  可对于过去生活在那座城市里的人和他们的后代而言，那片土地是无法割舍的。
[name="ケルシー"]  しかし、そこに住んでいた者たちとその末裔にとっては、捨て去ることのできない地だ……
[name="Kal'tsit"]  Be that as it may, to those who once lived in that city as well as their descendants, leaving that place behind is easier said than done.
[name="켈시"]  하지만 줄곧 그곳에서 살아왔던 사람들과 그들의 후손에게 그 땅은 더할 나위 없는 소중한 땅이었어.

[name="老伊辛"]  您可以在那里雇佣黑工和信使，他们会帮您伪造身份，顺利离开萨尔贡的国境。
[name="イシン"]  あの場所についたら、不法労働者やトランスポーターを雇うがよろしいでしょう。彼らであれば、あなた方の身分を偽装して、サルゴンの国境を問題なく越えさせてくれますからな。
[name="Old Isin"]  You can hire underground Messengers to do your bidding there. They will create fake identities for you and help you leave Sargon territory.
[name="이신"]  거기에 가면 불법 노동자나 전달자를 고용할 수 있을 겁니다. 무사히 사르곤을 떠날 수 있게 신분도 위장할 수 있을 테죠.

[name="老伊辛"]  但......您要去的地方实在是太远太远了，老伊辛可不敢保证您能安然抵达。
[name="イシン"]  しかし……あなたが行こうとしている場所はあまりに遠すぎます。無事たどり着けるかどうかは、イシンには保証できません。
[name="Old Isin"]  However, your destination is quite some distance away. Old Isin cannot guarantee you will arrive in one piece.
[name="이신"]  하지만…… 가려는 곳이 아득하게 먼 곳이라면, 그곳까지 무사히 도착할 거라는 장담은 할 수 없습니다.

[name="凯尔希"]  艾利奥特还好吗？
[name="ケルシー"]  エリオットの様子は？
[name="Kal'tsit"]  How is Elliot doing?
[name="켈시"]  엘리엇은 어때?

[name="老伊辛"]  他睡了，这里很安全。您比我想象的还要关心他，这是您慈悲的象征。
[name="イシン"]  寝ています。ここは安全です。あなたは私が思っていた以上に彼を気にかけているようですね。慈悲深さの表れです。
[name="Old Isin"]  He is asleep, but it is safe here. You care for him more than Old Isin imagined you would. It is proof of your kindness.
[name="이신"]  자고 있습니다. 안전한 곳이니 염려하지 마십시오. 제가 생각했던 것보다 훨씬 다정하고 자비롭군요.

[name="凯尔希"]  ......如果被他听到你这么说，他一定会生气的。
[name="ケルシー"]  ……もし彼がその言葉を聞けば、きっと文句を言うだろうな。
[name="Kal'tsit"]  He's not going to be happy if he catches you say that.
[name="켈시"]  엘리엇이 그 말을 들었으면 분명 화를 냈을 거야.

[name="老伊辛"]  哦，老伊辛看得见......看得见那孩子身上的愤怒。
[name="イシン"]  ふむ、イシンには見えるのでございます……あの子の身の内に燃える怒りが。
[name="Old Isin"]  Oh, Old Isin can see it... The anger lurking in him.
