十三年前
十三年前
13 Years Ago
13년 전

8:09 P.M.  天气/大雪
p.m. 8:09 天気/大雪
8:09 P.M. \ Heavy snow
8:09 P.M. 날씨/눈

维多利亚边境自治郡，多伦郡，文森特庄园
ヴィクトリア辺境自治領 トロン郡 ヴィンセント荘園
Victoria Border Autonomous Region, County of Toron, Vincent Manor
빅토리아 변경 자치구, 토론, 빈센트 저택

[name="文森特伯爵"]  那是一座伟大的城市，任何维多利亚人都应当抽空去瞻仰那座伟大的城市。
[name="ヴィンセント伯爵"]  そうですね、あれはヴィクトリア人なら誰しも、一度は訪れるべき偉大な都市です。
[name="Count Vincent"]  It is a great city. All Victorians should find time to pay it a visit and gaze upon its magnificence.
[name="빈센트 백작"]  위대한 도시죠. 빅토리아인이라면 시간을 쪼개서라도 그 위대한 도시를 방문해야 합니다.

[name="附庸风雅的男人"]  这么说，我们可敬的公爵们依旧没有讨论出结果？
[name="風流人ぶる男"]  つまり、我々の尊敬すべき公爵たちはいまだ結論が出せていないということですかな？
[name="Pretentious Man"]  So you are saying our respectable dukes have not yet arrived at a conclusion?
[name="고상한척하는 사내"]  그리 말씀하시는 걸 보니, 존경스러운 공작님들께서 여전히 결론을 내리지 못하셨나 보군요.

[name="文森特伯爵"]  是的，依旧没有，伦蒂尼姆依旧是一座“无主”的城市。
[name="ヴィンセント伯爵"]  ええ、まだ出ていません。ロンディニウムは依然として「主なき」都市なのです。
[name="Count Vincent"]  Yes, that is correct. They haven't yet. For the time being, Londinium is still a city without a master.
[name="빈센트 백작"]  네, 그렇답니다. 런디니움은 여전히 '주인 없는' 도시죠.

[name="欢快的女贵族"]  那您是有幸和诺曼底公爵一同游览伦蒂尼姆了吗？
[name="明るい女性貴族"]  では伯爵は、ノーマンディー公爵とご一緒にロンディニウムを遊覧なされたので？
[name="Merry Noblewoman"]  So I take it you had the fortune and privilege to tour Londinium with the Duke of Normandy?
[name="유쾌한 귀족 부인"]  노르망디 공작님과 함께 런디니움을 여행하신 건가요?

[name="文森特伯爵"]  可惜，大公爵曾被立法禁止进入伦蒂尼姆，而绅士如公爵阁下，自然不会擅自作出这类僭越之举。我们只好在伦蒂尼姆郊外的舰船上共进晚餐。
[name="ヴィンセント伯爵"]  残念ながら。大公爵がロンディニウムに入ることは法律で禁じられており、彼のようなお方は当然ながら法に対しても紳士です。ロンディニウム郊外の船で共に夕食をとっただけですよ。
[name="Count Vincent"]  Alas, the Duke is forbidden from entering Londinium by law. Of course, he is a fine gentleman, so he would never be so presumptuous as to invite himself in, so we instead enjoyed dinner on a ship together in the Londinium countryside.
[name="빈센트 백작"]  아쉽지만 대공작께서 런디니움에 들어가는 것은 법적으로 금지되었죠. 신사적인 공작님께서 당연히 금지된 일을 하지 않으시겠죠. 저희는 런디니움 교외의 함선에서 함께 만찬을 가진 게 고작이었답니다.

[name="微醺的商人"]  公爵阁下是位怎样的英雄？
[name="ほろ酔いな商人"]  英雄と名高い公爵ご本人は、どのような方であったのですかな。
[name="Tipsy Businessman"]  What kind of a hero is the Duke?
[name="약간 취한 상인"]  공작님께선 어떤 분이신가요?

[name="文森特伯爵"]  啊......公爵阁下真是个温和儒雅的贵族，他对经济与政治都有独到的见解，不仅如此，听闻他还精通音律，他个人的收藏室又显示出他对艺术的崇敬之心。
[name="ヴィンセント伯爵"]  ふむ……閣下は実に穏やかで教養のある方でした。経済と政治に独自の見解をお持ちで、音楽にも精通しておられるそうです。彼の芸術に対する崇敬の念は、コレクションルームにも表れているとか。
[name="Count Vincent"]  Well... he is the most gracious and erudite of nobles. His views in economics and politics are unique and unparalleled. Not only that, but my understanding is that he is well-trained in music, and he possesses an impressive art collection, testament to his respect for the arts.
[name="빈센트 백작"]  으음…… 공작님은 다정하면서도 고상한 귀족이시죠. 경제와 정치에 독특한 견해를 지니고 있을 뿐만 아니라 음악에도 일가견이 있다고 하더군요. 그분의 개인 수집실에서 예술에 대한 남다른 사랑을 느낄 수 있다고 들었습니다.

[name="文森特伯爵"]  正因为我们有那么多这样的英雄，维多利亚才能依旧繁荣昌盛呀！
[name="ヴィンセント伯爵"]  閣下のような英雄が数多くいるからこそ、ヴィクトリアは依然として繁栄できているのですよ！
[name="Count Vincent"]  It is because of heroes like him that Victoria remains prosperous as ever!
[name="빈센트 백작"]  이렇게 많은 영웅 덕분에 빅토리아가 여전히 명성을 이어올 수 있었습니다.

[name="凯尔希"]  没有最高统治者的维多利亚，保持了十数年的稳定。
[name="ケルシー"]  ヴィクトリアは、最高統治者が不在のまま、十数年にわたって安定を維持してきた。
[name="Kal'tsit"]  Despite not having a ruler for the past dozen or so years, Victoria has managed to maintain its stability.
[name="켈시"]  최고 통치자가 없는 빅토리아는, 십여 년 동안 안정세를 유지해 왔어.

[name="海蒂"]  但事实上，几位大公爵暗中掣肘，相互摩擦，他们甚至还......
[name="ハイディ"]  しかし実際は、数名の大公爵たちが陰で牽制し合い、衝突し、さらには――
[name="Heidi"]  But the truth is that the Dukes were getting in each other's way behind the scenes, and that's not all...
[name="하이디"]  그러나 실제로는 몇몇 대공작들이 뒤에서 충돌하면서 치열하게 싸웠죠. 심지어……

[name="海蒂"]  如果有那么多贵族会轻易死于食物中毒和狩猎意外，那维多利亚的贵族统治早就崩如散沙了。
[name="ハイディ"]  もし本当に、あれほど多くの貴族たちが、食中毒や狩猟中の事故で死んでしまうのであれば、ヴィクトリアの貴族支配はとっくの昔に崩れ去っていたでしょう。
[name="Heidi"]  If so many Victorian nobles actually fell victim to food poisoning and hunting accidents, then the country's noble rule would've crumbled to dust long ago.
