6:44 P.M.    天气/晴
p.m.6:44 天候/晴天
6:44 P.M. \ Clear
6:44 p.m.    날씨/맑음

龙门绕城公路，车内
龍門環状道路 車内
Lungmen Ring Expressway, Car
용문외곽순환고속도로, 차 안

[name="管家"]   少爷？
[name="執事"]   バイソン様？
[name="Butler"]   Young Master?
[name="집사"]   도련님?

[name="管家"]   少爷，您睡着了？
[name="執事"]   バイソン様、お休みでございますか？
[name="Butler"]   Young Master, are you asleep?
[name="집사"]   도련님, 주무십니까?

[name="拜松"]   唔，抱歉......我们到哪儿了？
[name="バイソン"]   うぅん……ごめん……。いまどの辺り？
[name="Bison"]   Hm, oh... Where are we?
[name="바이슨"]   음…… 미안…… 얼마나 왔어?

[name="管家"]   就快到约定的碰头地点了，请打起精神来，少爷。企鹅物流的诸位已经在等着了。
[name="執事"]   間もなくお約束の場所に到着いたします。バイソン様、どうかお気をしっかりお持ちください。ペンギン急便の皆様は既にご到着かと存じます。
[name="Butler"]   We will soon arrive at the rendezvous point. Do clear your head, Young Master. Penguin Logistics is already there waiting for you.
[name="집사"]   이제 곧 약속 장소에 도착합니다. 도련님, 정신 차리시지요. 펭귄 로지스틱스 분들께서 기다리고 계십니다.

[name="拜松"]   嗯，我知道。
[name="バイソン"]   うん、わかった。
[name="Bison"]   Mm. Right.
[name="바이슨"]   응, 알았어……

[name="管家"]   您看上去很疲惫。
[name="執事"]   私にはお疲れのように見えますが……。
[name="Butler"]   You seem exhausted.
[name="집사"]   많이 피곤하신 것 같습니다.

[name="拜松"]   没有的事。
[name="バイソン"]   そんなことないよ。
[name="Bison"]   I'm fine.
[name="바이슨"]   괜찮아.

[name="管家"]   请原谅我多嘴，但老爷这次的决定实在是有些仓促，如果少爷有什么难处，请务必开口。
[name="執事"]   差し出たこととは存じますが…。旦那様の今回の決定はあまりにも性急でございます。もし、御心に沿わぬということであれば、遠慮せずお声をあげられるべきかと思います。
[name="Butler"]   Forgive my indiscretion, Sir, but you do seem to have made this decision in some haste. You know of course that you may at any time share any matters that trouble you.
[name="집사"]   외람된 말씀이지만, 주인님의 이번 결정은 조금 급한 감이 없지 않군요. 만약 도련님께서 느끼시기에, 불편한 점이 있으시다면 꼭 말씀해 주십시오.

[name="拜松"]   ......父亲，一定有他自己的想法。
[name="バイソン"]   ……父さんには、父さんの考えがあるんだ。
[name="Bison"]   ...My father... he definitely has his own ideas.
[name="바이슨"]   ……아버지께서도 분명 뜻이 있으셔서 그러신 걸 거야.

[name="拜松"]   而且，只要能在企鹅物流有所作为，父亲身边的那些人，说不定就不会再阻拦我了。
[name="バイソン"]   それに、ペンギン急便さんのところで成果をあげさえすれば、父さんの周りの人たちだって、二度とぼくに口出しできなくなるかもしれない。
[name="Bison"]   But all I have to do is get Penguin Logistics on board. Then those guys won't be able to get between me and my father ever again.
[name="바이슨"]   그리고 펭귄 로지스틱스에서 뭔가 성과를 낼 수 있다면, 아버지 곁에 있는 그 사람들도 더는 나한테 뭐라 못 하겠지.

[name="管家"]   少爷是家族有史以来最年轻的信使，您的工作能力无可挑剔，这就足够了。
[name="執事"]   バイソン様は当家の中でも歴代最年少でトランスポーターになられた御方。十分な職務遂行能力を持つ優秀な人物であることは、この私が保証いたします。
[name="Butler"]   You are the youngest Messenger in the history of your family, Young Master. You perform all of your duties impeccably. Surely that will be enough.
