7:16 P.M.    天气/晴
p.m.07:16 天候/晴天
7:16 PM \ Clear
7:16 p.m.    날씨/맑음

龙门中央公园，鳞鱼丸小摊
龍門中央公園 魚団子スープの屋台
Lungmen Central Park, Finball Stand
용문 중앙 공원, 포장마차 어묵집

[name="孑"]   您点的鱼丸。
[name="ジェイ"]   はい、お待ちどお。魚団子スープでございやす。
[name="Jaye"]   Your finballs.
[name="제이"]   주문하신 어묵 나왔슴다.

[name="女性游客"]   哦哦，这口感，弹性，真不错。
[name="女性旅行客"]   ううーん、この口当たりといい、弾力のある食感といい、本当に美味しいわ。
[name="Female Tourist"]   Oooh, such springy mouthfeel. Pretty good.
[name="여성 관광객"]   으음~ 이 쫄깃한 식감! 훌륭해!

[name="女性游客"]   不愧是百大民间美食攻略推荐的店家！
[name="女性旅行客"]   さすがB級グルメのベスト100に入るお店ね！
[name="Female Tourist"]   This place definitely earned that recommendation in the Great Foodie Guide!
[name="여성 관광객"]   역시 길거리 음식 베스트 100에 들어간 가게야!

[name="孑"]   客人喜欢就好。
[name="ジェイ"]   お口に合いやしたか？　それは何より。
[name="Jaye"]   Glad you like it.
[name="제이"]   좋아하신다니 다행임다.

[name="男性游客"]   ......
[name="男性旅行客"]   ……。
[name="Male Tourist"]   ......
[name="남성 관광객"]   ……

[name="男性游客"]   ......哎，你不觉得那个店主有点可怕吗？
[name="男性旅行客"]   ……おい、なんかこの店主ちょっと怖くね？
[name="Male Tourist"]   ...That finball guy kinda gives me the creeps.
[name="남성 관광객"]   ……저기, 저 가게 주인 좀 무섭지 않아?

[name="女性游客"]   就是说啊，凶神恶煞的不讲，明明在卖鱼丸，为什么桌上要放把菜刀啦......
[name="女性旅行客"]   確かに言われてみれば。よく見ると顔怖いし、雰囲気が冷たい感じだし、魚団子屋さんなのに、なんでテーブルの上に包丁が……。
[name="Female Tourist"]   I know what you mean. Like, you're selling finballs, why do you have a big knife on the counter there?
[name="여성 관광객"]   그러게… 생긴 것도 험상궂은데 어묵 팔면서 식칼은 왜 테이블 위에 두는 거람……

[name="男性游客"]   而且我看攻略上说，店主是个号称鱼丸之神的老伯伯才对啊。
[name="男性旅行客"]   それにガイドの記事によれば、ここの店主って「魚団子の神」とか呼ばれてるおじいさんなんだろ。
[name="Male Tourist"]   The Foodie Guide says the owner is an old man called 'The Godly Finball Uncle.'
[name="남성 관광객"]   그리고 가이드북에는 가게 주인이 '어묵의 신'이라고 불리는 할아버지라고 분명히 적혀 있었다고.

[name="男性游客"]   啊，该不会是黑社会抢了摊子......
[name="男性旅行客"]   はっ、まさか裏社会の人間が店ごと強奪したんじゃ……。
[name="Male Tourist"]   He couldn't be some kind of triad or something...
[name="남성 관광객"]   설마 마피아한테 가게를 뺏긴 건 아니겠지……

[name="孑"]   嗯？客人，还有什么需要吗？
[name="ジェイ"]   ん？　お客さん、他になにかご注文はごぜぇやすか？
[name="Jaye"]   Hm? Did you want something else?
[name="제이"]   음? 뭐 더 필요한 거 있슴까?

[name="女性游客"]   没、没事。
[name="女性旅行客"]   い、いえ。
[name="Female Tourist"]   Oh, no.
[name="여성 관광객"]   아, 아니요…

[name="孑"]   ......最近的客人真奇怪。
[name="ジェイ"]   ……最近のお客さん、どうも奇妙な人が多いようで。
[name="Jaye"]   ...customers have been so weird lately.
[name="제이"]   ……요즘엔 이상한 손님들이 많이 오네……

[name="？？？"]   还不是因为你的表情太凶了。
[name="？？？"]   あなたの表情が凶悪すぎるからじゃありませんか。
[name="???"]   I'm sure it's got nothing to do with that 'Resting Triad Face' you've got going on.
[name="???"]   당신이 표정을 그렇게 짓고 있으니까 그런 거잖아요.

[name="槐琥"]   还有你干嘛穿着这身就来看摊？你就不能为董阿伯的名声考虑一下吗？
[name="ワイフー"]   それと、そんな恰好で店に出るなんて何考えてるんですか？　董のおじさんの評判を少しは配慮したらどうですか？
[name="Waai Fu"]   And this is what you wear to work? Think about how this makes Uncle Tung look.
[name="와이후"]   대체 왜 옷을 그렇게 입고 가게를 보는 거예요? 동씨 아저씨네 평판 떨어지면 어쩔라고 진짜!

[name="孑"]   是你喔，打工结束了？
