0:00 A.M.    天气/沙尘
a.m.00:00 天候/砂嵐
0:00 AM \ Dusty
0:00 a.m.    날씨/미세먼지 주의보

龙门市区，商业街
龍門市街 商店街
Downtown Lungmen, Busy Street
용문 시내, 상가 거리

[name="孑"]   ——
[name="ジェイ"]   ——。
[name="Jaye"]   …
[name="제이"]   ……

[name="槐琥"]   喂，你知道你现在的表情很吓人吗？
[name="ワイフー"]   ちょっと、あなたの今の顔、どれだけ怖いか分かってます？
[name="Waai Fu"]   Hey, you're doing the whole "triad face" thing again, you know?
[name="와이후"]   잠깐만요, 지금 당신 표정, 되게 무서운 거 알아요?

[name="孑"]   ......你回来了，那些人你调查清楚了吗？
[name="ジェイ"]   ……戻りやしたか。連中のこと、何か分かったんで？
[name="Jaye"]   ...Welcome back. Did you look into those people for me?
[name="제이"]   ……왔냐, 그놈들 누군지 좀 알아봤어?

[name="槐琥"]   稍微有一些眉目，虽然很想把那些胡作非为的家伙绳之以法，但似乎不是我一个人就能解决的事情。
[name="ワイフー"]   わずかな手がかりはありました。あの悪逆非道の奴らに法の裁きを下したいところですが、私一人で解決できることではなさそうでした。
[name="Waai Fu"]   I came up with a rough sketch. As much as I'd like to bring these evildoers to justice, it looks like it's not going to be a one woman job.
[name="와이후"]   대충은요. 그런 놈들, 맘 같아선 다 법대로 구속해버리고 싶지만, 아무래도 이건 저 혼자 해결할 수 있는 일이 아닌 것 같네요.

[name="槐琥"]   说不定要拜托事务所的那些家伙。
[name="ワイフー"]   こうなると、事務所の皆さんに頼る必要があるかもしれません。
[name="Waai Fu"]   I may have to ask for help at the office.
[name="와이후"]   사무소 사람들한테 부탁해야 할지도 모르겠어요.

[name="槐琥"]   对方势力不小，阿那个家伙，又不肯直接告诉我，故弄玄虚的......
[name="ワイフー"]   相手は強そうですし、アさんだって勿体ぶってばかりで、素直に教えてくれないですし……。
[name="Waai Fu"]   Seems they're not your run of the mill punks. And that Aak wasn't exactly forthcoming. He has to go and make everything so complicated...
[name="와이후"]   상대의 세력이 작지 않은 데다, 아는 저에게 바로 알려주려 하지도 않고, 수작이나 부리...

[name="孑"]   哪个家伙？
[name="ジェイ"]   どいつだって？
[name="Jaye"]   I'm sorry, who?
[name="제이"]   누구라고?

[name="槐琥"]   阿。
[name="ワイフー"]   アさん。
[name="Waai Fu"]   Aak.
[name="와이후"]   아.

[name="孑"]   啊？
[name="ジェイ"]   あ？
[name="Jaye"]   Ah?
[name="제이"]   사람이 물어봤으면 대답을 좀 해……

[name="槐琥"]   ......他就叫阿。
[name="ワイフー"]   ……彼は「ア」という名前なんです。
[name="Waai Fu"]   ...His name is Aak.
[name="와이후"]   ……이름이 '아' 라고요.

[name="孑"]   哦......那，总而言之，不是什么轻松的事情对吧。
[name="ジェイ"]   おぉ……つまりそんな単純な一件ってワケじゃねぇってこったな。
[name="Jaye"]   Oh... Okay, well, since it's not so simple,
[name="제이"]   아…… 아무튼 쉬운 일이 아니라는 거지?

[name="孑"]   我来帮忙。
[name="ジェイ"]   なら俺に行かせてくんな。
[name="Jaye"]   I'll help out.
[name="제이"]   그럼 내가 도와줄게.

