3:21 A.M.    天气/晴
a.m.03:21 天候/晴天
3:21 A.M. \ Clear
3:21 a.m.    날씨/맑음

龙门市区，“大地的尽头”酒吧，废墟中
龍門市街 バー「大地の果て」跡地
Downtown Lungmen, 'The Ends of the Earth' lounge, ruins
용문 시내, 폐허가 된 술집 '대지의 끝'

[name="企鹅物流众人"]   干杯！！
[name="ペンギン急便の人々"]   乾杯！！
[name="Penguin Logistics"]   Cheers!!
[name="펭귄 로지스틱스 직원들"]   건배!!

[name="企鹅物流众人"]   干杯！！
[name="ペンギン急便の人々"]   カンパーイ！！
[name="Penguin Logistics"]   Cheers!!
[name="펭귄 로지스틱스 직원들"]   건배!!

[name="能天使"]   哎呀，今晚可真是打了个痛快。
[name="エクシア"]   いやー、今日は本当に楽しかったね。
[name="Exusiai"]   Whew, tonight sure was a good time.
[name="엑시아"]   이야~ 오늘은 진짜 통쾌했어!

[name="可颂"]   虽然是坐在这一片狼藉里开趴，但一想到所有损失都有人报销，我就感觉浑身舒畅！
[name="クロワッサン"]   この散らかりっぷりのパーティーやけどな。せやけど、損失分、みんな肩代わりするっちゅう人がおると思うだけで、もう体中がスッキリ軽いわ！
[name="Croissant"]   You wouldn't think it from the stinkin' pile of garbage we're sittin' in, but it was great. Just thinkin' about somebody else footin' the bill for all our expenses makes me all warm inside!
[name="크루아상"]   난리 통 속에서 하는 파티기는 해도, 예산 빵꾸날 걸 누군가가 메꿔줄 거라 생각하면 속이 다 후련하다 안 카나!

[name="空"]   德克萨斯，你要是早就知道，好歹也告诉我们一声呀。
[name="ソラ"]   テキサスさん、もし先に分かっていたなら、あたしたちに一言言ってくださいよ。
[name="Sora"]   Texas, if you figured it out earlier, you should have told us.
[name="소라"]   텍사스 씨, 알고 있었으면 진작에 우리한테도 좀 알려주지 그랬어요.

[name="德克萨斯"]   我猜的。
[name="テキサス"]   推測が当たっただけだ。
[name="Texas"]   I just guessed.
[name="텍사스"]   나도 때려 맞춘 거라니까.

[name="空"]   你一点都不会撒谎，真是......
[name="ソラ"]   嘘が下手ですよね、本当に……。
[name="Sora"]   You're a really bad liar, you know that...?
[name="소라"]   거짓말하면 티가 다 난다니까요? 정말이지……

[name="能天使"]   反正都是老板的主意吧？别介意~吃饭喝酒打架，有益身心健康。
[name="エクシア"]   どうせ全部ボスの考えでしょ？　気にしてちゃだめだよ～。食事も酒も喧嘩も、身心の健康維持には大事だからね～。
[name="Exusiai"]   The boss had it all planned out, didn't he? Don't sweat it~ Eating, drinking, and fighting are good for the body and good for the soul.
[name="엑시아"]   어차피 다 사장님 생각인 거지? 신경 쓰지 마~ 잘 먹고, 잘 마시고, 잘 싸우는 게 건강에도 좋다고.

[name="拜松"]   ......
[name="バイソン"]   ……。
[name="Bison"]   ......
[name="바이슨"]   ……

[name="莫斯提马"]   怎么了？不加入他们吗？
[name="モスティマ"]   どうした？　あれに参加しないの？
[name="Mostima"]   What's wrong? You're not going to join them?
[name="모스티마"]   왜 그래? 같이 안 어울려?

[name="拜松"]   不，免了。
[name="バイソン"]   いや、いいです。
[name="Bison"]   No, I'm okay.
[name="바이슨"]   아니요, 됐어요.

[name="拜松"]   怎么说呢，我稍微有点，不太能接受。
[name="バイソン"]   なんて言うか、ほんの少しだけ、納得できなくて。
[name="Bison"]   I just, how can I say this? I just feel like I can't accept it.
[name="바이슨"]   뭐랄까, 전 조금, 받아들이기 어렵네요.

[name="莫斯提马"]   习惯就好啦。
[name="モスティマ"]   慣れればいいよ。
[name="Mostima"]   You get used to it.
[name="모스티마"]   익숙해지면 괜찮아.

[name="拜松"]   我觉得习惯了就完了。
[name="バイソン"]   なんだか……慣れたら終わりな気がします。
[name="Bison"]   If I'm used to it then it's all over.
[name="바이슨"]   익숙해지면 그건 정말 큰일 아닌가요……

[name="拜松"]   那今晚这么多事都是为了什么？还有大帝，他......
[name="バイソン"]   今夜こんなに色んなことが起きたのは、何のためだったんですか？　それから、エンペラーさんが……。
[name="Bison"]   Like what was everything tonight even for? And Emperor, he...
[name="바이슨"]   그럼 오늘 밤에 일어난 수많은 일은 모두 뭘 위한 거였죠? 게다가 엠퍼러 씨는……

[name="莫斯提马"]   只是用生命让派对变得更加热闹而已。
[name="モスティマ"]   ただ命を削ってパーティーを熱狂させただけさ。
[name="Mostima"]   ...gave his life to make the party more fun.
[name="모스티마"]   자기 목숨으로 파티를 더 시끌벅적하게 만든 것뿐이지.

[name="拜松"]   ......莫斯提马小姐，你说过，你会决定我在企鹅物流的学习成绩，是吗？
[name="バイソン"]   ……モスティマさん、ペンギン急便でのぼくの成績は、あなたが決めると、そう言ってましたよね？
[name="Bison"]   Mostima, you told me you would be giving me a grade for my performance at Penguin Logistics, didn't you?
[name="바이슨"]   ……모스티마 씨, 펭귄 로지스틱스에서의 제 성적은 당신이 결정한다고 했죠?

[name="莫斯提马"]   嗯，我考虑过了。虽然你大概和他们八字不合，但你的改变和成长有目共睹，也许——
[name="モスティマ"]   うん、結論は出してあるよ。君はみんなと相性が悪いかもしれないけど、君の変化と成長は誰の目から見ても明らかだからね。もしかすると——。
[name="Mostima"]   I did. I've been thinking about it. And while you didn't exactly mesh with everybody, you made some great strides. That much is clear. Maybe...
[name="모스티마"]   응, 나도 생각해봤어. 넌 확실히 펭귄 로지스틱스와 잘 맞지는 않지만, 네 변화와 성장은 모두가 인정하는 사실이니 어쩌면……

[name="拜松"]   不。
[name="バイソン"]   いえ。
[name="Bison"]   No.
[name="바이슨"]   아뇨.

[name="拜松"]   我不会留在这里的。
[name="バイソン"]   ぼくはここには残りません。
[name="Bison"]   I'm not staying here.
[name="바이슨"]   전 여기 남지 않을 겁니다.

[name="莫斯提马"]   ——哎呀，我还以为以你现在的情况，你会更需要企鹅物流作为一个不被干扰的踏板呢。
[name="モスティマ"]   ——おやおや、君の今の状況だと、邪魔が入らない踏み台として、ペンギン急便がより必要になるだろうと思っていたのにな。
[name="Mostima"]   Oh? I thought with everything that happened, you'd need Penguin Logistics to be a springboard for you to bigger and better things.
[name="모스티마"]   그래? ……지금 네 상황이라면, 펭귄 로지스틱스를 방해받지 않을 발판으로 삼을 수 있을 테니, 더 필요로 할 거라 생각했는데.

[name="拜松"]   本来是这么打算的，话说原来莫斯提马小姐早就看穿了啊......
[name="バイソン"]   本来はそのつもりでした。というか、モスティマさんには見抜かれていたんですね。
[name="Bison"]   That was the original idea. Turns out you had that all figured out...
[name="바이슨"]   원래는 그러려고 했어요. 모스티마 씨는 진작에 알고 계셨군요.

[name="拜松"]   我不是觉得企鹅物流很糟糕，不，也许真的很糟糕。
[name="バイソン"]   ぼくはペンギン急便がダメとは思ってません。いや、本当はダメかもしれませんけど。
[name="Bison"]   It's not that I think Penguin Logistics is terrible. Well, it is terrible.
[name="바이슨"]   펭귄 로지스틱스가 엉망이라고 생각하진 않습니다. 아니, 어쩌면 정말 엉망인 걸지도 모르죠.

[name="拜松"]   但是，我在想，原来还有这样的信使，还有这样的生活方式。
[name="バイソン"]   でも、ぼくは思うんです。こんなトランスポーターや、こんな生き方があってもいいかもしれないと。
[name="Bison"]   But I think, with Messengers like this, who live like this...
[name="바이슨"]   하지만, 이런 전달자도, 이런 생활 방식도 존재할 수 있다고 생각해요.

[name="拜松"]   虽然常识在告诉我，这很危险。
[name="バイソン"]   正直、ぼくの中の常識が語りかけてきます。「この在り方はとても危険」だって。
[name="Bison"]   Even though my common sense tells me it's ridiculously dangerous...
[name="바이슨"]   물론 제 상식이 여긴 위험하다고 저에게 계속 경고하긴 하지만요.

[name="拜松"]   但也许这样......反而更接近我的理想。
[name="バイソン"]   でも、もしかしたらこれこそが……かえってぼくの理想に近いのかもしれません。
[name="Bison"]   I think it might be... what I actually want.
[name="바이슨"]   하지만 그래서…… 오히려 제 이상에 더 가까운 걸지도 몰라요.

[name="拜松"]   不如说，如果我自己不这么认为的话，我会开始质疑现实的。
[name="バイソン"]   むしろ、もしぼく自身がそんなふうに思わないなら、逆に目の前の現実を疑ってしまうかもしれません。
[name="Bison"]   Or maybe it's like I'll start to question reality if I don't look at it this way.
[name="바이슨"]   아니, 이렇게 생각하지 않으면, 현실을 의심하게 될 것만 같아요.

[name="拜松"]   ......就像一个梦，荒诞的梦。
[name="バイソン"]   ……夢のようです、でたらめな夢。
[name="Bison"]   ...like one, completely insane dream.
[name="바이슨"]   마치 꿈처럼…… 터무니없는 꿈처럼요.

[name="莫斯提马"]   嗯，械斗、爆炸和高空坠落总是能叩开心扉的。
[name="モスティマ"]   ふむ、集団喧嘩に爆発、高所からの落下、その全てが心の扉を開くカギになったのかな。
[name="Mostima"]   Yeah. Fistfights, explosions, and high altitude drops will do that to you.
[name="모스티마"]   음…… 싸움, 폭발, 그리고 높은 곳에서 떨어지는 일은 언제나 마음의 문을 열어주지.

[name="拜松"]   呃，这种企鹅物流式的洗礼真的不利于身心健康。
[name="バイソン"]   うっ、そのペンギン急便式の洗礼は本当に心臓に悪かったです。
[name="Bison"]   Getting thrown into the deep end with Penguin Logistics isn't great for your mental health.
[name="바이슨"]   윽… 이런 펭귄 로지스틱스식 세례는 심신 건강에 정말 안 좋은 것 같네요.

[name="莫斯提马"]   但既然你已经下定了决心，作为一名信使同僚，我会祝福你的。
[name="モスティマ"]   でも、君はもう決心したんだね。トランスポーターの同僚の一人として、君を祝福するよ。
[name="Mostima"]   But if you've made your decision, and as your fellow Messenger, I wish you luck.
[name="모스티마"]   하지만 이미 결심을 내렸다니, 한 명의 전달자 동료로서, 축복을 빌어줄게.

[name="拜松"]   ——谢谢。
[name="バイソン"]   ——ありがとうございます。
[name="Bison"]   ...Thanks.
[name="바이슨"]   ……고맙습니다.

[name="莫斯提马"]   而且这样你的父亲就找不到借口克扣我的薪水了吧。
