PM9：39 罗德岛舰内
p.m. 09:39 ロドス艦内
9:39 PM Inside the Rhodes Island Landship
9:39 p.m  로도스 아일랜드 함선 내부

[name="梓兰"]     呼......总算是搞定了。
[name="オーキッド"]     ふぅ……なんとか終わったわ。
[name="Orchid"]     Phew.... Finally finished.
[name="오키드"]     후…… 드디어 끝났네.

[name="后勤干员"]     辛苦了，梓兰小姐。
[name="支援オペレーター"]     お疲れ様です。オーキッドさん。
[name="Logistics Operator"]     Good work, Orchid.
[name="지원 오퍼레이터"]     오키드 씨, 수고하셨습니다.

[name="梓兰"]     真的是，不知不觉就跟你们熟起来了，结果搞得我像你们的编外人员似的。
[name="オーキッド"]     まったく……いつの間にかあなたたちのお手伝いにも慣れてしまったわ。今の私はあなたたちと同じ、非戦闘員に見えるでしょうね。
[name="Orchid"]     I've gotten to know you all so well. It's like I'm part of the team now, huh?
[name="오키드"]     정신 차려보니 어느샌가 너희랑 친해졌잖아. 정말이지, 내가 전투원인지 비전투원인지……

[name="后勤干员"]     啊哈哈，因为梓兰小姐你对这方面很熟练嘛，不知不觉就......
[name="支援オペレーター"]     ハハハ、オーキッドさんはこういった仕事が得意なようなので、つい頼ってしまって……
[name="Logistics Operator"]     Ahaha. You've really gotten good at this, Orchid.
[name="지원 오퍼레이터"]     아하하…… 이런 쪽은 오키드 씨가 잘 아시니, 저희도 모르게……

[name="梓兰"]     哈......比起带那帮怪胎来说，我倒确实更擅长这个就是了。
[name="オーキッド"]     まぁ……あの問題児たちのお世話と比べたら、確かに得意だけど。
[name="Orchid"]     Ha... I'm better at this than looking after the circus, that's for sure.
[name="오키드"]     하…… 하긴 그 문제아들 뒷바라지하는 거랑 비교하면, 확실히 이쪽이 더 낫긴 하지만.

[name="后勤干员"]     那梓兰小姐要不要申请一下转到我们后勤部门来？
[name="支援オペレーター"]     では、後方支援部へ異動の申請をしてみませんか？
[name="Logistics Operator"]     Why don't you apply for a transfer to logistics then?
